Sed_Code,num.rec,FOLKCODE,Legend Code
1,1,M,Pelite
2,5,S,Well to fairly well sorted fine Sand
3,2,S,Coarse-medium grained Sand
1a,1,M,Calcipelite
1c,6,sM,Sandy Pelite
1d,4,sM,Very Sandy Pelite
1d/5a,1,sM,Very Sandy Pelite over Glacial Drift
1e,1,gM,Gravelly Pelite
2-2c/R1,1,S,Well to fairly well sorted fine Sand; Gravelly fine Sand
2a,1,S,Very fine Sand
2b,12,mS,Pelitic fine Sand
2c,4,gS,Gravelly fine Sand
2c/R1,1,gS,Gravelly fine Sand over R1
3-3c,2,S,Coarse-medium grained Sand; Gravelly well sorted Sand
3-3c/R1,2,S,Coarse-medium grained Sand; Gravelly well sorted Sand; over R1
3a/5a,2,S,Calcarenite over Glacial Drift
3b-3e,1,mS,Pelitic poorly sorted Sand; Gravelly Pelitic Sand
3b/5a,1,mS,Pelitic poorly sorted sand over Glacial Drift
3c,5,gS,Gravelly well sorted Sand
3c-3e,1,gS,Gravelly well sorted Sand; Gravelly Pelitic Sand
3c-4b-4,1,gS,Gravelly well sorted Sand; Sandy Gravel; Gravel w/occasional sand patches 
3c/R1,1,gS,Gravelly well sorted Sand over R1
3d,7,gS,Gravelly poorly sorted Sand
3d-4,1,gS,Gravelly poorly sorted Sand; Gravel with occasional sand patches
3d-4/R1,1,gS,Gravelly poorly sorted Sand; Gravel with occasional sand patches
3d/R1,3,gS,Gravelly poorly sorted Sand over R1
3e-3,1,gmS,Gravelly Pelitic Sand; Coarse-medium grained Sand
3e,2,gmS,Gravelly Pelitic Sand
3e-3c,1,gmS,Gravelly Pelitic Sand; Gravelly well sorted Sand
3e-4b,1,gmS,Gravelly Pelitic Sand; Sandy Gravel
3e/5a,2,gmS,Gravelly Pelitic Sand over Reddish brown glacial drift rocks
4-3e,2,G,Gravel with occasional sand patches; Gravelly Pelitic Sand
4-4b,3,G,Gravel with ocassional sand patches; Sandy Gravel
4/R1,4,G,Gravel with occasional sand patches over R1
4b,9,sG,Sandy Gravel
4b-3e,2,sG,Sandy Gravel; Gravelly Pelitic Sand
4b/R1,1,sG,Sandy Gravel over R1
5a,1,R,Glacial drift rocks
