id,Value Range,Pixel Count
1,1 - 1 wave power per unit width of wave crest length (kW/m),0.0
2,1 - 2 (kW/m),5534.0
3,2 - 2 (kW/m),0.0
4,2 - 3 (kW/m),5665.0
5,Greater than 3 (kW/m),4110.0
