id,Value Range,Pixel Count
1,1 - 695 megawatt hours per year (MWh/yr),77584.0
2,695 - 1823 (MWh/yr),77700.0
3,1823 - 2515 (MWh/yr),76928.0
4,2515 - 3056 (MWh/yr),47626.0
5,Greater than 3056 (MWh/yr),31116.0
