id,Value Range,Pixel Count
1,1 - 2720 megawatt hours per year (MWh/yr),6338.0
2,2720 - 2894 (MWh/yr),6508.0
3,2894 - 3011 (MWh/yr),6750.0
4,3011 - 3068 (MWh/yr),3819.0
5,Greater than 3068 (MWh/yr),2749.0
