id,Value Range,Pixel Count
1,1 - 4 wave power per unit width of wave crest length (kW/m),67868.0
2,4 - 14 (kW/m),85541.0
3,14 - 23 (kW/m),71531.0
4,23 - 31 (kW/m),50278.0
5,Greater than 31 (kW/m),34740.0
