id,Value Range,Pixel Count
1,1 - -963843 thousands of US dollars (US$),0.0
2,-963843 - -727004 (US$),101380.0
3,-727004 - -319677 (US$),102587.0
4,-319677 - -54722 (US$),60632.0
5,Greater than -54722 (US$),40319.0
