id,Value Range,Pixel Count
1,1 - 285 megawatt hours per year (MWh/yr),6368.0
2,285 - 431 (MWh/yr),6514.0
3,431 - 546 (MWh/yr),6321.0
4,546 - 618 (MWh/yr),4177.0
5,Greater than 618 (MWh/yr),2602.0
