id,Value Range,Pixel Count
1,1 - -29329 thousands of US dollars (US$),0.0
2,-29329 - 77845 (US$),16146.0
3,77845 - 140806 (US$),16156.0
4,140806 - 188995 (US$),9691.0
5,Greater than 188995 (US$),6464.0
