id,Value Range,Pixel Count
1,1 - -420159 thousands of US dollars (US$),0.0
2,-420159 - -376965 (US$),4015.0
3,-376965 - -316957 (US$),4018.0
4,-316957 - -279036 (US$),2411.0
5,Greater than -279036 (US$),1603.0
