id,Value Range,Pixel Count
1,1 - -494042 thousands of US dollars (US$),0.0
2,-494042 - -337432 (US$),67922.0
3,-337432 - -250904 (US$),67660.0
4,-250904 - -191870 (US$),40871.0
5,Greater than -191870 (US$),26269.0
