id,Value Range,Pixel Count
1,1 - -291228 thousands of US dollars (US$),0.0
2,-291228 - -259092 (US$),11014.0
3,-259092 - -220424 (US$),11019.0
4,-220424 - -190468 (US$),6609.0
5,Greater than -190468 (US$),4404.0
