id,Value Range,Pixel Count
1,1 - 1530 megawatt hours per year (MWh/yr),103123.0
2,1530 - 1952 (MWh/yr),106856.0
3,1952 - 2266 (MWh/yr),105180.0
4,2266 - 2584 (MWh/yr),63251.0
5,Greater than 2584 (MWh/yr),42051.0
