id,Value Range,Pixel Count
1,1 - 257 megawatt hours per year (MWh/yr),4214.0
2,257 - 356 (MWh/yr),4244.0
3,356 - 453 (MWh/yr),4205.0
4,453 - 556 (MWh/yr),2570.0
5,Greater than 556 (MWh/yr),1699.0
