id,Value Range,Pixel Count
1,1 - -476251 thousands of US dollars (US$),0.0
2,-476251 - -406625 (US$),6400.0
3,-406625 - -333107 (US$),6277.0
4,-333107 - -279415 (US$),3558.0
5,Greater than -279415 (US$),2456.0
