id,Value Range,Pixel Count
1,1 - 26 wave power per unit width of wave crest length (kW/m),15346.0
2,26 - 32 (kW/m),13948.0
3,32 - 35 (kW/m),16872.0
4,35 - 36 (kW/m),5806.0
5,Greater than 36 (kW/m),12155.0
