id,Value Range,Pixel Count
1,1 - 424 megawatt hours per year (MWh/yr),10975.0
2,424 - 827 (MWh/yr),11104.0
3,827 - 1102 (MWh/yr),11125.0
4,1102 - 1352 (MWh/yr),6660.0
5,Greater than 1352 (MWh/yr),4446.0
