id,Value Range,Pixel Count
1,1 - -2476102 thousands of US dollars (US$),0.0
2,-2476102 - -2320159 (US$),6464.0
3,-2320159 - -2221535 (US$),6403.0
4,-2221535 - -2084674 (US$),4070.0
5,Greater than -2084674 (US$),2328.0
