id,Value Range,Pixel Count
1,1 - 26 wave power per unit width of wave crest length (kW/m),5651.0
2,26 - 30 (kW/m),5791.0
3,30 - 33 (kW/m),8121.0
4,33 - 35 (kW/m),3460.0
5,Greater than 35 (kW/m),3141.0
