id,Value Range,Pixel Count
1,1 - 1872 megawatt hours per year (MWh/yr),16014.0
2,1872 - 2258 (MWh/yr),16103.0
3,2258 - 2403 (MWh/yr),16266.0
4,2403 - 2535 (MWh/yr),9715.0
5,Greater than 2535 (MWh/yr),6474.0
