"lat","lon","depth"
25.8125,262.8125,0
25.9375,262.8125,0
25.8125,262.9375,0
25.9375,262.9375,0
25.8125,263.0625,0
25.9375,263.0625,0
25.8125,263.1875,0
25.9375,263.1875,0
26.0625,262.8125,0
26.1875,262.8125,0
26.0625,262.9375,0
26.1875,262.9375,0
26.0625,263.0625,0
26.1875,263.0625,0
26.0625,263.1875,0
26.1875,263.1875,0
26.0625,263.3125,0
26.1875,263.3125,0
26.0625,263.4375,0
26.1875,263.4375,0
26.0625,263.5625,0
26.1875,263.5625,0
26.0625,263.6875,0
26.1875,263.6875,0
26.3125,262.8125,0
26.4375,262.8125,0
26.3125,262.9375,0
26.4375,262.9375,0
26.3125,263.0625,0
26.4375,263.0625,0
26.3125,263.1875,0
26.4375,263.1875,0
26.3125,263.3125,0
26.4375,263.3125,0
26.3125,263.4375,0
26.4375,263.4375,0
26.3125,263.5625,0
26.4375,263.5625,0
26.3125,263.6875,0
26.4375,263.6875,0
26.5625,262.5625,0
26.6875,262.5625,0
26.5625,262.6875,0
26.6875,262.6875,0
26.5625,262.8125,0
26.6875,262.8125,0
26.5625,262.9375,0
26.6875,262.9375,0
26.5625,263.0625,0
26.6875,263.0625,0
26.5625,263.1875,0
26.6875,263.1875,0
26.5625,263.3125,0
26.6875,263.3125,0
26.5625,263.4375,0
26.6875,263.4375,0
26.5625,263.5625,0
26.6875,263.5625,0
26.5625,263.6875,0
26.6875,263.6875,0
26.8125,262.5625,0
26.9375,262.5625,0
26.8125,262.6875,0
26.9375,262.6875,0
26.8125,262.8125,0
26.9375,262.8125,0
26.8125,262.9375,0
26.9375,262.9375,0
26.8125,263.0625,0
26.9375,263.0625,0
26.8125,263.1875,0
26.9375,263.1875,0
26.8125,263.3125,0
26.9375,263.3125,0
26.8125,263.4375,0
26.9375,263.4375,0
27.0625,262.5625,0
27.1875,262.5625,0
27.0625,262.6875,0
27.1875,262.6875,0
27.0625,262.8125,0
27.1875,262.8125,0
27.0625,262.9375,0
27.1875,262.9375,0
27.0625,263.0625,0
27.1875,263.0625,0
27.0625,263.1875,0
27.1875,263.1875,0
27.0625,263.3125,0
27.1875,263.3125,0
27.0625,263.4375,0
27.1875,263.4375,0
27.3125,262.5625,0
27.4375,262.5625,0
27.3125,262.6875,0
27.4375,262.6875,0
27.3125,262.8125,0
27.4375,262.8125,0
27.3125,262.9375,0
27.4375,262.9375,0
27.3125,263.0625,0
27.4375,263.0625,0
27.3125,263.1875,0
27.4375,263.1875,0
27.3125,263.3125,0
27.4375,263.3125,0
27.3125,263.4375,0
27.4375,263.4375,0
27.3125,263.5625,0
27.4375,263.5625,0
27.3125,263.6875,0
27.4375,263.6875,0
27.5625,262.8125,0
27.6875,262.8125,0
27.5625,262.9375,0
27.6875,262.9375,0
27.5625,263.0625,0
27.6875,263.0625,0
27.5625,263.1875,0
27.6875,263.1875,0
27.5625,263.3125,0
27.6875,263.3125,0
27.5625,263.4375,0
27.6875,263.4375,0
27.5625,263.5625,0
27.6875,263.5625,0
27.5625,263.6875,0
27.6875,263.6875,0
27.5625,263.8125,0
27.6875,263.8125,0
27.5625,263.9375,0
27.6875,263.9375,0
27.5625,264.0625,0
27.6875,264.0625,0
27.5625,264.1875,0
27.6875,264.1875,0
27.5625,264.3125,0
27.6875,264.3125,0
27.5625,264.4375,0
27.6875,264.4375,0
27.8125,262.8125,0
27.9375,262.8125,0
27.8125,262.9375,0
27.9375,262.9375,0
27.8125,263.0625,0
27.9375,263.0625,0
27.8125,263.1875,0
27.9375,263.1875,0
27.8125,263.3125,0
27.9375,263.3125,0
27.8125,263.4375,0
27.9375,263.4375,0
27.8125,263.5625,0
27.9375,263.5625,0
27.8125,263.6875,0
27.9375,263.6875,0
27.8125,263.8125,0
27.9375,263.8125,0
27.8125,263.9375,0
27.9375,263.9375,0
27.8125,264.0625,0
27.9375,264.0625,0
27.8125,264.1875,0
27.9375,264.1875,0
27.8125,264.3125,0
27.9375,264.3125,0
27.8125,264.4375,0
27.9375,264.4375,0
27.8125,264.5625,0
27.9375,264.5625,0
27.8125,264.6875,0
27.9375,264.6875,0
27.8125,264.8125,0
27.9375,264.8125,0
27.8125,264.9375,0
27.9375,264.9375,0
27.8125,265.0625,0
27.9375,265.0625,0
27.8125,265.1875,0
27.9375,265.1875,0
27.8125,265.3125,0
27.9375,265.3125,0
27.8125,265.4375,0
27.9375,265.4375,0
27.8125,265.5625,0
27.9375,265.5625,0
27.8125,265.6875,0
27.9375,265.6875,0
27.8125,265.8125,0
27.9375,265.8125,0
27.8125,265.9375,0
27.9375,265.9375,0
27.8125,266.0625,0
27.9375,266.0625,0
27.8125,266.1875,0
27.9375,266.1875,0
27.8125,266.3125,0
27.9375,266.3125,0
27.8125,266.4375,0
27.9375,266.4375,0
27.8125,266.5625,0
27.9375,266.5625,0
27.8125,266.6875,0
27.9375,266.6875,0
27.8125,266.8125,0
27.9375,266.8125,0
27.8125,266.9375,0
27.9375,266.9375,0
27.8125,267.3125,0
27.9375,267.3125,0
27.8125,267.4375,0
27.9375,267.4375,0
28.0625,263.0625,0
28.1875,263.0625,0
28.0625,263.1875,0
28.1875,263.1875,0
28.0625,263.3125,0
28.1875,263.3125,0
28.0625,263.4375,0
28.1875,263.4375,0
28.0625,263.5625,0
28.1875,263.5625,0
28.0625,263.6875,0
28.1875,263.6875,0
28.0625,263.8125,0
28.1875,263.8125,0
28.0625,263.9375,0
28.1875,263.9375,0
28.0625,264.0625,0
28.1875,264.0625,0
28.0625,264.1875,0
28.1875,264.1875,0
28.0625,264.3125,0
28.1875,264.3125,0
28.0625,264.4375,0
28.1875,264.4375,0
28.0625,264.5625,0
28.1875,264.5625,0
