mggid	ship	cruise	sample	device_code	device	subcore	interval	replicate	lower_phi_limit	upper_phi_limit	weight_percent
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	1	1	3	4	22	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	1	1	4	6	13	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	1	1	6	99	18	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	2	1	-99	1	1	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	2	1	1	2	1	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	2	1	2	3	35	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	2	1	3	4	17	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	2	1	4	6	19	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	2	1	6	99	27	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	3	1	-99	-2	1	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	3	1	2	3	2	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	3	1	3	4	13	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	3	1	4	6	39	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	3	1	6	99	45	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	4	1	-99	1	1	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	4	1	1	2	1	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	4	1	2	3	4	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	4	1	3	4	6	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	4	1	4	6	30	
09995006	Westwind	00616	PH-7	401	core, gravity, phleger	0	4	1	6	99	58	
09995006	Westwind	00616	PH-8	401	core, gravity, phleger	0	1	1	2	3	1	
09995006	Westwind	00616	PH-8	401	core, gravity, phleger	0	1	1	3	4	3	
09995006	Westwind	00616	PH-8	401	core, gravity, phleger	0	1	1	4	6	29	
09995006	Westwind	00616	PH-8	401	core, gravity, phleger	0	1	1	6	99	66	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	1	1	-1	0	3	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	1	1	0	1	3	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	1	1	1	2	10	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	1	1	2	3	22	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	1	1	3	4	13	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	1	1	4	6	12	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	1	1	6	99	29	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	2	1	-99	-2	2	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	2	1	-2	-1	1	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	2	1	-1	0	1	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	2	1	0	1	2	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	2	1	1	2	4	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	2	1	2	3	10	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	2	1	3	4	11	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	2	1	4	6	20	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	2	1	6	99	49	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	3	1	-2	0	1	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	3	1	0	1	1	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	3	1	1	2	1	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	3	1	2	3	4	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	3	1	3	4	5	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	3	1	4	6	3	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	3	1	6	99	85	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	4	1	-2	-1	1	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	4	1	-1	0	1	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	4	1	0	1	1	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	4	1	1	2	3	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	4	1	2	3	7	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	4	1	3	4	6	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	4	1	4	6	14	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	4	1	6	99	67	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	5	1	-99	-2	5	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	5	1	-2	0	2	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	5	1	0	1	3	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	5	1	1	2	10	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	5	1	2	3	16	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	5	1	3	4	14	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	5	1	4	6	12	
09995006	Westwind	00616	PH-18	401	core, gravity, phleger	0	5	1	6	99	37	
09995006	Westwind	00616	PH-19	401	core, gravity, phleger	0	1	1	-99	1	2	
09995006	Westwind	00616	PH-19	401	core, gravity, phleger	0	1	1	1	2	1	
09995006	Westwind	00616	PH-19	401	core, gravity, phleger	0	1	1	2	3	2	
09995006	Westwind	00616	PH-19	401	core, gravity, phleger	0	1	1	3	4	8	
09995006	Westwind	00616	PH-19	401	core, gravity, phleger	0	1	1	4	6	38	
09995006	Westwind	00616	PH-19	401	core, gravity, phleger	0	1	1	6	99	50	
09995006	Westwind	00616	PH-19	401	core, gravity, phleger	0	2	1	0	1	1	
09995006	Westwind	00616	PH-19	401	core, gravity, phleger	0	2	1	1	2	1	
09995006	Westwind	00616	PH-19	401	core, gravity, phleger	0	2	1	2	3	1	
09995006	Westwind	00616	PH-19	401	core, gravity, phleger	0	2	1	3	4	9	
09995006	Westwind	00616	PH-19	401	core, gravity, phleger	0	2	1	4	6	44	
09995006	Westwind	00616	PH-19	401	core, gravity, phleger	0	2	1	6	99	44	
09995006	Westwind	00616	PH-19	401	core, gravity, phleger	0	3	1	-2	-1	6	
09995006	Westwind	00616	PH-19	401	core, gravity, phleger	0	3	1	-1	0	4	
09995006	Westwind	00616	PH-19	401	core, gravity, phleger	0	3	1	0	1	6	
09995006	Westwind	00616	PH-19	401	core, gravity, phleger	0	3	1	1	2	6	
09995006	Westwind	00616	PH-19	401	core, gravity, phleger	0	3	1	2	3	21	
09995006	Westwind	00616	PH-19	401	core, gravity, phleger	0	3	1	3	4	31	
09995006	Westwind	00616	PH-19	401	core, gravity, phleger	0	3	1	4	6	14	
09995006	Westwind	00616	PH-19	401	core, gravity, phleger	0	3	1	6	99	12	
09995006	Westwind	00616	PH-2	401	core, gravity, phleger	0	1	1	-99	-2	1	
09995006	Westwind	00616	PH-2	401	core, gravity, phleger	0	1	1	2	3	3	
09995006	Westwind	00616	PH-2	401	core, gravity, phleger	0	1	1	3	4	17	
09995006	Westwind	00616	PH-2	401	core, gravity, phleger	0	1	1	4	6	60	
09995006	Westwind	00616	PH-2	401	core, gravity, phleger	0	1	1	6	99	19	
09995006	Westwind	00616	PH-2	401	core, gravity, phleger	0	2	1	-99	1	1	
09995006	Westwind	00616	PH-2	401	core, gravity, phleger	0	2	1	1	2	2	
09995006	Westwind	00616	PH-2	401	core, gravity, phleger	0	2	1	2	3	5	
