mggid	ship	cruise	sample	device_code	device	subcore	interval	replicate	analysis_type	depth_top_cm	depth_top_mm	depth_bot_cm	depth_bot_mm	test_date	test_time	total_weight	coarse_meth	fine_meth	coarse_fine_boundary	coarse_boundary	fine_boundary	pct_coarser	pct_finer	pct_gravel	pct_sand	pct_silt	pct_clay	pct_mud	usc_gravel	usc_sand	usc_fines	meth_description	mean_mm	mean_phi	median_phi	modal_phi	skewness	kurtosis	std_dev	sort_coeff	interval_comments
09005062	Unknown Platform	L.I. 154	7	401	core, gravity, phleger	0	5	1	02	32	0	36	0	19610917						-2.00	10.00	3	15																			
09005062	Unknown Platform	L.I. 154	7	401	core, gravity, phleger	0	6	1	02	36	0	40	0	19610917						-2.00	08.00		23																			
09005062	Unknown Platform	L.I. 154	7	401	core, gravity, phleger	0	7	1	02	45	0	50	0	19610917						-2.00	08.00	19	18																			
09005062	Unknown Platform	L.I. 154	7	401	core, gravity, phleger	0	1	1	02	0	0	4	0	19610917						-2.00	10.00		20																			
09465001	Lord Kelvin	KELVIN	OP926	100	grab, undifferentiated	0	1	1	02															0	1	47	51								8.97			1.25				
09465001	Lord Kelvin	KELVIN	OP931	100	grab, undifferentiated	0	1	1	02															6	35	44	12								4.44			.48				
09465001	Lord Kelvin	KELVIN	OP934	100	grab, undifferentiated	0	1	1	02															0	58	37	6								3.7			.7				
09465001	Lord Kelvin	KELVIN	OPC	100	grab, undifferentiated	0	1	1	02																27	62	12								5.21			.71				
09465001	Lord Kelvin	KELVIN	OP923	100	grab, undifferentiated	0	1	1	02					19580416										10	39	27	24								4.24			.28				
09465001	Lord Kelvin	KELVIN	OP924	100	grab, undifferentiated	0	1	1	02					19580407										2	25	57	16								5.44			.63				
09465001	Lord Kelvin	KELVIN	OP911	100	grab, undifferentiated	0	1	1	02																10	75	14								5.64			.59				
09005062	Unknown Platform	L.I. 154	24	401	core, gravity, phleger	0	2	1	02	9	0	13	0	19611003						-2.00	10.00		20																			
09005062	Unknown Platform	L.I. 154	24	401	core, gravity, phleger	0	3	1	02	16	0	20	0	19611003						-2.00	10.00		25																			
09005062	Unknown Platform	L.I. 154	24	401	core, gravity, phleger	0	4	1	02	23	0	27	0	19611003						-2.00	10.00		25																			
09005062	Unknown Platform	L.I. 154	25	101	grab, orange peel	0	1	1	02					19611003						-2.00	10.00	9	2																			
09005062	Unknown Platform	L.I. 154	26	101	grab, orange peel	0	1	1	02					19611004						-2.00	10.00		2																			
09005062	Unknown Platform	L.I. 154	27	101	grab, orange peel	0	1	1	02					19611004						-2.00	10.00		1																			
09005062	Unknown Platform	L.I. 154	22	101	grab, orange peel	0	1	1	02					19611001						-2.00	10.00		2																			
09005062	Unknown Platform	L.I. 154	23	101	grab, orange peel	0	1	1	02					19611002						-2.00	10.00	9	4																			
09005062	Unknown Platform	L.I. 154	24	401	core, gravity, phleger	0	1	1	02	0	0	5	0	19611003						-2.00	10.00		16																			
09005062	Unknown Platform	L.I. 154	16	401	core, gravity, phleger	0	3	1	02	20	0	24	0	19610927						-2.00	10.00		40																			
09005062	Unknown Platform	L.I. 154	16	401	core, gravity, phleger	0	4	1	02	31	0	36	0	19610927						-2.00	10.00		42																			
09005062	Unknown Platform	L.I. 154	17	101	grab, orange peel	0	1	1	02					19610928						-2.00	10.00	32	1																			
09005062	Unknown Platform	L.I. 154	18	101	grab, orange peel	0	1	1	02					19610928						-2.00	10.00		2																			
09005062	Unknown Platform	L.I. 154	19	401	core, gravity, phleger	0	1	1	02	0	0	4	0	19610929						-2.00	10.00		13																			
09005062	Unknown Platform	L.I. 154	19	401	core, gravity, phleger	0	2	1	02	8	0	12	0	19610929						-2.00	10.00	1	16																			
09005062	Unknown Platform	L.I. 154	19	401	core, gravity, phleger	0	3	1	02	12	0	16	0	19610929						-2.00	10.00	5	15																			
09005062	Unknown Platform	L.I. 154	19	401	core, gravity, phleger	0	4	1	02	20	0	24	0	19610929						-2.00	08.00	32	6																			
09005062	Unknown Platform	L.I. 154	20	401	core, gravity, phleger	0	2	1	02	10	0	16	0	19610929						-2.00	10.00	12	8																			
09005062	Unknown Platform	L.I. 154	16	401	core, gravity, phleger	0	2	1	02	10	0	14	0	19610927						-2.00	10.00		37																		PHI -1 TO 1 WERE GROUPED AND TOTALED 1	
09005062	Unknown Platform	L.I. 154	20	401	core, gravity, phleger	0	3	1	02	16	0	20	0	19610929						-2.00	10.00		8																			
09005062	Unknown Platform	L.I. 154	20	401	core, gravity, phleger	0	4	1	02	23	0	27	0	19610929						-2.00	10.00		10																			
09005062	Unknown Platform	L.I. 154	20	401	core, gravity, phleger	0	5	1	02	30	0	34	0	19610929						-2.00	10.00		8																			
09005062	Unknown Platform	L.I. 154	14	401	core, gravity, phleger	0	3	1	02	18	0	23	0	19610927						-2.00	10.00	18	18																			
09005062	Unknown Platform	L.I. 154	14	401	core, gravity, phleger	0	4	1	02	27	0	32	0	19610927						-2.00	10.00		42																		PHI 1 TO 3 WERE GROUPED AND TOTALED 1	
09005062	Unknown Platform	L.I. 154	14	401	core, gravity, phleger	0	5	1	02	36	0	40	0	19610927						-2.00	10.00		44																			
09005062	Unknown Platform	L.I. 154	14	401	core, gravity, phleger	0	6	1	02	40	0	44	0	19610927						-2.00	10.00	2	35																			
09005062	Unknown Platform	L.I. 154	14	401	core, gravity, phleger	0	7	1	02	44	0	48	0	19610927						-2.00	10.00		38																			
09005062	Unknown Platform	L.I. 154	14	401	core, gravity, phleger	0	8	1	02	48	0	54	0	19610927						-2.00	10.00	1	21																			
09005062	Unknown Platform	L.I. 154	14	401	core, gravity, phleger	0	9	1	02	61	0	67	0	19610927						-2.00	10.00		45																			
09005062	Unknown Platform	L.I. 154	15	401	core, gravity, phleger	0	1	1	02	0	0	8	0	19610927						-2.00	10.00		28																			
09005062	Unknown Platform	L.I. 154	15	401	core, gravity, phleger	0	3	1	02	32	0	40	0	19610927						-2.00	10.00		24																		PHI -1 TO 1 WERE GROUPED AND TOTALED 1	
09005062	Unknown Platform	L.I. 154	14	401	core, gravity, phleger	0	1	1	02	0	0	5	0	19610927						-2.00	10.00	5	34																			
09005062	Unknown Platform	L.I. 154	14	401	core, gravity, phleger	0	2	1	02	10	0	15	0	19610927						-2.00	10.00		35																			
09005062	Unknown Platform	L.I. 154	16	401	core, gravity, phleger	0	1	1	02	0	0	4	0	19610927						-2.00	10.00		31																		PHI -1 TO 1 WERE GROUPED AND TOTALED 1	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	5	1	02	53	0	60	0	19671024						-2.00	10.00		17.5																			
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	14	1	02	210	0	217	0	19671024						-2.00	10.00		19.6																			
09005062	Unknown Platform	L.I. 154	7	401	core, gravity, phleger	0	2	1	02	9	0	13	0	19610917						-2.00	10.00		19																			
09005062	Unknown Platform	L.I. 154	7	401	core, gravity, phleger	0	3	1	02	18	0	22	0	19610917						-2.00	10.00		26																			
09005062	Unknown Platform	L.I. 154	7	401	core, gravity, phleger	0	4	1	02	27	0	32	0	19610917						-2.00	10.00		22																			
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	18	1	02	249	0	252	0	19671024						-2.00	10.00		6.8																			
09995043	Staten Island	ND00655	BS-19	100	grab, undifferentiated	0	1	0	02					19600907																												
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	17	1	02	238	0	248	0	19671024						-2.00	10.00		7.8																			
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	26	1	02	350	0	357	0	19671024						-2.00	10.00		22.5																			
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	27	1	02	357	0	366	0	19671024						-2.00	10.00																					
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	6	1	02	70	0	77	0	19671024						-2.00	10.00		18.5																			
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	7	1	02	90	0	97	0	19671024						-2.00	10.00		17.1																			
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	8	1	02	110	0	117	0	19671024						-2.00	10.00		13.1																			
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	9	1	02	123	0	130	0	19671024						-2.00	10.00		14.4																			
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	10	1	02	140	0	147	0	19671024						-2.00	10.00		11.1																			
