mggid	ship	cruise	sample	device_code	device	subcore	interval	replicate	analysis_type	depth_top_cm	depth_top_mm	depth_bot_cm	depth_bot_mm	test_date	test_time	total_weight	coarse_meth	fine_meth	coarse_fine_boundary	coarse_boundary	fine_boundary	pct_coarser	pct_finer	pct_gravel	pct_sand	pct_silt	pct_clay	pct_mud	usc_gravel	usc_sand	usc_fines	meth_description	mean_mm	mean_phi	median_phi	modal_phi	skewness	kurtosis	std_dev	sort_coeff	interval_comments
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	37	1	02	279	0	288	0	19720810						-4.00	10.00	0	34.48	0	6.92	31.65	61.43							8.25			2.36	.51	.45			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	38	1	02	288	0	305	0	19720810						-4.00	10.00	0	44.9	.5	7.46	24.98	67.06							8.54			2.49	.72	1.76			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	39	1	02	305	0	314	0	19720810						-4.00	10.00	0	46.66	.24	10.57	23.42	65.76							8.43			2.66	.65	.89			
09035004	Silas Bent	L.I. 438	2	406	core, gravity, ewing	0	1	1	02	0	0	10	0	19720817						-4.00	10.00	0	41.63	7.36	6.16	27.94	58.55							7.64			3.65	.74	1.52			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	29	1	02	211	0	218	0	19720810						-4.00	10.00	0	51.79	.22	7.19	20.38	72.22							8.85			2.38	.87	2.75			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	30	1	02	218	0	220	0	19720810						-4.00	10.00	0	33.29	8.77	6.85	29.07	55.32							7.24			3.91	.73	1.27			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	31	1	02	220	0	236	0	19720810						-4.00	10.00	51.19	24.07	56.9	9.59	4.5	29.02							1.02			6.57	.26	1.55			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	32	1	02	236	0	247	0	19720810						-4.00	10.00	0	72.11	6.02	6.77	7.47	79.74							8.78			3.6	1.09	3.53			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	33	1	02	247	0	251	0	19720810						-4.00	10.00	0	17.54	0	40.89	36.04	23.07							5.94			2.71	.26	1.08			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	34	1	02	251	0	262	0	19720810						-4.00	10.00	0	68.53	.72	9.93	10.52	78.83							9.08			2.68	1	3.06			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	35	1	02	262	0	272	0	19720810						-4.00	10.00	0	63.04	.96	19.95	8.31	70.78							8.38			3.31	.64	.13			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	36	1	02	272	0	279	0	19720810						-4.00	10.00	0	48.57	2.32	7.19	23.15	67.35							8.44			2.91	.91	3.28			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	26	1	02	180	0	189	0	19720810						-4.00	10.00	0	44.29	.04	.86	30.01	69.09							8.95			1.76	.52	1.18			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	27	1	02	189	0	200	0	19720810						-4.00	10.00	0	41.28	.22	2.24	31.84	65.7							8.64			2.09	.6	1.74			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	28	1	02	200	0	211	0	19720810						-4.00	10.00	0	56.46	.84	3.57	16.22	79.37							9.16			2.19	1.26	7.86			
06245001	Townsend Cromwell	JPO 212	5	300	core, box	0	1	0	02					19750528	0600	006.59	sieves	hydrophotometer	03.99	03.50	08.00	0	44.46	0	1.44	54.05	44.5							7.77	7.74		2.77	.07	.84			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	17	1	02	112	0	120	0	19720810						-4.00	10.00	0	76.29	0	.87	9.76	89.38							9.89			1.34	1.44	10.7			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	18	1	02	120	0	127	0	19720810						-4.00	10.00	0	87.74	0	.44	5.26	94.31							10.18			1.02	1.91	16.02			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	19	1	02	127	0	137	0	19720810						-4.00	10.00	0	57.33	0	.87	16.94	82.19							9.45			1.53	.89	4.32			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	20	1	02	137	0	138	0	19720810						-4.00	10.00	0	39.49	6.4	1.74	27.42	64.44							8.13			3.33	1.04	3.88			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	21	1	02	138	0	149	0	19720810						-4.00	10.00	0	40.65	1.13	4.13	28.44	66.3							8.5			2.47	.83	3.15			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	22	1	02	149	0	153	0	19720810						-4.00	10.00	0	33.71	8.06	6.65	28.57	56.72							7.36			3.78	.72	1.21			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	23	1	02	153	0	157	0	19720810						-4.00	10.00	0	44.19	.23	3.34	27.53	68.9							8.72			2.19	.73	2.35			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	24	1	02	157	0	165	0	19720810						-4.00	10.00	0	43.67	0	.52	30.43	69.05							8.92			1.77	.45	.15			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	25	1	02	165	0	180	0	19720810						-4.00	10.00	0	39.27	1.73	5.03	31.25	61.99							8.31			2.62	.79	2.65			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	15	1	02	97	0	106	0	19720810						-4.00	10.00	0	54.38	.06	2.6	21.42	75.92							9.14			1.94	.9	4.01			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	16	1	02	106	0	112	0	19720810						-4.00	10.00	0	67.44	.19	7.03	11.61	81.17							9.28			2.34	1.13	4.68			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	5	1	02	35	0	45	0	19720810						-4.00	10.00	0	51.55	.1	1.82	28.78	69.3							8.93			2	.59	1.05			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	6	1	02	45	0	52	0	19720810						-4.00	10.00	0	70.37	.13	2.72	14.87	82.29							9.52			1.9	1.18	6.09			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	7	1	02	52	0	60	0	19720810						-4.00	10.00	0	51.52	.05	2.65	23.8	73.5							9.06			1.93	.77	2.58			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	8	1	02	60	0	64	0	19720810						-4.00	10.00	0	46.19	.14	5.37	22.78	71.7							8.84			2.21	.84	2.92			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	9	1	02	64	0	66	0	19720810						-4.00	10.00	0	50.47	.76	6.33	21.01	71.91							8.76			2.47	.88	3.02			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	10	1	02	66	0	73	0	19720810						-4.00	10.00	0	52.49	.23	4.22	21.13	74.42							9.02			2.11	.92	3.84			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	11	1	02	73	0	78	0	19720810						-4.00	10.00	0	52.37	.3	3.04	21.5	75.16							9.06			2.03	.93	4.33			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	12	1	02	78	0	88	0	19720810						-4.00	10.00	0	55.34	.21	7.02	16.39	76.38							8.97			2.34	.9	2.78			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	13	1	02	88	0	91	0	19720810						-4.00	10.00	0	51.16	.49	4.57	22.35	72.59							8.89			2.26	.87	3.28			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	14	1	02	91	0	97	0	19720810						-4.00	10.00	0	51.62	.58	4.95	22.06	72.42							8.86			2.34	.9	3.4			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	4	1	02	23	0	34	0	19720810						-4.00	10.00	0	14.01	0	8.08	59.61	32.31							7.03			2.01	.1	.58			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	1	1	02	0	0	7	0	19720810						-4.00	10.00	0	48.04	0	2.34	26.68	70.98							9.06			1.76	.67	2.04			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	2	1	02	7	0	12	0	19720810						-4.00	10.00	0	37.31	.16	7.43	37.81	54.61							8.14			2.36	.36	.23			
09035004	Silas Bent	L.I. 438	1	406	core, gravity, ewing	0	3	1	02	12	0	23	0	19720810						-4.00	10.00	0	49.07	.01	1.27	28.96	69.76							8.98			1.82	.48	.09			
09995040	Northwind	31501	67	100	grab, undifferentiated	0	1	1	02					19550314		035.03	sieves	pipette	04.00						87	9	3								2.99			.08				
09995040	Northwind	31501	74	100	grab, undifferentiated	0	1	1	02					19550317		057.25	sieves	pipette	04.00						62	35	2								3.05							
09995040	Northwind	31501	79	100	grab, undifferentiated	0	1	1	02					19550323		041.27	sieves	pipette	04.00						60	32	8								3.41							
09995040	Northwind	31501	99	100	grab, undifferentiated	0	1	1	02					19550325		069.62	sieves	pipette	04.00						54	38	8								3.72							
09995040	Northwind	31501	283	100	grab, undifferentiated	0	1	1	02					19550415		057.15	sieves	pipette	04.00						99.99			1							2.52			.08				
09995040	Northwind	31501	292	100	grab, undifferentiated	0	1	1	02					19550418		047.80	sieves	pipette	04.00	-2.00	08.00														2.7			.07				
09995040	Northwind	31501	297	100	grab, undifferentiated	0	1	1	02					19550418		029.85	sieves	pipette	04.00	-2.00	04.00		1												2.93			.1				
09995040	Northwind	31501	30	100	grab, undifferentiated	0	1	1	02					19550309		040.47	sieves	pipette	04.00						43	46	11															
09995040	Northwind	31501	42	100	grab, undifferentiated	0	1	1	02					19550309		028.70	sieves	pipette	04.00					1	16	53	30															
09995040	Northwind	31501	54	100	grab, undifferentiated	0	1	1	02					19550310		016.75	sieves	pipette	04.00						43	29	29															
09995040	Northwind	31501	5A	100	grab, undifferentiated	0	1	1	02					19550306		024.16	sieves	pipette	04.00						80	15	6								3.2			.08				
09995040	Northwind	31501	63	100	grab, undifferentiated	0	1	1	02					19550312		035.34	sieves	pipette	04.00						59	37	3								3.93							
09995040	Northwind	31501	250	100	grab, undifferentiated	0	1	1	02					19550413		025.37	sieves	pipette	04.00						14	60	25															
09995040	Northwind	31501	257	100	grab, undifferentiated	0	1	1	02					19550413		043.43	sieves	pipette	04.00						50	40	10								4							
09995040	Northwind	31501	272	100	grab, undifferentiated	0	1	1	02					19550414		035.65	sieves	pipette	04.00						46	46	7															
09995040	Northwind	31501	278	100	grab, undifferentiated	0	1	1	02					19550415		031.51	sieves	pipette	04.00						95	3	2								2.92			.08				
09995040	Northwind	31501	168	100	grab, undifferentiated	0	1	1	02					19550410		059.31	sieves	pipette	04.00						43	49	7															
09995040	Northwind	31501	177	100	grab, undifferentiated	0	1	1	02					19550411		058.48	sieves	pipette	04.00						84	9	6								3			.08				
09995040	Northwind	31501	18	100	grab, undifferentiated	0	1	1	02					19550308		032.59	sieves	pipette	04.00						92	3	6								2.8			.08				
09995040	Northwind	31501	202	100	grab, undifferentiated	0	1	1	02					19550411		047.72	sieves	pipette	04.00						29	56	14															
09995040	Northwind	31501	210	100	grab, undifferentiated	0	1	1	02					19550411		022.07	sieves	pipette	04.00						28	57	15															
09995040	Northwind	31501	235	100	grab, undifferentiated	0	1	1	02					19550412		024.54	sieves	pipette	04.00						34	50	15															
09995040	Northwind	31501	24	100	grab, undifferentiated	0	1	1	02					19550308		019.45	sieves	pipette	04.00						78	15	8								3.1			.14				
09995040	Northwind	31501	243	100	grab, undifferentiated	0	1	1	02					19550413		029.20	sieves	pipette	04.00						12	57	30															
09995040	Northwind	31501	139	100	grab, undifferentiated	0	1	1	02					19550405		037.71	sieves	pipette	04.00						76	17	6								3.2			.2				
09995040	Northwind	31501	144	100	grab, undifferentiated	0	1	1	02					19550408		047.13	sieves	pipette	04.00						77	16	7								2.93			.21				
09995040	Northwind	31501	151	100	grab, undifferentiated	0	1	1	02					19550409		022.92	sieves	pipette	04.00						78	16	7								3.1			.22				
