"","agency","model","region","rawdelt","controldelt","prop","ratio"
"1","CNRM-CERFACS","CNRM-CM5","AFSC_Aleutians",0.0277638610711834,0.00651206314351352,0.810010574690171,0.234551783947389
"2","CNRM-CERFACS","CNRM-CM5","AFSC_EBS",0.0431485639292201,0.00665226632827467,0.866422581834898,0.154171210406606
"3","CNRM-CERFACS","CNRM-CM5","AFSC_GOA",0.0278422993144883,0.00386771895758741,0.878028485370083,0.138915213643105
"4","CNRM-CERFACS","CNRM-CM5","AFSC_WCTri",0.0208272720595839,0.00363696539813291,0.851335427706712,0.174625144749061
"5","CNRM-CERFACS","CNRM-CM5","DFO_NewfoundlandFall",0.0309551288054162,0.00146533523678416,0.954802151046426,0.047337397495428
"6","CNRM-CERFACS","CNRM-CM5","DFO_NewfoundlandSpring",0.0382349276194688,0.00118609612010153,0.969912092391681,0.0310212727981622
"7","CNRM-CERFACS","CNRM-CM5","DFO_ScotianShelf",0.03719812743881,0.00139277526045528,0.963909233445275,0.0374420799204572
"8","CNRM-CERFACS","CNRM-CM5","DFO_SoGulf",0.0439445097723521,0.00168821986217533,0.963004188535372,0.0384170826098845
"9","CNRM-CERFACS","CNRM-CM5","NEFSC_NEUSFall",0.0246481797102154,0.000869867295963069,0.96591168220074,0.0352913402202498
"10","CNRM-CERFACS","CNRM-CM5","NEFSC_NEUSSpring",0.0268190171470841,0.00115161298656394,0.958827778242344,0.0429401636998151
"11","CNRM-CERFACS","CNRM-CM5","NWFSC_WCAnn",0.0174776916838351,0.00276910465468047,0.863232453748113,0.158436520381097
"12","CNRM-CERFACS","CNRM-CM5","SEFSC_GOMex",0.028285434540171,0.000586885613242168,0.979673070604518,0.0207486864806221
"13","IPSL","IPSL-CM5A-MR","AFSC_Aleutians",0.0260375470648877,0.000141422954328055,0.994597841159364,0.00543150066999851
"14","IPSL","IPSL-CM5A-MR","AFSC_EBS",0.040097456838844,0.00107242467358957,0.973951232449729,0.0267454536555712
"15","IPSL","IPSL-CM5A-MR","AFSC_GOA",0.0333246636266803,0.00299790234329234,0.917464466971561,0.0899604682248668
"16","IPSL","IPSL-CM5A-MR","AFSC_WCTri",0.0259168594914525,0.000832974215015023,0.968860583428089,0.0321402450512857
"17","IPSL","IPSL-CM5A-MR","DFO_NewfoundlandFall",0.0356451645628905,-0.00048222106107393,1.01371389915207,-0.0135283724170532
"18","IPSL","IPSL-CM5A-MR","DFO_NewfoundlandSpring",0.0448461775960357,0.00168667487727788,0.963753030651943,0.0376102260591988
"19","IPSL","IPSL-CM5A-MR","DFO_ScotianShelf",0.0359714928955852,0.00146611268253092,0.960838502893253,0.0407576267903759
"20","IPSL","IPSL-CM5A-MR","DFO_SoGulf",0.0420614655747228,0.00429739446301526,0.907301550134818,0.10216939434459
"21","IPSL","IPSL-CM5A-MR","NEFSC_NEUSFall",0.0279354789643008,0.000228654348108799,0.9918813639471,0.00818508780182365
"22","IPSL","IPSL-CM5A-MR","NEFSC_NEUSSpring",0.0272065049834599,-0.000317287829501559,1.01179981654672,-0.0116622046710686
"23","IPSL","IPSL-CM5A-MR","NWFSC_WCAnn",0.0216074255177588,0.000404213620453402,0.98163636892667,0.018707162503982
"24","IPSL","IPSL-CM5A-MR","SEFSC_GOMex",0.0415744979152122,-0.000426209948676221,1.01035790235119,-0.0102517160771356
"25","IPSL","IPSL-CM5B-LR","AFSC_Aleutians",0.0275006272070808,0.000183814333938758,0.993360374141324,0.00668400515212358
"26","IPSL","IPSL-CM5B-LR","AFSC_EBS",0.0392660651369635,-0.000941289076741835,1.02456085001678,-0.0239720754666538
"27","IPSL","IPSL-CM5B-LR","AFSC_GOA",0.0325768396149814,4.50152411534116e-05,0.998620089466036,0.00138181731823703
"28","IPSL","IPSL-CM5B-LR","AFSC_WCTri",0.0251451363584006,9.87327701346771e-05,0.996088841625982,0.003926515598381
"29","IPSL","IPSL-CM5B-LR","DFO_NewfoundlandFall",0.0363808857794682,0.00166556603523432,0.956222828784505,0.0457813491768882
"30","IPSL","IPSL-CM5B-LR","DFO_NewfoundlandSpring",0.0447072497794112,0.00598471983998146,0.881939488938462,0.133864638722142
"31","IPSL","IPSL-CM5B-LR","DFO_ScotianShelf",0.0426315248375275,0.00823011807777049,0.838186153532703,0.19305239747197
"32","IPSL","IPSL-CM5B-LR","DFO_SoGulf",0.0496289083963023,0.0113405070359837,0.81399678911833,0.228506074431986
"33","IPSL","IPSL-CM5B-LR","NEFSC_NEUSFall",0.03223941764681,0.0062382785882421,0.837872866656731,0.19349848860745
"34","IPSL","IPSL-CM5B-LR","NEFSC_NEUSSpring",0.0321606724650657,0.00736495832091543,0.813666267319189,0.229005109545379
"35","IPSL","IPSL-CM5B-LR","NWFSC_WCAnn",0.021013531137266,0.000770538382510812,0.964628354595946,0.036668676838626
"36","IPSL","IPSL-CM5B-LR","SEFSC_GOMex",0.0276607568955271,0.00227907180972717,0.923878261557081,0.0823936893099157
"37","MOHC","HadGem2-CC","AFSC_Aleutians",0.0417660685364005,-0.00742674794176994,1.21627533140336,-0.177817740621128
"38","MOHC","HadGem2-CC","AFSC_EBS",0.0645926304769597,-0.00540890752603734,1.09139180937506,-0.083738771530085
"39","MOHC","HadGem2-CC","AFSC_GOA",0.0386185660310607,-0.00510144130189727,1.15220402534882,-0.132098154493727
"40","MOHC","HadGem2-CC","AFSC_WCTri",0.0295905655694039,-0.0029132341186647,1.10920260611689,-0.0984514510826697
"41","MOHC","HadGem2-CC","DFO_NewfoundlandFall",0.0430697679415615,0.000309734844866956,0.992859880243628,0.00719146769695195
