"","region","latstep","sizestep","repnum","latrng","size","meanturnIndiv","netwrkturn"
"1","AFSC_Aleutians",0.01,0.01,1,0,0.012987012987013,0.394145782664261,0.498576818878952
"2","AFSC_EBS",0.01,0.01,1,0,0.0103397341211226,0.39451088501646,0.560382676373552
"3","AFSC_GOA",0.01,0.01,1,0,0.0100755667506297,0.629006310627472,0.687342362323087
"4","DFO_NewfoundlandFall",0.01,0.01,1,0,0.0104321907600596,0.745334779079795,0.7938669222784
"5","DFO_ScotianShelf",0.01,0.01,1,0,0.0101010101010101,0.720228762077901,0.885561782496941
"6","DFO_SoGulf",0.01,0.01,1,0,0.010752688172043,0.649650739793543,0.673948270006456
"7","NEFSC_NEUSSpring",0.01,0.01,1,0,0.0108695652173913,0.693438888808509,0.820322951236552
"8","NWFSC_WCAnn",0.01,0.01,1,0,0.0131004366812227,0.629413162090542,0.747094929908264
"9","SEFSC_GOMex",0.01,0.01,1,0,0.0122448979591837,0.8299221488204,0.923365755781798
"10","AFSC_Aleutians",0.076,0.01,1,0,0.012987012987013,0.523310832651808,0.551480235696113
"11","AFSC_EBS",0.076,0.01,1,0.0666666666666667,0.0103397341211226,0.484603998705851,0.665244339697008
"12","AFSC_GOA",0.076,0.01,1,0.0625,0.0100755667506297,0.47821270555418,0.556817905355786
"13","DFO_NewfoundlandFall",0.076,0.01,1,0.0666666666666667,0.0104321907600596,0.7378158017795,0.858546185372049
"14","DFO_ScotianShelf",0.076,0.01,1,0.0384615384615385,0.0101010101010101,0.699754638175224,0.819414727039898
"15","DFO_SoGulf",0.076,0.01,1,0.0714285714285714,0.010752688172043,0.626023316569565,0.627777807682606
"16","NEFSC_NEUSSpring",0.076,0.01,1,0.0697674418604651,0.0108695652173913,0.840693547069245,0.874208363092549
"17","NWFSC_WCAnn",0.076,0.01,1,0.0634920634920635,0.0131004366812227,0.682918899901396,0.76481321561866
"18","SEFSC_GOMex",0.076,0.01,1,0.0555555555555556,0.0122448979591837,0.83936164598037,0.88866208991071
"19","AFSC_Aleutians",0.142,0.01,1,0,0.012987012987013,0.430099950763806,0.51509127478166
"20","AFSC_EBS",0.142,0.01,1,0.133333333333333,0.0103397341211226,0.354667527160821,0.592360494331623
"21","AFSC_GOA",0.142,0.01,1,0.125,0.0100755667506297,0.595970489549299,0.769091678228747
"22","DFO_NewfoundlandFall",0.142,0.01,1,0.133333333333333,0.0104321907600596,0.784991166814431,0.87112653398633
"23","DFO_ScotianShelf",0.142,0.01,1,0.115384615384615,0.0101010101010101,0.659117242261039,0.802153747963305
"24","DFO_SoGulf",0.142,0.01,1,0,0.010752688172043,0.48230762047573,0.492077157941467
"25","NEFSC_NEUSSpring",0.142,0.01,1,0.13953488372093,0.0108695652173913,0.853929117290395,0.929033359560498
"26","NWFSC_WCAnn",0.142,0.01,1,0.126984126984127,0.0131004366812227,0.694413918858164,0.743900599406557
"27","SEFSC_GOMex",0.142,0.01,1,0.0555555555555556,0.0122448979591837,0.788109095735873,0.904477921632077
"28","AFSC_Aleutians",0.208,0.01,1,0.153846153846154,0.012987012987013,0.426508978199322,0.463431908882076
"29","AFSC_EBS",0.208,0.01,1,0.133333333333333,0.0103397341211226,0.438658963013401,0.552977394684898
"30","AFSC_GOA",0.208,0.01,1,0.1875,0.0100755667506297,0.639852468463244,0.663358523613874
"31","DFO_NewfoundlandFall",0.208,0.01,1,0.2,0.0104321907600596,0.780398877397072,0.885076793060068
"32","DFO_ScotianShelf",0.208,0.01,1,0.0384615384615385,0.0101010101010101,0.724396571455102,0.853627809566932
"33","DFO_SoGulf",0.208,0.01,1,0.142857142857143,0.010752688172043,0.506733314852024,0.635450854622496
"34","NEFSC_NEUSSpring",0.208,0.01,1,0.186046511627907,0.0108695652173913,0.765432625672784,0.822259053052563
"35","NWFSC_WCAnn",0.208,0.01,1,0.158730158730159,0.0131004366812227,0.658191021462286,0.717366763607222
