"","lat","lon","wind_npv"
"1",53.125,170.875,8124.201171875
"2",53.125,171.125,8144.126953125
"3",52.875,172.125,10024.3658854167
"4",52.875,172.375,9975.23203125
"5",52.875,172.625,9799.10234375
"6",53.125,172.625,9666.5078125
"7",52.625,172.875,9746.64214409722
"9",53.125,172.875,9514.169921875
"11",52.875,173.125,9775.83046875
"12",52.375,173.375,10419.6079101562
"13",52.625,173.375,10091.5142299107
"15",52.125,173.625,10523.8959960938
"16",52.375,173.625,10481.4046474359
"17",52.875,173.625,10184.3786272321
"18",52.125,173.875,10546.6751302083
"19",52.375,173.875,10516.169653799
"20",52.625,173.875,10485.4091796875
"21",52.875,173.875,10520.701171875
"22",52.625,174.125,10574.4436677632
"23",52.875,174.125,10552.880859375
"24",51.875,175.875,9222.91827713816
"25",52.375,175.875,11032.275390625
"26",51.875,176.125,10939.9213867188
"27",52.375,176.125,11025.98046875
"28",52.125,176.625,10873.0107421875
"29",51.875,177.375,10912.8850911458
"30",51.875,177.625,10911.4860026042
"31",52.125,177.625,10943.2392578125
"32",51.875,177.875,10909.4337332589
"33",51.625,178.125,10865.2581380208
"34",51.875,178.125,10885.4497070312
"35",52.125,178.125,10942.4397786458
"36",51.625,178.375,10841.3229980469
"37",51.875,178.375,10892.777578125
"38",52.125,178.375,10930.9596354167
"39",51.625,178.625,10769.4713076637
"40",51.875,178.625,10899.7112165179
"41",51.375,178.875,10721.4765625
"42",51.625,178.875,10745.1819852941
"43",51.375,179.125,10755.3920200893
"45",51.375,179.375,10785.99609375
"47",52.125,179.375,11165.7095703125
"49",52.125,179.625,11171.2786458333
"50",52.375,179.625,11240.978515625
"51",51.125,180.875,11025.5478515625
"53",51.375,181.125,10967.767578125
"54",51.625,181.125,10907.2085336538
"56",51.625,181.375,10870.5837673611
"57",51.375,181.625,10754.431640625
"58",51.625,181.625,10863.103515625
"59",51.625,181.875,10530.3592722039
"60",51.875,181.875,10548.8525390625
"61",51.625,182.125,10058.3321161685
"62",51.875,182.125,10141.6494140625
"63",51.625,182.375,9550.7333984375
"64",51.875,182.375,9453.87095424107
"65",51.625,182.625,8692.60493607955
"66",51.875,182.625,8494.18315972222
"67",51.625,182.875,7619.23120117188
"68",51.875,182.875,7064.22119140625
"69",51.625,183.125,7309.27083333333
"70",51.875,183.125,6807.97688802083
"71",51.625,183.375,7210.99609375
"72",51.875,183.375,6823.333984375
"73",51.625,183.625,7802.8419921875
"74",51.875,183.625,6763.603515625
"75",51.625,183.875,8239.47026909722
"79",52.125,184.125,9348.29351963141
"80",51.875,184.375,9930.373046875
"81",52.125,184.375,9955.28232421875
"82",51.875,184.625,10476.8274739583
"83",52.125,184.625,10469.3419921875
"84",51.875,184.875,10809.5713378906
"85",52.125,184.875,11060.7543174342
"86",51.875,185.125,10999.0744108607
"87",52.125,185.125,11102.4373046875
"88",51.875,185.375,11028.0242442255
"90",51.875,185.625,11048.143125
"92",52.375,185.625,11354.8978794643
"93",59.375,185.625,7187.17626953125
"94",59.625,185.625,7079.7021484375
"95",52.125,185.875,11365.2210286458
"99",59.875,185.875,6973.92317708333
"100",60.125,185.875,6670.55601917614
"101",52.125,186.125,11481.6427951389
"102",52.375,186.125,11578.078125
"103",59.625,186.125,7058.97916666667
"104",59.875,186.125,6990.62660845588
"105",60.125,186.125,6955.88984375
"107",58.875,186.375,7210.79092478198
"108",59.125,186.375,7177.345703125
"109",59.375,186.375,7114.48792613636
"110",59.625,186.375,7070.046875
"111",59.875,186.375,6993.76577758789
"112",51.875,186.625,11964.3897372159
"113",52.125,186.625,12041.5958693484
"114",57.125,186.625,8720.65457589286
"117",59.375,186.625,7070.16251627604
"118",59.625,186.625,7038.80045572917
"119",59.875,186.625,6996.1828125
"120",60.375,186.625,6913.23027663934
"121",60.625,186.625,6273.87174479167
"122",51.875,186.875,12062.6985426683
"123",52.125,186.875,12124.653671875
"124",57.125,186.875,8716.171875
"125",59.125,186.875,7077.59342447917
"126",59.375,186.875,7055.96154203869
"127",59.625,186.875,7013.29330679087
"128",60.125,186.875,7466.55064174107
"131",51.875,187.125,12100.20546875
"132",52.125,187.125,12158.5489651864
"134",57.625,187.125,8078.93505859375
"136",59.375,187.125,7031.9123149671
"137",60.125,187.125,7995.54144597458
"139",60.625,187.125,6176.75569661458
"140",52.125,187.375,12232.55859375
"141",52.375,187.375,12304.955078125
"142",56.625,187.375,8935.93096127717
"143",56.875,187.375,8765.21011389307
"144",58.875,187.375,7062.58203125
"146",59.375,187.375,7002.50462239583
"147",59.625,187.375,6885.98046875
"148",59.875,187.375,8873.72428385417
"149",60.125,187.375,8171.91493803879
"151",60.625,187.375,6253.309765625
"152",52.125,187.625,12241.3747558594
"153",52.375,187.625,12286.28046875
"159",58.875,187.625,7037.98549564549
"160",59.125,187.625,6984.46175130208
"162",59.875,187.625,8689.57948369565
"163",60.125,187.625,8187.09136284722
"166",52.375,187.875,12290.3203125
"167",56.625,187.875,8685.69213867188
"168",56.875,187.875,8492.20316527062
"169",57.125,187.875,8379.255859375
"170",57.375,187.875,7874.22884114583
"171",57.625,187.875,7851.82829733456
"176",59.875,187.875,8210.87202785326
"177",60.125,187.875,8203.85227098652
"178",60.375,187.875,6236.0980623453
"179",60.625,187.875,6180.73868189103
"180",56.875,188.125,8443.82384672619
"181",57.125,188.125,7949.93872070312
"185",58.625,188.125,7020.43674879808
"186",58.875,188.125,6950.465625
"187",59.125,188.125,6889.86432291667
"188",59.375,188.125,6839.0126953125
"189",59.625,188.125,6792.35900878906
"190",59.875,188.125,7566.74847005208
"191",60.125,188.125,7855.26875
"193",60.625,188.125,6134.96097905585
"196",57.625,188.375,7667.33046875
"197",57.875,188.375,7424.10308159722
"205",52.375,188.625,12419.951171875
"206",52.875,188.625,12341.1741286058
"208",56.625,188.625,8182.66015625
"209",56.875,188.625,8142.4541015625
"210",57.125,188.625,8051.99293870192
"211",57.375,188.625,8021.3375
"212",57.625,188.625,7455.75065104167
"219",59.875,188.625,6575.7431640625
"220",60.125,188.625,6401.93994140625
"221",60.375,188.625,4987.22788915094
"222",60.625,188.625,4275.03635553728
"223",52.375,188.875,12445.5113932292
"231",58.125,188.875,7266.23649088542
"232",58.375,188.875,7042.48595861487
"233",58.625,188.875,6990.67122395833
"234",58.875,188.875,6800.5390625
"240",57.125,189.125,9522.77265625
"241",57.375,189.125,9698.17720170455
"242",57.625,189.125,8928.64034598214
"243",57.875,189.125,7367.27425130208
"244",58.125,189.125,7115.76635742188
"251",52.625,189.375,12586.3342013889
"252",56.375,189.375,8826.35356702303
"253",57.125,189.375,9546.99576130319
"254",57.375,189.375,9756.92442602041
"255",57.875,189.375,7339.86221590909
"258",59.375,189.375,6521.88151041667
"259",59.625,189.375,6499.84104742006
"260",59.875,189.375,6435.9645948223
"261",60.125,189.375,6156.08819110577
"262",60.375,189.375,3044.18390213816
"266",56.875,189.625,9422.75510817308
"267",57.125,189.625,9470.2184516059
"268",57.375,189.625,9660.82788825758
"269",58.125,189.625,7124.01456839139
"270",58.375,189.625,7050.142578125
"271",58.875,189.625,6609.34905133929
"278",52.625,189.875,12677.572265625
"279",52.875,189.875,12682.8055752841
"280",56.875,189.875,9334.65625
"281",57.125,189.875,9439.52919921875
"282",57.375,189.875,9630.87130089962
"283",57.625,189.875,7300.8953125
"284",57.875,189.875,7286.08372395833
"291",60.125,189.875,5529.94669921875
"292",60.375,189.875,2773.10026041667
"294",52.625,190.125,12664.36328125
"295",52.875,190.125,12647.6779513889
"298",56.875,190.125,9427.07042738971
"299",57.125,190.125,9466.89415640783
"300",57.375,190.125,9492.271875
"301",57.625,190.125,9102.1997153072
"302",57.875,190.125,7257.78247070312
"304",59.125,190.125,6457.60068982713
"305",59.375,190.125,6407.69454200115
"306",59.625,190.125,6331.5368359375
"307",59.875,190.125,6251.11575520833
"308",60.125,190.125,5419.41818359375
"309",60.375,190.125,2594.8056547619
"311",52.625,190.375,12522.7927389706
"312",52.875,190.375,12353.2169744318
"313",53.125,190.375,12303.8977864583
"314",56.375,190.375,10174.7674278846
