"","region","tempstep","sizestep","repnum","temprng","size","meanturnIndiv","netwrkturn"
"1","AFSC_Aleutians",0.01,0.01,1,0.00879444942211325,0.012987012987013,0.546659929645602,0.613483074763642
"2","AFSC_EBS",0.01,0.01,1,0.19238805714299,0.0103397341211226,0.534273149101921,0.658331317736437
"3","AFSC_GOA",0.01,0.01,1,0.00962292183423624,0.0100755667506297,0.714847935514141,0.818248528658045
"4","DFO_NewfoundlandFall",0.01,0.01,1,0.20178618831014,0.0104321907600596,0.725516516726534,0.772487368741246
"5","DFO_ScotianShelf",0.01,0.01,1,0.00795273456739846,0.0101010101010101,0.623168608515608,0.78234156016282
"6","DFO_SoGulf",0.01,0.01,1,0.000387821276611411,0.010752688172043,0.634817125425063,0.64555870496779
"7","NEFSC_NEUSSpring",0.01,0.01,1,0.00672731786958597,0.0108695652173913,0.588689047154176,0.777655694565795
"8","NWFSC_WCAnn",0.01,0.01,1,0.00587283313240566,0.0131004366812227,0.657423845317179,0.712674533800608
"9","SEFSC_GOMex",0.01,0.01,1,0.00147384257816146,0.0122448979591837,0.740770609618334,0.842975918955043
"10","AFSC_Aleutians",0.12,0.01,1,0.0529550437254174,0.012987012987013,0.439470095332108,0.469793731465703
"11","AFSC_EBS",0.12,0.01,1,0.0898090730049656,0.0103397341211226,0.408355892540053,0.49932395761893
"12","AFSC_GOA",0.12,0.01,1,0.117779903178372,0.0100755667506297,0.539784168691433,0.672672168625403
"13","DFO_NewfoundlandFall",0.12,0.01,1,0.113829601599385,0.0104321907600596,0.798058824920216,0.872053522530056
"14","DFO_ScotianShelf",0.12,0.01,1,0.101808007135821,0.0101010101010101,0.695401824552353,0.699934501909824
"15","DFO_SoGulf",0.12,0.01,1,0.111571157068269,0.010752688172043,0.548510748792917,0.611251617934461
"16","NEFSC_NEUSSpring",0.12,0.01,1,0.102540736388315,0.0108695652173913,0.779114122644109,0.828695609881385
"17","NWFSC_WCAnn",0.12,0.01,1,0.084633416814895,0.0131004366812227,0.735987833641005,0.749853600301476
"18","SEFSC_GOMex",0.12,0.01,1,0.0764191757900497,0.0122448979591837,0.743807809369368,0.849717635093707
"19","AFSC_Aleutians",0.23,0.01,1,0.155611883314723,0.012987012987013,0.47017541851137,0.487841993698611
