"","region","latstep","sizestep","repnum","latrng","size","meanturnIndiv","netwrkturn"
"1","AFSC_Aleutians",0.01,0.01,1,0,0.012987012987013,0.481309297070617,0.514296202444633
"2","AFSC_EBS",0.01,0.01,1,0,0.0103397341211226,0.507432681086792,0.657929039351921
"3","AFSC_GOA",0.01,0.01,1,0,0.0100755667506297,0.425125706182787,0.508925089407019
"4","DFO_NewfoundlandFall",0.01,0.01,1,0,0.0104321907600596,0.765289120056541,0.857902048739337
"5","DFO_ScotianShelf",0.01,0.01,1,0,0.0101010101010101,0.644744883688628,0.787526184274977
"6","DFO_SoGulf",0.01,0.01,1,0,0.010752688172043,0.399943564999752,0.479646627088977
"7","NEFSC_NEUSSpring",0.01,0.01,1,0,0.0108695652173913,0.779714711457329,0.817286337394755
"8","NWFSC_WCAnn",0.01,0.01,1,0.238095238095238,0.0131004366812227,0.66979480425222,0.740478635626943
"9","SEFSC_GOMex",0.01,0.01,1,0,0.0122448979591837,0.852823665456587,0.919829713177045
"10","AFSC_Aleutians",0.151428571428571,0.01,1,0.0769230769230769,0.012987012987013,0.390254519491228,0.450497342736851
"11","AFSC_EBS",0.151428571428571,0.01,1,0.133333333333333,0.0103397341211226,0.402107580257234,0.631841501332943
"12","AFSC_GOA",0.151428571428571,0.01,1,0.125,0.0100755667506297,0.689948265621934,0.815310568016986
"13","DFO_NewfoundlandFall",0.151428571428571,0.01,1,0.133333333333333,0.0104321907600596,0.804368473431832,0.876183804168724
"14","DFO_ScotianShelf",0.151428571428571,0.01,1,0.115384615384615,0.0101010101010101,0.720452206831418,0.859095164399117
"15","DFO_SoGulf",0.151428571428571,0.01,1,0.0714285714285714,0.010752688172043,0.44248638424691,0.488917225723696
"16","NEFSC_NEUSSpring",0.151428571428571,0.01,1,0.13953488372093,0.0108695652173913,0.725039348261623,0.824363454758876
"17","NWFSC_WCAnn",0.151428571428571,0.01,1,0.0317460317460317,0.0131004366812227,0.784367518142663,0.835132278837745
"18","SEFSC_GOMex",0.151428571428571,0.01,1,0.0555555555555556,0.0122448979591837,0.787175221670633,0.851521873055866
"19","AFSC_Aleutians",0.292857142857143,0.01,1,0.153846153846154,0.012987012987013,0.440269123005701,0.492853596119188
"20","AFSC_EBS",0.292857142857143,0.01,1,0.266666666666667,0.0103397341211226,0.400807216872741,0.502495633190353
"21","AFSC_GOA",0.292857142857143,0.01,1,0.28125,0.0100755667506297,0.607844246214106,0.751652718350781
"22","DFO_NewfoundlandFall",0.292857142857143,0.01,1,0.266666666666667,0.0104321907600596,0.734915741171251,0.878792197064548
"23","DFO_ScotianShelf",0.292857142857143,0.01,1,0.192307692307692,0.0101010101010101,0.687424895361659,0.705467038338177
"24","DFO_SoGulf",0.292857142857143,0.01,1,0.214285714285714,0.010752688172043,0.642478626597594,0.703039645227374
"25","NEFSC_NEUSSpring",0.292857142857143,0.01,1,0.27906976744186,0.0108695652173913,0.794012106656087,0.886595547914026
"26","NWFSC_WCAnn",0.292857142857143,0.01,1,0.174603174603175,0.0131004366812227,0.769869509827526,0.817456543254821
"27","SEFSC_GOMex",0.292857142857143,0.01,1,0.166666666666667,0.0122448979591837,0.762871198970609,0.893873934601219
"28","AFSC_Aleutians",0.434285714285714,0.01,1,0.307692307692308,0.012987012987013,0.453483765257625,0.490336775760119
"29","AFSC_EBS",0.434285714285714,0.01,1,0.366666666666667,0.0103397341211226,0.460255380770312,0.627207464236707
"30","AFSC_GOA",0.434285714285714,0.01,1,0.34375,0.0100755667506297,0.667496033979948,0.847422414665213
"31","DFO_NewfoundlandFall",0.434285714285714,0.01,1,0.413333333333333,0.0104321907600596,0.799427871587023,0.863186975666335
"32","DFO_ScotianShelf",0.434285714285714,0.01,1,0.269230769230769,0.0101010101010101,0.686868337294283,0.667677035070571
"33","DFO_SoGulf",0.434285714285714,0.01,1,0.285714285714286,0.010752688172043,0.485871785153087,0.537402234982098
"34","NEFSC_NEUSSpring",0.434285714285714,0.01,1,0.232558139534884,0.0108695652173913,0.756729048659636,0.834578972128216
"35","NWFSC_WCAnn",0.434285714285714,0.01,1,0.222222222222222,0.0131004366812227,0.729910834455842,0.852380578509041
"36","SEFSC_GOMex",0.434285714285714,0.01,1,0.333333333333333,0.0122448979591837,0.84694567488623,0.883723896737751
"37","AFSC_Aleutians",0.575714285714286,0.01,1,0.461538461538462,0.012987012987013,0.483200374151004,0.524241225707488
"38","AFSC_EBS",0.575714285714286,0.01,1,0.566666666666667,0.0103397341211226,0.45221002764608,0.677662865874641
"39","AFSC_GOA",0.575714285714286,0.01,1,0.53125,0.0100755667506297,0.639009287795033,0.718060596222175
"40","DFO_NewfoundlandFall",0.575714285714286,0.01,1,0.52,0.0104321907600596,0.76242245437431,0.85166170100009
"41","DFO_ScotianShelf",0.575714285714286,0.01,1,0.538461538461538,0.0101010101010101,0.726993561907956,0.939793998445899
"42","DFO_SoGulf",0.575714285714286,0.01,1,0.5,0.010752688172043,0.459375656491999,0.56551626398486
"43","NEFSC_NEUSSpring",0.575714285714286,0.01,1,0.27906976744186,0.0108695652173913,0.733660619661583,0.832053524906572
"44","NWFSC_WCAnn",0.575714285714286,0.01,1,0.0634920634920635,0.0131004366812227,0.693090739121964,0.782298129967492
"45","SEFSC_GOMex",0.575714285714286,0.01,1,0.444444444444444,0.0122448979591837,0.803446989013785,0.877092201997503
"46","AFSC_Aleutians",0.717142857142857,0.01,1,0.692307692307692,0.012987012987013,0.484528681892526,0.471284119835304
"47","AFSC_EBS",0.717142857142857,0.01,1,0.366666666666667,0.0103397341211226,0.469873481353036,0.74031674178097
"48","AFSC_GOA",0.717142857142857,0.01,1,0.65625,0.0100755667506297,0.585815319816249,0.695470548088478
"49","DFO_NewfoundlandFall",0.717142857142857,0.01,1,0.693333333333333,0.0104321907600596,0.782823217826074,0.881347674940752
"50","DFO_ScotianShelf",0.717142857142857,0.01,1,0.461538461538462,0.0101010101010101,0.735951834249883,0.835216868461764
"51","DFO_SoGulf",0.717142857142857,0.01,1,0,0.010752688172043,0.559674026829933,0.557209108090113
"52","NEFSC_NEUSSpring",0.717142857142857,0.01,1,0.418604651162791,0.0108695652173913,0.784211992179226,0.880360328769802
"53","NWFSC_WCAnn",0.717142857142857,0.01,1,0.111111111111111,0.0131004366812227,0.69241715579654,0.772106261816649
"54","SEFSC_GOMex",0.717142857142857,0.01,1,0.5,0.0122448979591837,0.832436971330007,0.926583657600105
"55","AFSC_Aleutians",0.858571428571429,0.01,1,0.384615384615385,0.012987012987013,0.481288515416948,0.563348716302905
"56","AFSC_EBS",0.858571428571429,0.01,1,0.266666666666667,0.0103397341211226,0.418785792968697,0.676750064814882
"57","AFSC_GOA",0.858571428571429,0.01,1,0.59375,0.0100755667506297,0.601760765754275,0.697798567559679
"58","DFO_NewfoundlandFall",0.858571428571429,0.01,1,0.613333333333333,0.0104321907600596,0.732937624479335,0.867501023013954
"59","DFO_ScotianShelf",0.858571428571429,0.01,1,0.807692307692308,0.0101010101010101,0.646547034480023,0.825727370037398
"60","DFO_SoGulf",0.858571428571429,0.01,1,0.785714285714286,0.010752688172043,0.432639328153741,0.519641714233897
