"","region","tempstep","sizestep","repnum","temprng","size","meanturnIndiv","netwrkturn"
"1","AFSC_Aleutians",0.01,0.01,1,0.359935950274879,0.012987012987013,0.397415031315926,0.469251210923089
"2","AFSC_EBS",0.01,0.01,1,0.00942389064026947,0.0103397341211226,0.397886460959835,0.538965303459039
"3","AFSC_GOA",0.01,0.01,1,0.00732260656951727,0.0100755667506297,0.544294845693798,0.576412933356363
"4","DFO_NewfoundlandFall",0.01,0.01,1,0.00997180277755794,0.0104321907600596,0.77161018701892,0.829622116879026
"5","DFO_ScotianShelf",0.01,0.01,1,0.00783308452009087,0.0101010101010101,0.714794625734333,0.801101150962448
"6","DFO_SoGulf",0.01,0.01,1,0.000807368483349688,0.010752688172043,0.508362057708437,0.530626743137395
"7","NEFSC_NEUSSpring",0.01,0.01,1,0.00954450028897518,0.0108695652173913,0.811803753773263,0.845740227338464
"8","NWFSC_WCAnn",0.01,0.01,1,0.00302796753040315,0.0131004366812227,0.655879911012819,0.776832716383685
"9","SEFSC_GOMex",0.01,0.01,1,0.00809851599900595,0.0122448979591837,0.844446327239834,0.862747492134864
"10","AFSC_Aleutians",0.12,0.01,1,0.108387428202383,0.012987012987013,0.546941189293831,0.664823276444916
"11","AFSC_EBS",0.12,0.01,1,0.0967676036004065,0.0103397341211226,0.342114454844348,0.419321290098865
"12","AFSC_GOA",0.12,0.01,1,0.101876322634023,0.0100755667506297,0.576636331550317,0.63385383271853
"13","DFO_NewfoundlandFall",0.12,0.01,1,0.111131973542045,0.0104321907600596,0.754337863288121,0.772456538829146
"14","DFO_ScotianShelf",0.12,0.01,1,0.114261811304394,0.0101010101010101,0.662393382547159,0.777221645716811
"15","DFO_SoGulf",0.12,0.01,1,0.0333787062792211,0.010752688172043,0.459445626729891,0.450800101310583
"16","NEFSC_NEUSSpring",0.12,0.01,1,0.101334202704,0.0108695652173913,0.791735041959543,0.853402278780806
"17","NWFSC_WCAnn",0.12,0.01,1,0.0601583140572507,0.0131004366812227,0.721445871808147,0.799903387255878
"18","SEFSC_GOMex",0.12,0.01,1,0.0602747000918042,0.0122448979591837,0.819357759580721,0.87476016862129
"19","AFSC_Aleutians",0.23,0.01,1,0.180478440575054,0.012987012987013,0.441505857913443,0.515035664134713
"20","AFSC_EBS",0.23,0.01,1,0.226883242387561,0.0103397341211226,0.453549255689379,0.537324222334983
"21","AFSC_GOA",0.23,0.01,1,0.202202160078823,0.0100755667506297,0.674478499383735,0.844305269837546
"22","DFO_NewfoundlandFall",0.23,0.01,1,0.204676711674549,0.0104321907600596,0.753211632617182,0.812760653240902
"23","DFO_ScotianShelf",0.23,0.01,1,0.176829802400372,0.0101010101010101,0.668877796516972,0.73666218323884
"24","DFO_SoGulf",0.23,0.01,1,0.227117416766848,0.010752688172043,0.450159273673426,0.506301538598489
"25","NEFSC_NEUSSpring",0.23,0.01,1,0.210327696178741,0.0108695652173913,0.828889922601693,0.876015413606252
"26","NWFSC_WCAnn",0.23,0.01,1,0.199760168285788,0.0131004366812227,0.708163959702524,0.828443528301231
"27","SEFSC_GOMex",0.23,0.01,1,0.188756915312575,0.0122448979591837,0.840368650811893,0.878509471906402
"28","AFSC_Aleutians",0.34,0.01,1,0.160222632254122,0.012987012987013,0.553513421857407,0.664029400285089
"29","AFSC_EBS",0.34,0.01,1,0.318910799994225,0.0103397341211226,0.384982950691702,0.571459789926646
"30","AFSC_GOA",0.34,0.01,1,0.259556990944056,0.0100755667506297,0.562292319862251,0.678686640679214
"31","DFO_NewfoundlandFall",0.34,0.01,1,0.331343121901824,0.0104321907600596,0.768427277211321,0.784664445442821
"32","DFO_ScotianShelf",0.34,0.01,1,0.307635252303237,0.0101010101010101,0.797932724924868,0.942877838119952
"33","DFO_SoGulf",0.34,0.01,1,0.153545276999144,0.010752688172043,0.510007140243614,0.523622436190264
"34","NEFSC_NEUSSpring",0.34,0.01,1,0.174155693563723,0.0108695652173913,0.747467094387675,0.835739958008519
"35","NWFSC_WCAnn",0.34,0.01,1,0.297605698271769,0.0131004366812227,0.721456418445856,0.822487655111573
"36","SEFSC_GOMex",0.34,0.01,1,0.138335132721774,0.0122448979591837,0.798159209433844,0.878663653653078
"37","AFSC_Aleutians",0.45,0.01,1,0.425026885828152,0.012987012987013,0.575223462241878,0.685280357193303
"38","AFSC_EBS",0.45,0.01,1,0.27710107177281,0.0103397341211226,0.40689813518023,0.613263623985605
"39","AFSC_GOA",0.45,0.01,1,0.196199209658787,0.0100755667506297,0.587707161123993,0.703318515411987
"40","DFO_NewfoundlandFall",0.45,0.01,1,0.417012031400521,0.0104321907600596,0.778247608960877,0.871136013064125
