"","lat","lon","wave_npv"
"9654",52.875,170.625,-2486228.42727273
"9803",53.125,170.625,-2480751.5
"9958",53.375,170.625,-2442686.09821429
"9655",52.875,170.875,-2429857.24537037
"9804",53.125,170.875,-2429586.53125
"9959",53.375,170.875,-2415857.56603774
"9656",52.875,171.125,-2425129.51339286
"9805",53.125,171.125,-2422277.25
"9807",53.125,171.625,-2397182
"9659",52.875,171.875,-2375292.18518519
"9660",52.875,172.125,-2374981.625
"9661",52.875,172.375,-2447596.94642857
"9810",53.125,172.375,-2444250.91818182
"9518",52.625,172.625,-2501830.25
"9662",52.875,172.625,-2457352.19196429
"9811",53.125,172.625,-2456543.5
"9381",52.375,172.875,-2511429.11363636
"9519",52.625,172.875,-2511429.11363636
"9812",53.125,172.875,-2529723.62980769
"9382",52.375,173.125,-2512389
"9664",52.875,173.125,-2537043.56944444
"9813",53.125,173.125,-2537508.75
"9246",52.125,173.375,-2452129.12272727
"9383",52.375,173.375,-2508781.375
"9521",52.625,173.375,-2508910.21875
"9814",53.125,173.375,-2523370.50909091
"9247",52.125,173.625,-2446368.25
"9384",52.375,173.625,-2506157.06818182
"9522",52.625,173.625,-2508413.25
"9666",52.875,173.625,-2520964
"9248",52.125,173.875,-2374584.46818182
"9385",52.375,173.875,-2424499.79464286
"9523",52.625,173.875,-2427506.88425926
"9667",52.875,173.875,-2429399.81363636
"9386",52.375,174.125,-2414540.19642857
"9524",52.625,174.125,-2415457
"9668",52.875,174.125,-2416048.3
"9387",52.375,174.375,-2269701.96296296
"9525",52.625,174.375,-2274907.5
"9117",51.875,174.625,-2301782.75
"9251",52.125,174.625,-2301782.75
"9526",52.625,174.625,-2254829
"9252",52.125,174.875,-2230289.52272727
"9253",52.125,175.125,-2221535.25
"9390",52.375,175.125,-2178883.48660714
"9120",51.875,175.375,-2195997.20982143
"9254",52.125,175.375,-2195170.37727273
"9391",52.375,175.375,-2162836.39545455
"8995",51.625,175.625,-2271682.75
"9121",51.875,175.625,-2192760.45089286
"9392",52.375,175.625,-2160526.10909091
"8996",51.625,175.875,-2276455.94736842
"9122",51.875,175.875,-2156150.5
"9256",52.125,175.875,-2156150.5
"9393",52.375,175.875,-2181112.20982143
"9123",51.875,176.125,-2153373.57142857
"9257",52.125,176.125,-2151125.5
"9394",52.375,176.125,-2184220.52232143
"9258",52.125,176.375,-2119604.9375
"9395",52.375,176.375,-2128395.05092593
"9125",51.875,176.625,-2117677.32727273
"9259",52.125,176.625,-2115102
"9126",51.875,176.875,-2142307.92857143
"9260",52.125,176.875,-2143956.77272727
"9001",51.625,177.125,-2230421.75
"9127",51.875,177.125,-2146842.25
"9261",52.125,177.125,-2146842.25
"9002",51.625,177.375,-2244105.90740741
"9128",51.875,177.375,-2183190.67105263
"9262",52.125,177.375,-2128927.19736842
