"","lat","lon","wave_npv"
"9129",51.875,177.625,-2263472.66666667
"9263",52.125,177.625,-2200545.22058824
"9004",51.625,177.875,-2223854.91203704
"9130",51.875,177.875,-2276267.75446429
"9264",52.125,177.875,-2277849
"9005",51.625,178.125,-2221646
"9131",51.875,178.125,-2276862.98245614
"9265",52.125,178.125,-2277849
"9006",51.625,178.375,-2232061.44907407
"9132",51.875,178.375,-2298364.03125
"9266",52.125,178.375,-2300166.3125
"8889",51.375,178.625,-2233124.25
"9007",51.625,178.625,-2233124.25
"9133",51.875,178.625,-2303354.5
"9267",52.125,178.625,-2303354.5
"8890",51.375,178.875,-2285590.87946429
"9008",51.625,178.875,-2288244.79545455
"8778",51.125,179.125,-2201495.5
"8891",51.375,179.125,-2293353.92105263
"8892",51.375,179.375,-2255958.17727273
"9136",51.875,179.375,-2294697.36818182
"9270",52.125,179.375,-2294961.84649123
"9137",51.875,179.625,-2301339.26754386
"9271",52.125,179.625,-2302235
"9408",52.375,179.625,-2034911.06026786
"9138",51.875,179.875,-2302235
"9272",52.125,179.875,-2302235
"9409",52.375,179.875,-2030050.625
"9547",52.625,179.875,-2030050.625
"9273",52.125,180.125,-2069099.5
"9410",52.375,180.125,-1914781.79891304
"9548",52.625,180.125,-1913086
"9140",51.875,180.375,-2069128.01785714
"9274",52.125,180.375,-2069099.5
"9411",52.375,180.375,-1914694.38659794
"9549",52.625,180.375,-1913086
"9550",52.625,180.625,-1913086
"9694",52.875,180.625,-1807981.75
"8785",51.125,180.875,-2100417.01020408
"9016",51.625,180.875,-2171343.00510204
"8786",51.125,181.125,-2099604
"8899",51.375,181.125,-2180949.30612245
"9017",51.625,181.125,-2182644
"8900",51.375,181.375,-2165840.44329897
"9018",51.625,181.375,-2165261.01030928
"8901",51.375,181.625,-2163145.9502551
"9019",51.625,181.625,-2163909
"9020",51.625,181.875,-2138246.6875
"9146",51.875,181.875,-2102065.1171875
"14659",60.625,181.875,-1150858.75
"9021",51.625,182.125,-2135913.75
"9147",51.875,182.125,-2104632.34793814
"14206",59.875,182.125,-1126184.625
"14370",60.125,182.125,-1142350.43103448
"9022",51.625,182.375,-2099740.1377551
"9148",51.875,182.375,-2145115.60204082
"13450",58.875,182.375,-967080.931818182
"13651",59.125,182.375,-967890.305397727
"14661",60.625,182.375,-1150858.75
"14781",60.875,182.375,-1150858.75
"14892",61.125,182.375,-1150858.75
"9023",51.625,182.625,-2095629.5
"9149",51.875,182.625,-2149753
"14208",59.875,182.625,-1024721.3828125
"14372",60.125,182.625,-1130438.78448276
"14524",60.375,182.625,-1150858.75
"14662",60.625,182.625,-1150858.75
"9024",51.625,182.875,-2046690.5
"9150",51.875,182.875,-2098756.42525773
"13452",58.875,182.875,-964154.119971264
"13653",59.125,182.875,-963843.4375
"13848",59.375,182.875,-963843.4375
"14036",59.625,182.875,-963843.4375
"14209",59.875,182.875,-963843.4375
"14373",60.125,182.875,-1066472.92385057
"14783",60.875,182.875,-1150858.75
"14894",61.125,182.875,-1150858.75
"14980",61.375,182.875,-1150858.75
"9025",51.625,183.125,-2041129.25
"9151",51.875,183.125,-2092355.52604167
"13249",58.625,183.125,-966546.375
"13453",58.875,183.125,-964857.0390625
"13654",59.125,183.125,-963843.4375
"13849",59.375,183.125,-963843.4375
"14210",59.875,183.125,-963843.4375
"14526",60.375,183.125,-1119510.60560345
"14664",60.625,183.125,-1150858.75
"14784",60.875,183.125,-1150858.75
"14895",61.125,183.125,-1150858.75
"14981",61.375,183.125,-1150858.75
"9026",51.625,183.375,-2003816.55867347
"9152",51.875,183.375,-2078300.84114583
"13850",59.375,183.375,-963843.4375
"14038",59.625,183.375,-963843.4375
"14211",59.875,183.375,-963843.4375
"14375",60.125,183.375,-963843.4375
"14527",60.375,183.375,-1020578.41994382
"15034",61.625,183.375,-1150858.75
"9027",51.625,183.625,-2000499.875
"9153",51.875,183.625,-2075819.29768041
"9287",52.125,183.625,-2076603.875
"13251",58.625,183.625,-920120
"13455",58.875,183.625,-920120
"13656",59.125,183.625,-951781.799568966
"13851",59.375,183.625,-963843.4375
"14786",60.875,183.625,-1150858.75
"14897",61.125,183.625,-1150858.75
"14983",61.375,183.625,-1150858.75
"15035",61.625,183.625,-1150858.75
"9028",51.625,183.875,-1954611.63392857
"13252",58.625,183.875,-894528.6875
"14529",60.375,183.875,-963843.4375
"14667",60.625,183.875,-1028331.4762931
"14787",60.875,183.875,-1150858.75
"14898",61.125,183.875,-1150858.75
"15091",62.125,183.875,-1150858.75
"9289",52.125,184.125,-2093576.25
"13457",58.875,184.125,-891247.75
"13658",59.125,184.125,-891247.75
"13853",59.375,184.125,-912696.475852273
"14041",59.625,184.125,-963843.4375
"14214",59.875,184.125,-963843.4375
"14378",60.125,184.125,-963843.4375
"14985",61.375,184.125,-1150858.75
"15037",61.625,184.125,-1150858.75
"15066",61.875,184.125,-1150858.75
"15092",62.125,184.125,-1150858.75
"9030",51.625,184.375,-1914154.68298969
"9156",51.875,184.375,-1954205.53515625
"9290",52.125,184.375,-1954205.53515625
"13254",58.625,184.375,-891247.75
"13458",58.875,184.375,-891247.75
"13659",59.125,184.375,-891247.75
"13854",59.375,184.375,-891247.75
"14669",60.625,184.375,-963843.4375
"14789",60.875,184.375,-1038649.5625
"14900",61.125,184.375,-1150858.75
"14986",61.375,184.375,-1150858.75
"15067",61.875,184.375,-1150858.75
"9031",51.625,184.625,-1910491.625
"9157",51.875,184.625,-1939485.85180412
"9291",52.125,184.625,-1939787.875
"13255",58.625,184.625,-891247.75
"13459",58.875,184.625,-891247.75
"14216",59.875,184.625,-945485.907327586
"14380",60.125,184.625,-963843.4375
"14532",60.375,184.625,-963843.4375
"14670",60.625,184.625,-963843.4375
"14790",60.875,184.625,-968093.785511364
"15068",61.875,184.625,-1150858.75
"9032",51.625,184.875,-1895064.7755102
"9158",51.875,184.875,-1927479.1875
"9292",52.125,184.875,-1927337.70833333
"13256",58.625,184.875,-891247.75
"13460",58.875,184.875,-891247.75
"13661",59.125,184.875,-891247.75
"13856",59.375,184.875,-891247.75
"14044",59.625,184.875,-891247.75
"14217",59.875,184.875,-898757.648706897
"14381",60.125,184.875,-957167.971982759
"14988",61.375,184.875,-1150858.75
"15040",61.625,184.875,-1150858.75
"15069",61.875,184.875,-1150858.75
"15095",62.125,184.875,-1150858.75
"9159",51.875,185.125,-1925874.11607143
"9293",52.125,185.125,-1926205.875
"9430",52.375,185.125,-1832523.86710526
"13257",58.625,185.125,-887094.838778409
"13461",58.875,185.125,-891247.75
"13662",59.125,185.125,-891247.75
"13857",59.375,185.125,-891247.75
"14534",60.375,185.125,-963843.4375
"14672",60.625,185.125,-963843.4375
"14792",60.875,185.125,-963843.4375
"14903",61.125,185.125,-976891.017441861
"14989",61.375,185.125,-1142058.02941176
"15041",61.625,185.125,-1150858.75
"15070",61.875,185.125,-1150858.75
"9160",51.875,185.375,-1905368.015625
"9431",52.375,185.375,-1817086.9765625
"14046",59.625,185.375,-891247.75
"14219",59.875,185.375,-891247.75
"14383",60.125,185.375,-891247.75
"14535",60.375,185.375,-929631.676724138
"15071",61.875,185.375,-1150858.75
"15097",62.125,185.375,-1150858.75
"9161",51.875,185.625,-1902908.73697917
"9432",52.375,185.625,-1815407.875
"13055",58.375,185.625,-836676.625
"13259",58.625,185.625,-836676.625
"13463",58.875,185.625,-850166.116573034
"13664",59.125,185.625,-890021.43258427
"13859",59.375,185.625,-891247.75
"14047",59.625,185.625,-891247.75
"14220",59.875,185.625,-891247.75
"14384",60.125,185.625,-891247.75
"14536",60.375,185.625,-892072.700994318
"14991",61.375,185.625,-992445.779411765
"15043",61.625,185.625,-1148658.56985294
"15072",61.875,185.625,-1150858.75
"15098",62.125,185.625,-1150858.75
"9162",51.875,185.875,-1857259.99489796
"9296",52.125,185.875,-1857883.88020833
"13056",58.375,185.875,-836676.625
"13260",58.625,185.875,-836676.625
"14221",59.875,185.875,-891247.75
"14385",60.125,185.875,-891247.75
"14537",60.375,185.875,-891247.75
"14675",60.625,185.875,-898844.973110465
"14795",60.875,185.875,-960505.704741379
"14906",61.125,185.875,-963843.4375
"14992",61.375,185.875,-963843.4375
"9163",51.875,186.125,-1852529.35394737
"9297",52.125,186.125,-1852613.125
"9434",52.375,186.125,-1797900.25
"13666",59.125,186.125,-836676.625
"13861",59.375,186.125,-871576.763081395
"14049",59.625,186.125,-891247.75
"14222",59.875,186.125,-891247.75
"14386",60.125,186.125,-891247.75
"15074",61.875,186.125,-1150858.75
"9164",51.875,186.375,-1836088.65561224
"9435",52.375,186.375,-1732761.83203125
"9573",52.625,186.375,-1731951.36469072
"13058",58.375,186.375,-836676.625
"13262",58.625,186.375,-836676.625
"13466",58.875,186.375,-836676.625
"13667",59.125,186.375,-836676.625
"13862",59.375,186.375,-839675.038461538
"14050",59.625,186.375,-882466.189655172
"14223",59.875,186.375,-891247.75
"14387",60.125,186.375,-891247.75
"14677",60.625,186.375,-891247.75
"14797",60.875,186.375,-891247.75
"14908",61.125,186.375,-937141.575431034
"14994",61.375,186.375,-963843.4375
"15046",61.625,186.375,-963843.4375
"15075",61.875,186.375,-1117856.04779412
"15101",62.125,186.375,-1150858.75
"9165",51.875,186.625,-1834210.875
"9299",52.125,186.625,-1834210.875
"9436",52.375,186.625,-1726023.375
"9574",52.625,186.625,-1726023.375
"11992",56.875,186.625,-832085.9375
"12150",57.125,186.625,-832085.9375
"12314",57.375,186.625,-788340.75
"12491",57.625,186.625,-788340.75
"12677",57.875,186.625,-788340.75
"12865",58.125,186.625,-820926.733146067
"13863",59.375,186.625,-836676.625
"14051",59.625,186.625,-844034.529494382
"14224",59.875,186.625,-888795.115168539
"14388",60.125,186.625,-891247.75
"14540",60.375,186.625,-891247.75
"14678",60.625,186.625,-891247.75
"14798",60.875,186.625,-891247.75
"14909",61.125,186.625,-898161.625
"15047",61.625,186.625,-963843.4375
"9166",51.875,186.875,-1734424.50637755
"9300",52.125,186.875,-1733785.54569892
"9437",52.375,186.875,-1677498.29896907
"11993",56.875,186.875,-812071.616666667
"12151",57.125,186.875,-812559.770833333
"13060",58.375,186.875,-827950.759129214
"13264",58.625,186.875,-836676.625
"13468",58.875,186.875,-836676.625
"13669",59.125,186.875,-836676.625
"13864",59.375,186.875,-836676.625
"14052",59.625,186.875,-836676.625
"14225",59.875,186.875,-855295.008823529
"14389",60.125,186.875,-890641.404166667
"9167",51.875,187.125,-1724578.7734375
"9301",52.125,187.125,-1724333.75
"9438",52.375,187.125,-1671940.125
"12316",57.375,187.125,-766076.4375
"12493",57.625,187.125,-766076.4375
"12679",57.875,187.125,-766076.4375
"12867",58.125,187.125,-766076.4375
"13061",58.375,187.125,-780817.135989011
"13265",58.625,187.125,-833538.838888889
"13865",59.375,187.125,-836676.625
"14053",59.625,187.125,-836676.625
"14226",59.875,187.125,-836676.625
"14390",60.125,187.125,-869159.4375
"14680",60.625,187.125,-891247.75
"14800",60.875,187.125,-891247.75
"14911",61.125,187.125,-891247.75
"9168",51.875,187.375,-1625089.21428571
"9302",52.125,187.375,-1625516.27659574
"9439",52.375,187.375,-1631769.61458333
"9577",52.625,187.375,-1632142.25382653
"11840",56.625,187.375,-862353.59478022
"11995",56.875,187.375,-799386.5
"12153",57.125,187.375,-799239.075549451
"12317",57.375,187.375,-751842.528897849
"12494",57.625,187.375,-751227.346590909
"13470",58.875,187.375,-830681.163793103
"13866",59.375,187.375,-836676.625
"14054",59.625,187.375,-836676.625
"14227",59.875,187.375,-836676.625
"14391",60.125,187.375,-837902.94241573
"14681",60.625,187.375,-891247.75
"9169",51.875,187.625,-1615753.16223404
"9303",52.125,187.625,-1615053.25
"9440",52.375,187.625,-1628117.75
"9578",52.625,187.625,-1628117.75
"12681",57.875,187.625,-749742.4375
"12869",58.125,187.625,-749742.4375
"13063",58.375,187.625,-749742.4375
"13267",58.625,187.625,-749742.4375
"13471",58.875,187.625,-769586.110733696
"13672",59.125,187.625,-830392.225903614
"13867",59.375,187.625,-836676.625
"14228",59.875,187.625,-836676.625
"14392",60.125,187.625,-836676.625
"9304",52.125,187.875,-1525930.21875
"9441",52.375,187.875,-1506736.67105263
"9579",52.625,187.875,-1506604.3515625
"11842",56.625,187.875,-851070.475274725
"11997",56.875,187.875,-788215.019701087
"12155",57.125,187.875,-788215.019701087
"12319",57.375,187.875,-753104.836376405
"12496",57.625,187.875,-749742.4375
"12682",57.875,187.875,-749742.4375
"12870",58.125,187.875,-749742.4375
"14229",59.875,187.875,-836676.625
"14393",60.125,187.875,-836676.625
"14545",60.375,187.875,-836676.625
"14683",60.625,187.875,-858137.179775281
"14803",60.875,187.875,-891247.75
"14914",61.125,187.875,-891247.75
"9171",51.875,188.125,-1517828.125
"9305",52.125,188.125,-1517828.125
"9442",52.375,188.125,-1494034
"11843",56.625,188.125,-850113.875
"11998",56.875,188.125,-787149.125
"12156",57.125,188.125,-787149.125
"13269",58.625,188.125,-749742.4375
"13473",58.875,188.125,-749742.4375
"13674",59.125,188.125,-749742.4375
"13869",59.375,188.125,-761733.359913793
"14057",59.625,188.125,-827885.52738764
"14230",59.875,188.125,-836676.625
"14394",60.125,188.125,-836676.625
"14684",60.625,188.125,-836676.625
"9306",52.125,188.375,-1493675.05681818
"9581",52.625,188.375,-1460089.68684211
"9725",52.875,188.375,-1436135.58776596
"12498",57.625,188.375,-750062.269078947
"12684",57.875,188.375,-749742.4375
"12872",58.125,188.375,-749742.4375
"13066",58.375,188.375,-749742.4375
"13270",58.625,188.375,-749742.4375
"14805",60.875,188.375,-840397.383522727
"14916",61.125,188.375,-884827.617647059
"9444",52.375,188.625,-1456918.93956044
"9582",52.625,188.625,-1456537.375
"9726",52.875,188.625,-1433809.875
"11845",56.625,188.625,-830818.375
"12000",56.875,188.625,-780671.512096774
"12158",57.125,188.625,-780126.4375
"12322",57.375,188.625,-780126.4375
"12499",57.625,188.625,-760791.164772727
"14059",59.625,188.625,-749742.4375
"14232",59.875,188.625,-759191.805706522
"14396",60.125,188.625,-825426.318382353
"14548",60.375,188.625,-836676.625
"14686",60.625,188.625,-836676.625
"14806",60.875,188.625,-836676.625
"14917",61.125,188.625,-851271.228197674
"9445",52.375,188.875,-1510605.89772727
"12323",57.375,188.875,-786519.41875
"12874",58.125,188.875,-749742.4375
"13068",58.375,188.875,-749742.4375
"13272",58.625,188.875,-749742.4375
"13476",58.875,188.875,-749742.4375
"13677",59.125,188.875,-749742.4375
"13872",59.375,188.875,-749742.4375
"14060",59.625,188.875,-749742.4375
"9446",52.375,189.125,-1516012.75
"9584",52.625,189.125,-1516012.75
"11847",56.625,189.125,-824264.9375
"12002",56.875,189.125,-787229.75
"12160",57.125,189.125,-787229.75
"12324",57.375,189.125,-787229.75
"12501",57.625,189.125,-787229.75
"12687",57.875,189.125,-782117.84375
"12875",58.125,189.125,-752899.263815789
"9310",52.125,189.375,-1491568.3878866
"9447",52.375,189.375,-1493920.70454545
"9585",52.625,189.375,-1493801.93010753
"9729",52.875,189.375,-1444026.64516129
"11691",56.375,189.375,-828490.988815789
"11848",56.625,189.375,-828471.548763736
"12003",56.875,189.375,-823689.93125
"12161",57.125,189.375,-823597.860085227
"12325",57.375,189.375,-823777.999320652
"12502",57.625,189.375,-823820.612903226
"12688",57.875,189.375,-822918.287202381
"13679",59.125,189.375,-749742.4375
"13874",59.375,189.375,-749742.4375
"14062",59.625,189.375,-749742.4375
"14235",59.875,189.375,-749742.4375
"14399",60.125,189.375,-749742.4375
"14551",60.375,189.375,-749742.4375
"9448",52.375,189.625,-1491711.5
"9586",52.625,189.625,-1491711.5
"9730",52.875,189.625,-1444849.625
"9877",53.125,189.625,-1444849.625
"12004",56.875,189.625,-827741.0625
"12162",57.125,189.625,-827741.0625
"12326",57.375,189.625,-827741.0625
"12503",57.625,189.625,-827741.0625
"12689",57.875,189.625,-827741.0625
"12877",58.125,189.625,-827741.0625
"13071",58.375,189.625,-817888.604605263
"13275",58.625,189.625,-760142.254166667
"13479",58.875,189.625,-749742.4375
"13680",59.125,189.625,-749742.4375
"9449",52.375,189.875,-1434553.71348315
"9587",52.625,189.875,-1434617.86363636
"9731",52.875,189.875,-1524351.21590909
"9878",53.125,189.875,-1523467.86489899
"11693",56.375,189.875,-842614.76875
"11850",56.625,189.875,-842614.76875
"12005",56.875,189.875,-857537.527631579
"12163",57.125,189.875,-857502.01755618
"12327",57.375,189.875,-857425.049568966
"12504",57.625,189.875,-857611.194972826
"12690",57.875,189.875,-857646.022177419
"14401",60.125,189.875,-749742.4375
"14553",60.375,189.875,-749742.4375
"9450",52.375,190.125,-1429097.41973684
"9588",52.625,190.125,-1428908.5
"9732",52.875,190.125,-1532301.375
"9879",53.125,190.125,-1532301.375
"12006",56.875,190.125,-860850.125
"12164",57.125,190.125,-860850.125
"12328",57.375,190.125,-860850.125
"12505",57.625,190.125,-860850.125
"12691",57.875,190.125,-860850.125
"13073",58.375,190.125,-860850.125
"13277",58.625,190.125,-860850.125
"13481",58.875,190.125,-859527.414434524
"13682",59.125,190.125,-809084.043323864
"13877",59.375,190.125,-752081.546710526
"14065",59.625,190.125,-749742.4375
"14238",59.875,190.125,-749742.4375
"14402",60.125,190.125,-749742.4375
"14554",60.375,190.125,-749742.4375
"9451",52.375,190.375,-1384422.93181818
"9589",52.625,190.375,-1384610.23947368
"9734",52.875,190.375,-1506688.5
"9880",53.125,190.375,-1506720.4761236
"11695",56.375,190.375,-856988.5125
"11852",56.625,190.375,-856988.5125
"12007",56.875,190.375,-834071.75
"12165",57.125,190.375,-833915.151315789
"12329",57.375,190.375,-834071.75
"12506",57.625,190.375,-834724.881097561
"12692",57.875,190.375,-834071.75
"12880",58.125,190.375,-834071.75
"13074",58.375,190.375,-834366.017857143
"9590",52.625,190.625,-1379974.375
"9736",52.875,190.625,-1503842.625
"11696",56.375,190.625,-858416.6875
"11853",56.625,190.625,-858416.6875
"12008",56.875,190.625,-831096.375
"12166",57.125,190.625,-831096.375
"12330",57.375,190.625,-831096.375
"12507",57.625,190.625,-831096.375
"12693",57.875,190.625,-831096.375
"13879",59.375,190.625,-831096.375
"14067",59.625,190.625,-829365.440159575
"14240",59.875,190.625,-791703.942105263
"14404",60.125,190.625,-752515.8671875
"14556",60.375,190.625,-749742.4375
"9591",52.625,190.875,-1388149.14772727
"9737",52.875,190.875,-1470019.70833333
"9882",53.125,190.875,-1470200.57954545
"12009",56.875,190.875,-795492.825
"12167",57.125,190.875,-795284.617105263
"12331",57.375,190.875,-795492.825
"12508",57.625,190.875,-795492.825
"12694",57.875,190.875,-795701.032894737
"12882",58.125,190.875,-795492.825
"13076",58.375,190.875,-795492.825
"13280",58.625,190.875,-795284.617105263
"13484",58.875,190.875,-796246.339285714
"13685",59.125,190.875,-795725.527941176
"13880",59.375,190.875,-795932.375
"14068",59.625,190.875,-796136.816860465
"9592",52.625,191.125,-1388966.625
"9738",52.875,191.125,-1466836.375
"9883",53.125,191.125,-1466836.375
"10027",53.375,191.125,-1359280.375
"11698",56.375,191.125,-835017.4375
"11855",56.625,191.125,-835017.4375
"12010",56.875,191.125,-791536.875
"12168",57.125,191.125,-791536.875
"12332",57.375,191.125,-791536.875
"12509",57.625,191.125,-791536.875
"12695",57.875,191.125,-791536.875
"9739",52.875,191.375,-1443908.79651163
"10028",53.375,191.375,-1375205.5375
"12011",56.875,191.375,-767697.5625
"12169",57.125,191.375,-767558.151315789
"12333",57.375,191.375,-767697.5625
"12510",57.625,191.375,-767697.5625
"12696",57.875,191.375,-767836.973684211
"13282",58.625,191.375,-767853.375
"13486",58.875,191.375,-767991.875
"13687",59.125,191.375,-768128.764534884
"13882",59.375,191.375,-767991.875
"14070",59.625,191.375,-767853.375
"14243",59.875,191.375,-768024.943820225
"14407",60.125,191.375,-767697.5625
"14559",60.375,191.375,-767836.973684211
"9740",52.875,191.625,-1441557.25
"9885",53.125,191.625,-1441557.25
"10029",53.375,191.625,-1376975
"10171",53.625,191.625,-1376975
"11542",56.125,191.625,-860418.875
"11700",56.375,191.625,-811027.1875
"11857",56.625,191.625,-811027.1875
"12012",56.875,191.625,-765048.75
"12170",57.125,191.625,-765048.75
"12334",57.375,191.625,-765048.75
"12511",57.625,191.625,-765048.75
"12697",57.875,191.625,-765048.75
"12885",58.125,191.625,-765048.75
"13079",58.375,191.625,-765048.75
"13283",58.625,191.625,-765048.75
"9741",52.875,191.875,-1385488.15909091
"9886",53.125,191.875,-1385786.39893617
"10030",53.375,191.875,-1377495.06578947
"10172",53.625,191.875,-1357877.09722222
"11227",55.625,191.875,-937057.96875
"11385",55.875,191.875,-859291.059210526
"11543",56.125,191.875,-859280.358870968
"11701",56.375,191.875,-803322.2875
"11858",56.625,191.875,-803322.2875
"14245",59.875,191.875,-765048.75
"14409",60.125,191.875,-765048.75
"14561",60.375,191.875,-765048.75
"9742",52.875,192.125,-1379881.25
"9887",53.125,192.125,-1379881.25
"12336",57.375,192.125,-765048.75
"12513",57.625,192.125,-765048.75
"12699",57.875,192.125,-765048.75
"12887",58.125,192.125,-765048.75
"13081",58.375,192.125,-765048.75
"13285",58.625,192.125,-765048.75
"13489",58.875,192.125,-765048.75
"13690",59.125,192.125,-765048.75
"13885",59.375,192.125,-765048.75
"14073",59.625,192.125,-765048.75
"14246",59.875,192.125,-765048.75
"14410",60.125,192.125,-765048.75
"14562",60.375,192.125,-765048.75
"9743",52.875,192.375,-1288386.1456044
"9888",53.125,192.375,-1288600.28787879
"10032",53.375,192.375,-1443180.375
"10174",53.625,192.375,-1443180.375
"11077",55.375,192.375,-922881.961984536
"11229",55.625,192.375,-922980.23125
"11387",55.875,192.375,-860528.11875
"11545",56.125,192.375,-860513.066620879
"11703",56.375,192.375,-801743.377038043
"11860",56.625,192.375,-801741.709441489
"12015",56.875,192.375,-794868.62293956
"12173",57.125,192.375,-765880.9375
"12337",57.375,192.375,-765048.75
"12514",57.625,192.375,-765048.75
"9744",52.875,192.625,-1278344
"9889",53.125,192.625,-1278344
"10033",53.375,192.625,-1443180.375
"10175",53.625,192.625,-1443180.375
"10313",53.875,192.625,-1250692.375
"11078",55.375,192.625,-921618.5
"13692",59.125,192.625,-765048.75
"13887",59.375,192.625,-765048.75
"14075",59.625,192.625,-765048.75
"14564",60.375,192.625,-765048.75
"9890",53.125,192.875,-1234133.375
"10034",53.375,192.875,-1413933.36842105
"10176",53.625,192.875,-1406457.79924242
"10314",53.875,192.875,-1231438.59478022
"11079",55.375,192.875,-898791.29375
"11231",55.625,192.875,-898683.363696808
"11389",55.875,192.875,-849620.224587912
"11547",56.125,192.875,-849594.118951613
"11705",56.375,192.875,-804562.573138298
"11862",56.625,192.875,-804548.9375
"12017",56.875,192.875,-804548.9375
"12175",57.125,192.875,-801932.808988764
"12339",57.375,192.875,-772593.710526316
"12516",57.625,192.875,-765048.75
"12702",57.875,192.875,-765048.75
"12890",58.125,192.875,-765048.75
"13084",58.375,192.875,-765048.75
"13288",58.625,192.875,-765048.75
"13492",58.875,192.875,-765048.75
"13693",59.125,192.875,-765048.75
"13888",59.375,192.875,-765048.75
"14076",59.625,192.875,-765048.75
"14565",60.375,192.875,-765048.75
"9891",53.125,193.125,-1229452.25
"10035",53.375,193.125,-1231039.83333333
"10177",53.625,193.125,-1232183.31181319
"10315",53.875,193.125,-1229325.375
"10807",54.875,193.125,-966193.8125
"10938",55.125,193.125,-966193.8125
"11080",55.375,193.125,-896254.9375
"11232",55.625,193.125,-896254.9375
"11390",55.875,193.125,-848406.3125
"11548",56.125,193.125,-848406.3125
"9892",53.125,193.375,-1199594.23958333
"10036",53.375,193.375,-1213996.23351648
"10178",53.625,193.375,-1213824.5
"10316",53.875,193.375,-1265177.74202128
"10447",54.125,193.375,-1265599.53457447
"12518",57.625,193.375,-788996.485632184
"12704",57.875,193.375,-769218.778947368
"12892",58.125,193.375,-765048.75
"13086",58.375,193.375,-765048.75
"13290",58.625,193.375,-765048.75
"13494",58.875,193.375,-765048.75
"13695",59.125,193.375,-765048.75
"13890",59.375,193.375,-765048.75
"14078",59.625,193.375,-765048.75
"10037",53.375,193.625,-1213824.5
"10179",53.625,193.625,-1213824.5
"10317",53.875,193.625,-1268973.875
"10448",54.125,193.625,-1268973.875
"10809",54.875,193.625,-943131.0625
"10940",55.125,193.625,-943131.0625
"11082",55.375,193.625,-872901.5
"11234",55.625,193.625,-872901.5
"11392",55.875,193.625,-821266.8125
"11550",56.125,193.625,-821266.8125
"11708",56.375,193.625,-793345.375
"11865",56.625,193.625,-793345.375
"12020",56.875,193.625,-793345.375
"12178",57.125,193.625,-793345.375
"12342",57.375,193.625,-793345.375
"12519",57.625,193.625,-793345.375
"12705",57.875,193.625,-791393.88362069
"10038",53.375,193.875,-1147316.29846939
"10180",53.625,193.875,-1147602.49202128
"10318",53.875,193.875,-1260385.08244681
"10449",54.125,193.875,-1260504.49184783
"14080",59.625,193.875,-765048.75
"10039",53.375,194.125,-1140590.75
"10181",53.625,194.125,-1140590.75
