area_name,area_type,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,tonnes,landed_value
USA (West Coast),eez,1950,"Marine fishes not identified","Marine fishes","Small demersals (<30 cm)","Other fishes & inverts","American Samoa",Industrial,Discards,Unreported,0.0003025816,0.524979026000425
USA (West Coast),eez,1950,"Marine fishes not identified","Marine fishes","Small demersals (<30 cm)","Other fishes & inverts","American Samoa",Industrial,Landings,Reported,0.0050430262,8.74965043334042
USA (West Coast),eez,1950,"Marine fishes not identified","Marine fishes","Small demersals (<30 cm)","Other fishes & inverts","USA",Industrial,Discards,Unreported,154.5504530901,54092.65858153
USA (West Coast),eez,1950,"Marine fishes not identified","Marine fishes","Small demersals (<30 cm)","Other fishes & inverts","USA",Industrial,Landings,Reported,557.2000000000,195020
USA (West Coast),eez,1950,"Marine fishes not identified","Marine fishes","Small demersals (<30 cm)","Other fishes & inverts","USA",Artisanal,Discards,Unreported,324.3029956159,113506.048465558
USA (West Coast),eez,1950,"Marine fishes not identified","Marine fishes","Small demersals (<30 cm)","Other fishes & inverts","USA",Artisanal,Landings,Reported,1610.6000000000,563710
USA (West Coast),eez,1950,"Marine fishes not identified","Marine fishes","Small demersals (<30 cm)","Other fishes & inverts","USA",Recreational,Discards,Unreported,195.4002032397,68390.0711338893
USA (West Coast),eez,1950,"Marine fishes not identified","Marine fishes","Small demersals (<30 cm)","Other fishes & inverts","USA",Recreational,Landings,Unreported,1723.9168771299,603370.906995474
USA (West Coast),eez,1950,"Miscellaneous marine crustaceans","Marine crustaceans","Lobsters, crabs","Crustaceans","USA",Industrial,Discards,Unreported,10.5712724776,23817.0768919727
USA (West Coast),eez,1950,"Miscellaneous marine molluscs","Marine molluscs","Other demersal invertebrates","Molluscs","USA",Industrial,Discards,Unreported,2.1870371420,8979.97450519892
USA (West Coast),eez,1950,"Miscellaneous aquatic invertebrates","Aquatic invertebrates","Other demersal invertebrates","Other fishes & inverts","USA",Industrial,Discards,Unreported,272.8329020990,631335.335457184
USA (West Coast),eez,1950,"Sharks rays and chimaeras","Cartilaginous fishes","Small to medium rays (<90 cm)","Sharks & rays","USA",Recreational,Discards,Unreported,0.4837767290,484.744282413161
USA (West Coast),eez,1950,"Sharks rays and chimaeras","Cartilaginous fishes","Small to medium rays (<90 cm)","Sharks & rays","USA",Recreational,Landings,Unreported,2.2485140249,2253.01105295849
USA (West Coast),eez,1950,"Marine fishes not identified","Pelagic fishes","Small pelagics (<30 cm)","Other fishes & inverts","Chile",Industrial,Landings,Reported,1293.9178593195,1896883.58176246
USA (West Coast),eez,1950,"Elasmobranchii","Sharks and rays","Small to medium rays (<90 cm)","Sharks & rays","USA",Industrial,Discards,Unreported,49.0138430022,50533.2721352654
USA (West Coast),eez,1950,"Elasmobranchii","Sharks and rays","Small to medium rays (<90 cm)","Sharks & rays","USA",Industrial,Landings,Reported,5.8000000000,5979.8
USA (West Coast),eez,1950,"Elasmobranchii","Sharks and rays","Small to medium rays (<90 cm)","Sharks & rays","USA",Artisanal,Landings,Reported,15.7000000000,16186.7
USA (West Coast),eez,1950,"Elasmobranchii","Sharks and rays","Small to medium rays (<90 cm)","Sharks & rays","USA",Recreational,Discards,Unreported,91.7595590516,94604.1053822179
USA (West Coast),eez,1950,"Elasmobranchii","Sharks and rays","Small to medium rays (<90 cm)","Sharks & rays","USA",Recreational,Landings,Unreported,111.8243311749,115290.88544135
USA (West Coast),eez,1950,"Cephalopoda","Cephalopods","Cephalopods","Other fishes & inverts","USA",Industrial,Discards,Unreported,16.1055129831,9534.4636860086
USA (West Coast),eez,1950,"Bivalvia","Clams","Other demersal invertebrates","Molluscs","USA",Artisanal,Landings,Reported,63.4000000000,489004.2
USA (West Coast),eez,1950,"Bivalvia","Clams","Other demersal invertebrates","Molluscs","USA",Recreational,Landings,Unreported,0.1807590218,1394.19433546156
USA (West Coast),eez,1950,"Rajiformes","Skates and rays","Small to medium rays (<90 cm)","Sharks & rays","USA",Industrial,Discards,Unreported,2.0783796779,573.6327911019
USA (West Coast),eez,1950,"Rajiformes","Skates and rays","Small to medium rays (<90 cm)","Sharks & rays","USA",Industrial,Landings,Reported,288.6000000000,79653.6
USA (West Coast),eez,1950,"Rajiformes","Skates and rays","Small to medium rays (<90 cm)","Sharks & rays","USA",Artisanal,Discards,Unreported,86.4170106568,23851.0949412648
USA (West Coast),eez,1950,"Rajiformes","Skates and rays","Small to medium rays (<90 cm)","Sharks & rays","USA",Artisanal,Landings,Reported,21.8000000000,6016.8
USA (West Coast),eez,1950,"Rajiformes","Skates and rays","Small to medium rays (<90 cm)","Sharks & rays","USA",Recreational,Discards,Unreported,0.1590767738,43.905189557921
