area_name,area_type,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,tonnes,landed_value
East Bering Sea,lme,1950,"Sharks or rays and chimaeras","Sharks/rays/skates/chimaeras","Small to medium rays (<90 cm)","Sharks & rays","Taiwan",Industrial,Landings,Reported,51.8643532911,99787.0157320643
East Bering Sea,lme,1950,"Sharks or rays and chimaeras","Sharks/rays/skates/chimaeras","Small to medium rays (<90 cm)","Sharks & rays","Taiwan",Industrial,Landings,Unreported,5.6790018129,10926.3994879891
East Bering Sea,lme,1950,"Marine fishes not identified","Marine fishes","Small demersals (<30 cm)","Other fishes & inverts","Taiwan",Industrial,Discards,Unreported,4.9738470427,9649.26326275162
East Bering Sea,lme,1950,"Marine fishes not identified","Marine fishes","Small demersals (<30 cm)","Other fishes & inverts","Taiwan",Industrial,Landings,Reported,82.1036898647,159281.158337521
East Bering Sea,lme,1950,"Marine fishes not identified","Marine fishes","Small demersals (<30 cm)","Other fishes & inverts","Taiwan",Industrial,Landings,Unreported,8.9901247003,17440.841918536
East Bering Sea,lme,1950,"Marine fishes not identified","Marine fishes","Small demersals (<30 cm)","Other fishes & inverts","Hong Kong",Industrial,Discards,Unreported,78.1847983395,191787.310326865
East Bering Sea,lme,1950,"Marine fishes not identified","Marine fishes","Small demersals (<30 cm)","Other fishes & inverts","Hong Kong",Industrial,Landings,Reported,190.9842816804,468484.442961953
East Bering Sea,lme,1950,"Marine fishes not identified","Marine fishes","Small demersals (<30 cm)","Other fishes & inverts","Hong Kong",Industrial,Landings,Unreported,265.9159137272,652291.736372863
East Bering Sea,lme,1950,"Marine fishes not identified","Marine fishes","Small demersals (<30 cm)","Other fishes & inverts","Japan",Industrial,Discards,Unreported,333.1856274613,961573.72085326
East Bering Sea,lme,1950,"Marine fishes not identified","Marine fishes","Small demersals (<30 cm)","Other fishes & inverts","Russian Federation",Industrial,Discards,Unreported,9.3973722816,14556.5296642617
East Bering Sea,lme,1950,"Marine fishes not identified","Marine fishes","Small demersals (<30 cm)","Other fishes & inverts","Russian Federation",Industrial,Landings,Reported,64.6016854531,100068.010766861
East Bering Sea,lme,1950,"Marine fishes not identified","Marine fishes","Small demersals (<30 cm)","Other fishes & inverts","Russian Federation",Subsistence,Landings,Unreported,0.0004415307,0.683931121016456
East Bering Sea,lme,1950,"Marine fishes not identified","Marine fishes","Small demersals (<30 cm)","Other fishes & inverts","Russian Federation",Recreational,Landings,Unreported,0.0008462131,1.31078411464854
East Bering Sea,lme,1950,"Marine fishes not identified","Marine fishes","Small demersals (<30 cm)","Other fishes & inverts","USA",Subsistence,Landings,Unreported,13.1404454592,4599.15591072564
East Bering Sea,lme,1950,"Marine fishes not identified","Marine fishes","Small demersals (<30 cm)","Other fishes & inverts","USA",Artisanal,Landings,Reported,251.1130205514,87889.5571929938
East Bering Sea,lme,1950,"Marine fishes not identified","Marine fishes","Small demersals (<30 cm)","Other fishes & inverts","USA",Artisanal,Landings,Unreported,6.8190677190,2386.67370165965
East Bering Sea,lme,1950,"Marine fishes not identified","Marine fishes","Small demersals (<30 cm)","Other fishes & inverts","USA",Recreational,Landings,Unreported,2.9204478713,1022.15675495544
East Bering Sea,lme,1950,"Shrimps and prawns","Shrimps and prawns","Shrimps","Crustaceans","Taiwan",Industrial,Discards,Unreported,0.2999379536,1411.20807159585
East Bering Sea,lme,1950,"Shrimps and prawns","Shrimps and prawns","Shrimps","Crustaceans","Taiwan",Industrial,Landings,Reported,9.8274969431,46238.3731174735
East Bering Sea,lme,1950,"Shrimps and prawns","Shrimps and prawns","Shrimps","Crustaceans","Taiwan",Industrial,Landings,Unreported,1.0760834642,5062.97269890068
East Bering Sea,lme,1950,"Shrimps and prawns","Shrimps and prawns","Shrimps","Crustaceans","USA",Subsistence,Landings,Unreported,12.6373123359,34638.873112838
East Bering Sea,lme,1950,"Miscellaneous marine molluscs","Marine molluscs","Other demersal invertebrates","Molluscs","Taiwan",Industrial,Landings,Reported,2.3181261817,13765.0332671823
East Bering Sea,lme,1950,"Miscellaneous marine molluscs","Marine molluscs","Other demersal invertebrates","Molluscs","Taiwan",Industrial,Landings,Unreported,0.2538283417,1507.2326929441
East Bering Sea,lme,1950,"Miscellaneous marine molluscs","Marine molluscs","Other demersal invertebrates","Molluscs","USA",Subsistence,Landings,Unreported,5.8534581088,24034.2989945763
East Bering Sea,lme,1950,"Miscellaneous aquatic invertebrates","Aquatic invertebrates","Other demersal invertebrates","Other fishes & inverts","USA",Subsistence,Landings,Unreported,0.2060124459,476.712799769303
East Bering Sea,lme,1950,"Marine fishes not identified","Groundfishes","Small demersals (<30 cm)","Other fishes & inverts","USA",Subsistence,Landings,Unreported,0.3938056333,577.319058451108
East Bering Sea,lme,1950,"Sharks rays and chimaeras","Cartilaginous fishes","Small to medium rays (<90 cm)","Sharks & rays","USA",Artisanal,Landings,Reported,1.8887487500,1892.52624745059
East Bering Sea,lme,1950,"Shrimps and prawns","Natantian decapods","Shrimps","Crustaceans","Hong Kong",Industrial,Landings,Reported,1.9963290024,2509.38555599391
East Bering Sea,lme,1950,"Shrimps and prawns","Natantian decapods","Shrimps","Crustaceans","Hong Kong",Industrial,Landings,Unreported,2.7795777019,3493.92917126425
East Bering Sea,lme,1950,"Sharks rays and chimaeras","Various sharks","Small to medium rays (<90 cm)","Sharks & rays","USA",Subsistence,Landings,Unreported,0.0090740279,13.302524935518
East Bering Sea,lme,1950,"Elasmobranchii","Sharks and rays","Small to medium rays (<90 cm)","Sharks & rays","Russian Federation",Industrial,Discards,Unreported,12.7284298352,10780.9800704113
East Bering Sea,lme,1950,"Cephalopoda","Cephalopods","Cephalopods","Other fishes & inverts","Hong Kong",Industrial,Landings,Reported,1.8458921836,4284.31575818619
