"region","area","conservation","fishery"
"ebs",2195,79,10
"goa",661,61,10
"bc",237,93,10
"wc",228,80,10
"gmex",651,165,10
"seus",269,71,10
"neus",478,38,10
"maritime",1131,29,10
"newf",1444,44,10
