"","period","model","rcp","nmet","mid","pmet"
"70","2081-2100",1,85,56,2090.5,0.746666666666667
"71","2006-2020",2,85,71,2013,0.946666666666667
"72","2021-2040",2,85,71,2030.5,0.946666666666667
"73","2041-2060",2,85,72,2050.5,0.96
"74","2061-2080",2,85,70,2070.5,0.933333333333333
"75","2081-2100",2,85,60,2090.5,0.8
"76","2006-2020",3,85,68,2013,0.906666666666667
"77","2021-2040",3,85,69,2030.5,0.92
"78","2041-2060",3,85,68,2050.5,0.906666666666667
"79","2061-2080",3,85,69,2070.5,0.92
"80","2081-2100",3,85,59,2090.5,0.786666666666667
"81","2006-2020",4,85,67,2013,0.893333333333333
"82","2021-2040",4,85,72,2030.5,0.96
"83","2041-2060",4,85,62,2050.5,0.826666666666667
"84","2061-2080",4,85,64,2070.5,0.853333333333333
"85","2081-2100",4,85,59,2090.5,0.786666666666667
"86","2006-2020",5,85,69,2013,0.92
"87","2021-2040",5,85,69,2030.5,0.92
"88","2041-2060",5,85,69,2050.5,0.92
"89","2061-2080",5,85,69,2070.5,0.92
"90","2081-2100",5,85,58,2090.5,0.773333333333333
"91","2006-2020",6,85,68,2013,0.906666666666667
"92","2021-2040",6,85,69,2030.5,0.92
"93","2041-2060",6,85,73,2050.5,0.973333333333333
"94","2061-2080",6,85,64,2070.5,0.853333333333333
"95","2081-2100",6,85,62,2090.5,0.826666666666667
"96","2006-2020",7,85,62,2013,0.826666666666667
"97","2021-2040",7,85,65,2030.5,0.866666666666667
"98","2041-2060",7,85,64,2050.5,0.853333333333333
"99","2061-2080",7,85,69,2070.5,0.92
"100","2081-2100",7,85,51,2090.5,0.68
"101","2006-2020",8,85,68,2013,0.906666666666667
"102","2021-2040",8,85,69,2030.5,0.92
"103","2041-2060",8,85,67,2050.5,0.893333333333333
"104","2061-2080",8,85,68,2070.5,0.906666666666667
"105","2081-2100",8,85,66,2090.5,0.88
"106","2006-2020",9,85,69,2013,0.92
"107","2021-2040",9,85,69,2030.5,0.92
"108","2041-2060",9,85,69,2050.5,0.92
"109","2061-2080",9,85,72,2070.5,0.96
"110","2081-2100",9,85,63,2090.5,0.84
"111","2006-2020",10,85,72,2013,0.96
"112","2021-2040",10,85,70,2030.5,0.933333333333333
"113","2041-2060",10,85,73,2050.5,0.973333333333333
"114","2061-2080",10,85,66,2070.5,0.88
"115","2081-2100",10,85,63,2090.5,0.84
"116","2006-2020",11,85,68,2013,0.906666666666667
"117","2021-2040",11,85,67,2030.5,0.893333333333333
"118","2041-2060",11,85,70,2050.5,0.933333333333333
"119","2061-2080",11,85,68,2070.5,0.906666666666667
"120","2081-2100",11,85,61,2090.5,0.813333333333333
"121","2006-2020",12,85,72,2013,0.96
"122","2021-2040",12,85,74,2030.5,0.986666666666667
"123","2041-2060",12,85,71,2050.5,0.946666666666667
"124","2061-2080",12,85,52,2070.5,0.693333333333333
"125","2081-2100",12,85,58,2090.5,0.773333333333333
"126","2006-2020",13,85,70,2013,0.933333333333333
"127","2021-2040",13,85,70,2030.5,0.933333333333333
"128","2041-2060",13,85,73,2050.5,0.973333333333333
"129","2061-2080",13,85,70,2070.5,0.933333333333333
"130","2081-2100",13,85,63,2090.5,0.84
