"","period","model","rcp","nmet","mid","pmet"
"1","2006-2020",1,45,70,2013,0.933333333333333
"2","2021-2040",1,45,69,2030.5,0.92
"3","2041-2060",1,45,70,2050.5,0.933333333333333
"4","2061-2080",1,45,67,2070.5,0.893333333333333
"5","2081-2100",1,45,64,2090.5,0.853333333333333
"6","2006-2020",2,45,68,2013,0.906666666666667
"7","2021-2040",2,45,71,2030.5,0.946666666666667
"8","2041-2060",2,45,73,2050.5,0.973333333333333
"9","2061-2080",2,45,73,2070.5,0.973333333333333
"10","2081-2100",2,45,71,2090.5,0.946666666666667
"11","2006-2020",3,45,67,2013,0.893333333333333
"12","2021-2040",3,45,70,2030.5,0.933333333333333
"13","2041-2060",3,45,65,2050.5,0.866666666666667
"14","2061-2080",3,45,66,2070.5,0.88
"15","2081-2100",3,45,62,2090.5,0.826666666666667
"16","2006-2020",4,45,60,2013,0.8
"17","2021-2040",4,45,69,2030.5,0.92
"18","2041-2060",4,45,66,2050.5,0.88
"19","2061-2080",4,45,65,2070.5,0.866666666666667
"20","2081-2100",4,45,67,2090.5,0.893333333333333
"21","2006-2020",5,45,65,2013,0.866666666666667
"22","2021-2040",5,45,66,2030.5,0.88
"23","2041-2060",5,45,73,2050.5,0.973333333333333
"24","2061-2080",5,45,72,2070.5,0.96
"25","2081-2100",5,45,64,2090.5,0.853333333333333
"26","2006-2020",6,45,70,2013,0.933333333333333
"27","2021-2040",6,45,70,2030.5,0.933333333333333
"28","2041-2060",6,45,73,2050.5,0.973333333333333
"29","2061-2080",6,45,71,2070.5,0.946666666666667
"30","2081-2100",6,45,70,2090.5,0.933333333333333
"31","2006-2020",7,45,63,2013,0.84
"32","2021-2040",7,45,63,2030.5,0.84
"33","2041-2060",7,45,64,2050.5,0.853333333333333
"34","2061-2080",7,45,69,2070.5,0.92
"35","2081-2100",7,45,68,2090.5,0.906666666666667
"36","2006-2020",8,45,70,2013,0.933333333333333
"37","2021-2040",8,45,70,2030.5,0.933333333333333
"38","2041-2060",8,45,71,2050.5,0.946666666666667
"39","2061-2080",8,45,67,2070.5,0.893333333333333
"40","2081-2100",8,45,66,2090.5,0.88
"41","2006-2020",9,45,67,2013,0.893333333333333
"42","2021-2040",9,45,72,2030.5,0.96
"43","2041-2060",9,45,72,2050.5,0.96
"44","2061-2080",9,45,72,2070.5,0.96
"45","2081-2100",9,45,70,2090.5,0.933333333333333
"46","2006-2020",10,45,70,2013,0.933333333333333
"47","2021-2040",10,45,71,2030.5,0.946666666666667
"48","2041-2060",10,45,69,2050.5,0.92
"49","2061-2080",10,45,73,2070.5,0.973333333333333
"50","2081-2100",10,45,72,2090.5,0.96
"51","2006-2020",11,45,69,2013,0.92
"52","2021-2040",11,45,73,2030.5,0.973333333333333
"53","2041-2060",11,45,67,2050.5,0.893333333333333
"54","2061-2080",11,45,70,2070.5,0.933333333333333
"55","2081-2100",11,45,68,2090.5,0.906666666666667
"56","2006-2020",12,45,72,2013,0.96
"57","2021-2040",12,45,72,2030.5,0.96
"58","2041-2060",12,45,73,2050.5,0.973333333333333
"59","2061-2080",12,45,66,2070.5,0.88
"60","2081-2100",12,45,62,2090.5,0.826666666666667
"61","2006-2020",13,45,69,2013,0.92
"62","2021-2040",13,45,72,2030.5,0.96
"63","2041-2060",13,45,71,2050.5,0.946666666666667
"64","2061-2080",13,45,71,2070.5,0.946666666666667
"65","2081-2100",13,45,69,2090.5,0.92
"66","2006-2020",1,85,68,2013,0.906666666666667
"67","2021-2040",1,85,69,2030.5,0.92
"68","2041-2060",1,85,70,2050.5,0.933333333333333
"69","2061-2080",1,85,62,2070.5,0.826666666666667
