"","year_range","model","rcp","region","mid","ngoals","nmet","pmet"
"1","2007-2020","test",26,"ebs",2013.5,137,102,0.744525547445255
"2","2007-2020","test",85,"ebs",2013.5,136,97,0.713235294117647
"3","2007-2020","train",26,"ebs",2013.5,144,133,0.923611111111111
"4","2007-2020","train",85,"ebs",2013.5,144,132,0.916666666666667
"5","2021-2040","test",26,"ebs",2030.5,130,96,0.738461538461539
"6","2021-2040","test",85,"ebs",2030.5,127,91,0.716535433070866
"7","2021-2040","train",26,"ebs",2030.5,139,112,0.805755395683453
"8","2021-2040","train",85,"ebs",2030.5,132,100,0.757575757575758
"9","2041-2060","test",26,"ebs",2050.5,125,94,0.752
"10","2041-2060","test",85,"ebs",2050.5,106,80,0.754716981132076
"11","2041-2060","train",26,"ebs",2050.5,137,106,0.773722627737226
"12","2041-2060","train",85,"ebs",2050.5,118,89,0.754237288135593
"13","2061-2080","test",26,"ebs",2070.5,123,89,0.723577235772358
"14","2061-2080","train",26,"ebs",2070.5,137,105,0.766423357664234
"15","2061-2080","train",85,"ebs",2070.5,103,76,0.737864077669903
"16","2081-2100","test",26,"ebs",2090.5,122,91,0.745901639344262
"17","2081-2100","train",26,"ebs",2090.5,135,101,0.748148148148148
"18","2081-2100","train",85,"ebs",2090.5,86,86,1
"19","2061-2080","test",85,"ebs",2070.5,85,67,0.788235294117647
"20","2081-2100","test",85,"ebs",2090.5,79,61,0.772151898734177
"21","2007-2020","test",26,"goa",2013.5,130,114,0.876923076923077
"22","2007-2020","test",85,"goa",2013.5,128,115,0.8984375
"23","2007-2020","train",26,"goa",2013.5,132,131,0.992424242424242
"24","2007-2020","train",85,"goa",2013.5,133,127,0.954887218045113
"25","2021-2040","test",26,"goa",2030.5,127,112,0.881889763779528
"26","2021-2040","test",85,"goa",2030.5,127,113,0.889763779527559
"27","2021-2040","train",26,"goa",2030.5,130,120,0.923076923076923
"28","2021-2040","train",85,"goa",2030.5,127,116,0.913385826771654
"29","2041-2060","test",26,"goa",2050.5,126,117,0.928571428571429
"30","2041-2060","test",85,"goa",2050.5,125,116,0.928
"31","2041-2060","train",26,"goa",2050.5,128,119,0.9296875
"32","2041-2060","train",85,"goa",2050.5,122,110,0.901639344262295
"33","2061-2080","test",26,"goa",2070.5,126,116,0.920634920634921
"34","2061-2080","train",26,"goa",2070.5,127,117,0.921259842519685
"35","2081-2100","test",26,"goa",2090.5,125,112,0.896
"36","2081-2100","train",26,"goa",2090.5,124,116,0.935483870967742
"37","2061-2080","test",85,"goa",2070.5,119,108,0.907563025210084
"38","2061-2080","train",85,"goa",2070.5,118,102,0.864406779661017
"39","2081-2100","test",85,"goa",2090.5,113,94,0.831858407079646
"40","2081-2100","train",85,"goa",2090.5,113,113,1
"41","2007-2020","test",26,"bc",2013.5,130,118,0.907692307692308
"42","2007-2020","test",85,"bc",2013.5,129,118,0.914728682170543
"43","2007-2020","train",26,"bc",2013.5,134,133,0.992537313432836
"44","2007-2020","train",85,"bc",2013.5,134,131,0.977611940298508
"45","2021-2040","test",26,"bc",2030.5,131,122,0.931297709923664
"46","2021-2040","test",85,"bc",2030.5,130,119,0.915384615384615
"47","2021-2040","train",26,"bc",2030.5,132,128,0.96969696969697
"48","2021-2040","train",85,"bc",2030.5,132,128,0.96969696969697
"49","2041-2060","test",26,"bc",2050.5,131,121,0.923664122137405
"50","2041-2060","test",85,"bc",2050.5,127,120,0.94488188976378
"51","2041-2060","train",26,"bc",2050.5,131,127,0.969465648854962
"52","2041-2060","train",85,"bc",2050.5,124,121,0.975806451612903
"53","2061-2080","test",26,"bc",2070.5,130,122,0.938461538461538
"54","2061-2080","test",85,"bc",2070.5,121,113,0.933884297520661
"55","2061-2080","train",26,"bc",2070.5,130,123,0.946153846153846
"56","2061-2080","train",85,"bc",2070.5,120,114,0.95
"57","2081-2100","test",26,"bc",2090.5,128,121,0.9453125
"58","2081-2100","test",85,"bc",2090.5,112,104,0.928571428571429
"59","2081-2100","train",26,"bc",2090.5,128,121,0.9453125
"60","2081-2100","train",85,"bc",2090.5,109,109,1
"61","2007-2020","test",26,"wc",2013.5,122,118,0.967213114754098
"62","2007-2020","test",85,"wc",2013.5,122,117,0.959016393442623
"63","2007-2020","train",26,"wc",2013.5,127,127,1
"64","2007-2020","train",85,"wc",2013.5,127,127,1
"65","2021-2040","test",26,"wc",2030.5,123,119,0.967479674796748
"66","2021-2040","test",85,"wc",2030.5,122,118,0.967213114754098
"67","2021-2040","train",26,"wc",2030.5,123,120,0.975609756097561
"68","2021-2040","train",85,"wc",2030.5,122,119,0.975409836065574
"69","2041-2060","test",26,"wc",2050.5,122,117,0.959016393442623
"70","2041-2060","test",85,"wc",2050.5,111,106,0.954954954954955
"71","2041-2060","train",26,"wc",2050.5,120,114,0.95
"72","2041-2060","train",85,"wc",2050.5,112,110,0.982142857142857
"73","2061-2080","test",26,"wc",2070.5,121,117,0.966942148760331
"74","2061-2080","test",85,"wc",2070.5,103,100,0.970873786407767
"75","2061-2080","train",26,"wc",2070.5,119,114,0.957983193277311
"76","2061-2080","train",85,"wc",2070.5,100,99,0.99
"77","2081-2100","test",26,"wc",2090.5,121,117,0.966942148760331
"78","2081-2100","test",85,"wc",2090.5,95,93,0.978947368421053
"79","2081-2100","train",26,"wc",2090.5,119,112,0.941176470588235
"80","2081-2100","train",85,"wc",2090.5,94,94,1
"81","2007-2020","test",26,"gmex",2013.5,200,186,0.93
"82","2007-2020","test",85,"gmex",2013.5,200,188,0.94
"83","2007-2020","train",26,"gmex",2013.5,201,199,0.990049751243781
"84","2007-2020","train",85,"gmex",2013.5,201,200,0.995024875621891
"85","2021-2040","test",26,"gmex",2030.5,201,190,0.945273631840796
"86","2021-2040","test",85,"gmex",2030.5,201,191,0.950248756218905
"87","2021-2040","train",26,"gmex",2030.5,198,186,0.939393939393939
"88","2021-2040","train",85,"gmex",2030.5,198,189,0.954545454545455
"89","2041-2060","test",26,"gmex",2050.5,201,193,0.960199004975124
"90","2041-2060","test",85,"gmex",2050.5,197,187,0.949238578680203
"91","2041-2060","train",26,"gmex",2050.5,198,187,0.944444444444444
"92","2041-2060","train",85,"gmex",2050.5,196,188,0.959183673469388
"93","2061-2080","test",26,"gmex",2070.5,201,191,0.950248756218905
"94","2061-2080","test",85,"gmex",2070.5,194,175,0.902061855670103
"95","2061-2080","train",26,"gmex",2070.5,199,185,0.92964824120603
"96","2061-2080","train",85,"gmex",2070.5,190,178,0.936842105263158
"97","2081-2100","test",26,"gmex",2090.5,201,191,0.950248756218905
"98","2081-2100","test",85,"gmex",2090.5,187,176,0.941176470588235
"99","2081-2100","train",26,"gmex",2090.5,201,186,0.925373134328358
"100","2081-2100","train",85,"gmex",2090.5,185,185,1
"101","2007-2020","test",26,"seus",2013.5,118,101,0.855932203389831
"102","2007-2020","test",85,"seus",2013.5,122,108,0.885245901639344
"103","2007-2020","train",26,"seus",2013.5,135,134,0.992592592592593
"104","2007-2020","train",85,"seus",2013.5,135,134,0.992592592592593
"105","2021-2040","test",26,"seus",2030.5,129,117,0.906976744186046
"106","2021-2040","test",85,"seus",2030.5,130,114,0.876923076923077
"107","2021-2040","train",26,"seus",2030.5,130,120,0.923076923076923
"108","2021-2040","train",85,"seus",2030.5,130,118,0.907692307692308
"109","2041-2060","test",26,"seus",2050.5,129,114,0.883720930232558
"110","2041-2060","test",85,"seus",2050.5,123,112,0.910569105691057
"111","2041-2060","train",26,"seus",2050.5,130,118,0.907692307692308
"112","2041-2060","train",85,"seus",2050.5,126,113,0.896825396825397
"113","2061-2080","test",26,"seus",2070.5,128,111,0.8671875
"114","2061-2080","test",85,"seus",2070.5,118,111,0.940677966101695
