"","year_range","model","rcp","region","mid","ngoals","nmet","pmet"
"115","2061-2080","train",26,"seus",2070.5,129,117,0.906976744186046
"116","2061-2080","train",85,"seus",2070.5,121,114,0.942148760330578
"117","2081-2100","test",26,"seus",2090.5,127,113,0.889763779527559
"118","2081-2100","test",85,"seus",2090.5,118,108,0.915254237288136
"119","2081-2100","train",26,"seus",2090.5,130,119,0.915384615384615
"120","2081-2100","train",85,"seus",2090.5,119,119,1
"121","2007-2020","test",26,"neus",2013.5,71,55,0.774647887323944
"122","2007-2020","test",85,"neus",2013.5,68,50,0.735294117647059
"123","2007-2020","train",26,"neus",2013.5,73,72,0.986301369863014
"124","2007-2020","train",85,"neus",2013.5,73,72,0.986301369863014
"125","2021-2040","test",26,"neus",2030.5,68,50,0.735294117647059
"126","2021-2040","test",85,"neus",2030.5,68,50,0.735294117647059
"127","2021-2040","train",26,"neus",2030.5,72,60,0.833333333333333
"128","2021-2040","train",85,"neus",2030.5,72,58,0.805555555555556
"129","2041-2060","test",26,"neus",2050.5,68,52,0.764705882352941
"130","2041-2060","test",85,"neus",2050.5,64,49,0.765625
"131","2041-2060","train",26,"neus",2050.5,72,57,0.791666666666667
"132","2041-2060","train",85,"neus",2050.5,71,52,0.732394366197183
"133","2061-2080","test",26,"neus",2070.5,68,50,0.735294117647059
"134","2061-2080","train",26,"neus",2070.5,70,59,0.842857142857143
"135","2061-2080","train",85,"neus",2070.5,59,53,0.898305084745763
"136","2081-2100","test",26,"neus",2090.5,67,51,0.761194029850746
"137","2081-2100","train",26,"neus",2090.5,71,59,0.830985915492958
"138","2081-2100","train",85,"neus",2090.5,52,52,1
"139","2061-2080","test",85,"neus",2070.5,54,38,0.703703703703704
"140","2081-2100","test",85,"neus",2090.5,42,31,0.738095238095238
"141","2007-2020","test",26,"maritime",2013.5,75,58,0.773333333333333
"142","2007-2020","test",85,"maritime",2013.5,74,55,0.743243243243243
"143","2007-2020","train",26,"maritime",2013.5,80,70,0.875
"144","2007-2020","train",85,"maritime",2013.5,77,72,0.935064935064935
"145","2021-2040","test",26,"maritime",2030.5,70,57,0.814285714285714
"146","2021-2040","test",85,"maritime",2030.5,70,54,0.771428571428571
"147","2021-2040","train",26,"maritime",2030.5,77,65,0.844155844155844
"148","2021-2040","train",85,"maritime",2030.5,73,56,0.767123287671233
"149","2041-2060","test",26,"maritime",2050.5,71,50,0.704225352112676
"150","2041-2060","test",85,"maritime",2050.5,62,36,0.580645161290323
"151","2041-2060","train",26,"maritime",2050.5,71,54,0.76056338028169
"152","2041-2060","train",85,"maritime",2050.5,69,51,0.739130434782609
"153","2061-2080","test",26,"maritime",2070.5,69,50,0.72463768115942
"154","2061-2080","test",85,"maritime",2070.5,57,36,0.631578947368421
"155","2061-2080","train",26,"maritime",2070.5,71,52,0.732394366197183
"156","2061-2080","train",85,"maritime",2070.5,59,38,0.644067796610169
"157","2081-2100","test",26,"maritime",2090.5,68,47,0.691176470588235
"158","2081-2100","test",85,"maritime",2090.5,50,26,0.52
"159","2081-2100","train",26,"maritime",2090.5,70,54,0.771428571428571
"160","2081-2100","train",85,"maritime",2090.5,53,53,1
"161","2007-2020","test",26,"newf",2013.5,100,88,0.88
"162","2007-2020","test",85,"newf",2013.5,100,85,0.85
"163","2007-2020","train",26,"newf",2013.5,104,96,0.923076923076923
"164","2007-2020","train",85,"newf",2013.5,104,97,0.932692307692308
"165","2021-2040","test",26,"newf",2030.5,100,80,0.8
"166","2021-2040","test",85,"newf",2030.5,100,78,0.78
"167","2021-2040","train",26,"newf",2030.5,104,90,0.865384615384615
"168","2021-2040","train",85,"newf",2030.5,104,87,0.836538461538462
"169","2041-2060","test",26,"newf",2050.5,100,79,0.79
"170","2041-2060","test",85,"newf",2050.5,98,81,0.826530612244898
"171","2041-2060","train",26,"newf",2050.5,103,85,0.825242718446602
"172","2041-2060","train",85,"newf",2050.5,99,86,0.868686868686869
"173","2061-2080","test",26,"newf",2070.5,99,82,0.828282828282828
"174","2061-2080","test",85,"newf",2070.5,90,69,0.766666666666667
"175","2061-2080","train",26,"newf",2070.5,100,83,0.83
"176","2061-2080","train",85,"newf",2070.5,98,84,0.857142857142857
"177","2081-2100","test",26,"newf",2090.5,98,80,0.816326530612245
"178","2081-2100","test",85,"newf",2090.5,83,56,0.674698795180723
"179","2081-2100","train",26,"newf",2090.5,101,82,0.811881188118812
"180","2081-2100","train",85,"newf",2090.5,96,96,1
