"","region","tempstep","sizestep","repnum","temprng","size","meanturnIndiv","sdturnIndiv","netwrkturn","sdnetwrkturn"
"57","gmex",0.6,0.01,1,0.355915210961157,0.010989010989011,0.247121580827865,0.0442080502481682,0.0915696180589879,0.060376859219421
"58","goa",0.6,0.01,1,0.575248592362929,0.0107858243451464,0.370623754049024,0.146653390828858,0.15756960436832,0.0976924264234891
"59","maritime",0.6,0.01,1,0.524134759975969,0.010840108401084,0.571060220534788,0.1761826953259,0.259940468906753,0.171519246079068
"60","neus",0.6,0.01,1,0.546246430772612,0.0108225108225108,0.476103775337392,0.040773032289879,0.313470155280056,0.21609299955517
"61","newf",0.6,0.01,1,0.482826678177329,0.0105189340813464,0.44423013159083,0.144096044872206,0.162481036355982,0.12096841099998
"62","seus",0.6,0.01,1,0.358446030764925,0.0116279069767442,0.471140436270982,0.152833185433868,0.25784881809679,0.149826276239353
"63","wc",0.6,0.01,1,0.29388378386017,0.0144927536231884,0.499644843290925,0.282548921431931,0.244899763371219,0.142619368814961
"64","bc",0.7,0.01,1,0.365504005815211,0.0132743362831858,0.508022623871519,0.256915659847208,0.273340747818223,0.177098002839213
"65","ebs",0.7,0.01,1,0.675727246153254,0.0101156069364162,0.412061093927784,0.0992749657742537,0.207393495849719,0.138825309636529
"66","gmex",0.7,0.01,1,0.331034136503466,0.010989010989011,0.301087167768532,0.0749284165895528,0.103541322352809,0.0657714898237162
"67","goa",0.7,0.01,1,0.525661414203621,0.0107858243451464,0.47858765527044,0.226413422665494,0.175971736758927,0.113554589096363
"68","maritime",0.7,0.01,1,0.57948022770964,0.010840108401084,0.509739377357113,0.0980295027073683,0.286460308994054,0.181109819176536
"69","neus",0.7,0.01,1,0.683798607322521,0.0108225108225108,0.447986517300788,0.0510644635943732,0.293499800878318,0.219910250399887
"70","newf",0.7,0.01,1,0.42443449392224,0.0105189340813464,0.407177314360311,0.111409166278784,0.139580802461229,0.113893352093547
"71","seus",0.7,0.01,1,0.176703240269118,0.0116279069767442,0.47935880544114,0.190373942858951,0.28397473812344,0.169558501163293
"72","wc",0.7,0.01,1,0.117085762128095,0.0144927536231884,0.508458882668662,0.287516119204063,0.248300059603973,0.130179192494079
"73","bc",0.8,0.01,1,0.562949352241356,0.0132743362831858,0.425744281183031,0.167172809021544,0.24787909419327,0.151360896848677
"74","ebs",0.8,0.01,1,0.543960050360423,0.0101156069364162,0.389463619417789,0.0451031255125136,0.219339128092779,0.144189444634815
"75","gmex",0.8,0.01,1,0.272355968399503,0.010989010989011,0.295061596436471,0.0139126807616476,0.103367635813912,0.0672169661255805
"76","goa",0.8,0.01,1,0.409323751616706,0.0107858243451464,0.399211572367906,0.167605244672485,0.176742125895071,0.107469213969369
"77","maritime",0.8,0.01,1,0.493392685587937,0.010840108401084,0.460343302398548,0.077781177401613,0.264472512065794,0.168991745912548
"78","neus",0.8,0.01,1,0.421813411856191,0.0108225108225108,0.436619024696628,0.0536454698775561,0.287994830671879,0.210169223711744
"79","newf",0.8,0.01,1,0.451626918658088,0.0105189340813464,0.403544684549272,0.123087932652723,0.139218859254651,0.0912024773124888
"80","seus",0.8,0.01,1,0.605211798626385,0.0116279069767442,0.487997985663815,0.134668578486769,0.300840672438748,0.162740644363723
"81","wc",0.8,0.01,1,0.58389091884674,0.0144927536231884,0.49772750114694,0.267741363683151,0.227973863546728,0.11573358554505
"82","bc",0.9,0.01,1,0.388230418361179,0.0132743362831858,0.373049644160128,0.0579509042424266,0.239325350561125,0.152006101838641
"83","ebs",0.9,0.01,1,0.673886618093537,0.0101156069364162,0.429088990931502,0.0655804508123471,0.235730333977133,0.162617338699996
"84","gmex",0.9,0.01,1,0.789527737505419,0.010989010989011,0.275160849807211,0.0799163609159845,0.0919147740728086,0.0579376562077971
"85","goa",0.9,0.01,1,0.383184186178803,0.0107858243451464,0.351477549670741,0.109376297228486,0.17581752022258,0.0997540812951259
"86","maritime",0.9,0.01,1,0.817240948718232,0.010840108401084,0.502149861593172,0.153835645931101,0.234825820870531,0.170744583556137
"87","neus",0.9,0.01,1,0.179842015383916,0.0108225108225108,0.504240154575768,0.16930161281786,0.29939567533058,0.243033654646667
"88","newf",0.9,0.01,1,0.630725557419087,0.0105189340813464,0.452808321992028,0.165532142374889,0.138968037976511,0.102950172652205
"89","seus",0.9,0.01,1,0.702597144663787,0.0116279069767442,0.488306921643657,0.282810128589831,0.251694401234689,0.164812857596282
"90","wc",0.9,0.01,1,0.183606711045685,0.0144927536231884,0.338834576207018,0.0335174198271428,0.210310838845886,0.117501017731445
"91","bc",1,0.01,1,0.44758164648398,0.0132743362831858,0.307977852395011,0.0674715930527428,0.178390780684046,0.113971481661731
"92","ebs",1,0.01,1,0.493558035759351,0.0101156069364162,0.458824578784087,0.10476847167146,0.238277380737358,0.157317177306364
"93","gmex",1,0.01,1,0.508833444112293,0.010989010989011,0.258678506316716,0.0679339074176652,0.0943155222605381,0.0620088983093338
"94","goa",1,0.01,1,0.349457844469359,0.0107858243451464,0.362757678361065,0.0947525614765502,0.173213835616014,0.107426739176181
"95","maritime",1,0.01,1,0.678387323214401,0.010840108401084,0.476021839235289,0.150017859850472,0.210092260158732,0.15258740046461
"96","neus",1,0.01,1,0.417796467436908,0.0108225108225108,0.470983319945389,0.0797118550073205,0.298226484659288,0.229843153719383
"97","newf",1,0.01,1,0.396405853828462,0.0105189340813464,0.465564619301133,0.146357434029174,0.155731992423976,0.107794260079991
"98","seus",1,0.01,1,0.735195863638598,0.0116279069767442,0.479556787358619,0.142365886178768,0.281865130367169,0.149140317437944
"99","wc",1,0.01,1,0.083784165068476,0.0144927536231884,0.335241377084707,0.106273869588764,0.170108973416801,0.116645394810921
"100","bc",0.01,0.05,1,0.582272560300222,0.0265486725663717,0.308329781024371,0.0242073207506745,0.154531475910206,0.101283836022622
"101","ebs",0.01,0.05,1,0.113646209267811,0.0414258188824663,0.442797927393392,0.106471408921133,0.16761044527192,0.119154645568984
"102","gmex",0.01,0.05,1,0.00999532779304333,0.0502354788069074,0.337602391163469,0.10500835142991,0.0550399599966428,0.0360460009656514
"103","goa",0.01,0.05,1,0.424700955840254,0.0323574730354391,0.376407832895199,0.149385115990947,0.144176995025896,0.085579723004046
"104","maritime",0.01,0.05,1,0.231314317056117,0.010840108401084,0.367085947412291,0.0627292937806789,0.176579769674896,0.167391753791601
"105","neus",0.01,0.05,1,0.054549774459646,0.051948051948052,0.43719669309814,0.0497027689751192,0.226694726815885,0.174523413034724
"106","newf",0.01,0.05,1,0.346639075824884,0.0371669004207574,0.522801265028397,0.153235117371972,0.131329200585514,0.0995270997809437
"107","seus",0.01,0.05,1,0.688985384769883,0.0503875968992248,0.460403564931501,0.208300578013234,0.163890258381894,0.107903058690417
"108","wc",0.01,0.05,1,0.00704181995006447,0.00966183574879227,0.295242634923185,0.154566839295638,0.169847113182795,0.11658170326295
"109","bc",0.1,0.05,1,0.0875850675520009,0.0530973451327434,0.32913039439209,0.0901910919726487,0.117462241661789,0.0844842355152244
"110","ebs",0.1,0.05,1,0.0999456936886337,0.0500963391136802,0.430819088907105,0.102488722247248,0.164258280314451,0.116449830683876
"111","gmex",0.1,0.05,1,0.0998387628317744,0.0502354788069074,0.294060842393652,0.0907293597015176,0.0519703022937063,0.0368514861473588
"112","goa",0.1,0.05,1,0.099931509520743,0.0508474576271186,0.319568873572911,0.140598469495622,0.118151280709829,0.0742507635125958
"113","maritime",0.1,0.05,1,0.0999534033136905,0.0505871725383921,0.385219828926851,0.0797428797774893,0.190192933109981,0.160940091205019
"114","neus",0.1,0.05,1,0.0992186625944518,0.051948051948052,0.447402971045461,0.104520601949463,0.222238873516602,0.192829328477296
"115","newf",0.1,0.05,1,0.0999320001061664,0.0504908835904628,0.476596866238184,0.136380870563307,0.091587038948757,0.0766757923995618
"116","seus",0.1,0.05,1,0.0916194827843956,0.0503875968992248,0.370597030876286,0.0839821077361901,0.157133479263016,0.105080980245529
"117","wc",0.1,0.05,1,0.0989728684923959,0.0531400966183575,0.590579666768863,0.197962416776411,0.172522197077918,0.113666146654798
"118","bc",0.2,0.05,1,0.199695175376736,0.0530973451327434,0.345578062383919,0.0550278335473314,0.11984351779952,0.0784810096499581
"119","ebs",0.2,0.05,1,0.199932723757502,0.0500963391136802,0.44114464446918,0.0753335895563845,0.166070324416393,0.125964419916822
"120","gmex",0.2,0.05,1,0.194287019839882,0.0502354788069074,0.365593248373387,0.181203916410777,0.0509037980765086,0.034752492144875
"121","goa",0.2,0.05,1,0.194277241453321,0.0508474576271186,0.368167874212648,0.15617899027332,0.129160119002721,0.079983657825336
"122","maritime",0.2,0.05,1,0.199498155556455,0.0505871725383921,0.414232008218857,0.115757744821293,0.191502709823184,0.147654326994322
"123","neus",0.2,0.05,1,0.190125125283514,0.051948051948052,0.459844940568248,0.1049378677535,0.21368800884883,0.180932408553392
"124","newf",0.2,0.05,1,0.198002481808991,0.0504908835904628,0.374444736804252,0.0896128275014428,0.128399233368584,0.0935012392594013
"125","seus",0.2,0.05,1,0.181860940325886,0.0503875968992248,0.408324765673102,0.106964734806014,0.159825279637611,0.104981150791151
"126","wc",0.2,0.05,1,0.188797777798359,0.0531400966183575,0.473383907396293,0.190657794459826,0.130994187966178,0.0998607568069688
"127","bc",0.3,0.05,1,0.282663861442885,0.0530973451327434,0.373439974652827,0.102419096719098,0.11788033481762,0.07737905688401
"128","ebs",0.3,0.05,1,0.299963091942882,0.0500963391136802,0.434068220920631,0.100076268329289,0.151685763742551,0.106938273729639
"129","gmex",0.3,0.05,1,0.290511886011163,0.0502354788069074,0.281484671792718,0.0649396724177689,0.0473773436053229,0.0332683660173094
"130","goa",0.3,0.05,1,0.292972879503196,0.0508474576271186,0.310454973333686,0.0663601021301998,0.12668045543327,0.0777184917008404
"131","maritime",0.3,0.05,1,0.299476118659397,0.0505871725383921,0.542469934595918,0.112016963799631,0.207541459466738,0.146067695492668
"132","neus",0.3,0.05,1,0.292772296678068,0.051948051948052,0.434025337178498,0.0772281835419652,0.218915635915616,0.178789687243032
"133","newf",0.3,0.05,1,0.298409440127696,0.0504908835904628,0.44390493182719,0.104651605633137,0.0963637621894778,0.0881880722281178
"134","seus",0.3,0.05,1,0.291492089722981,0.0503875968992248,0.518112018996098,0.0930623340079166,0.180895296404941,0.0879585187208909
"135","wc",0.3,0.05,1,0.291494710792498,0.0531400966183575,0.364996317819365,0.11307403090559,0.104583076741528,0.0758501703539754
"136","bc",0.4,0.05,1,0.390721399197866,0.0530973451327434,0.371033175766604,0.0932570414797399,0.131115505722837,0.0835200706311076
"137","ebs",0.4,0.05,1,0.391199100441413,0.0500963391136802,0.439757109666995,0.120655488657562,0.144638914754635,0.102616867564502
"138","gmex",0.4,0.05,1,0.391720015088998,0.0502354788069074,0.304353714463848,0.113423208150888,0.0505708920368221,0.0338717295518487
"139","goa",0.4,0.05,1,0.389370517012102,0.0508474576271186,0.361643005854031,0.162311129446264,0.135992233160261,0.0819942864164033
"140","maritime",0.4,0.05,1,0.395178095745903,0.0505871725383921,0.436124399310006,0.142969722945626,0.194080371590142,0.155884652806608
"141","neus",0.4,0.05,1,0.397168552277373,0.051948051948052,0.455021704909565,0.0669927560906477,0.220026313492874,0.172238741603096
"142","newf",0.4,0.05,1,0.395582828085406,0.0504908835904628,0.414421754817618,0.11644096840006,0.0783675616593429,0.0700395034508914
"143","seus",0.4,0.05,1,0.331130588019781,0.0503875968992248,0.580161420309174,0.196255650914845,0.178509855641425,0.0919623686083419
"144","wc",0.4,0.05,1,0.385571137781213,0.0531400966183575,0.368577014886308,0.11490635222052,0.110346149892181,0.0755363213986863
"145","bc",0.5,0.05,1,0.468785844781569,0.0530973451327434,0.373091326218662,0.114005753566071,0.122603943976225,0.0831602537779107
"146","ebs",0.5,0.05,1,0.49714770494014,0.0500963391136802,0.448714189763869,0.11765492426023,0.151505012911013,0.108336314264985
"147","gmex",0.5,0.05,1,0.416248126117136,0.0502354788069074,0.311577858501806,0.0924248151204883,0.0486136747904119,0.0345891833584615
"148","goa",0.5,0.05,1,0.499416755734651,0.0508474576271186,0.406515828055168,0.157662461782742,0.140379161979627,0.0845890207910529
"149","maritime",0.5,0.05,1,0.495130982264177,0.0505871725383921,0.489635973792709,0.112801096359085,0.201357943354342,0.151097670838688
"150","neus",0.5,0.05,1,0.33883896133908,0.051948051948052,0.451178268764187,0.0828183567831558,0.216793166338984,0.175721534773103
"151","newf",0.5,0.05,1,0.466727372901177,0.0504908835904628,0.418979067398274,0.135935097970687,0.077017139519106,0.066705766508171
"152","seus",0.5,0.05,1,0.21414663600252,0.0503875968992248,0.369445140144361,0.040940763434553,0.151124652268702,0.0995934459090013
"153","wc",0.5,0.05,1,0.374977843360427,0.0531400966183575,0.468353508198542,0.239383195098851,0.121452408135611,0.0818682403708115
"154","bc",0.6,0.05,1,0.506527359355395,0.0530973451327434,0.403080572150381,0.126014323433027,0.130145412909669,0.0823343894795787
"155","ebs",0.6,0.05,1,0.599870119617984,0.0500963391136802,0.447230489559919,0.097065577713868,0.153939613335666,0.115609536989399
"156","gmex",0.6,0.05,1,0.563538920663107,0.0502354788069074,0.315083220272123,0.112205466449696,0.0477107566738134,0.0337436317974698
"157","goa",0.6,0.05,1,0.576905770408858,0.0508474576271186,0.393558789856818,0.158631115121586,0.126528171762124,0.0770428082204611
"158","maritime",0.6,0.05,1,0.588486041222251,0.0505871725383921,0.519102283114716,0.133421311345719,0.181919437423913,0.138480660725351
"159","neus",0.6,0.05,1,0.498765107432832,0.051948051948052,0.458196209222482,0.0944393815201676,0.220753399952887,0.17668224899903
"160","newf",0.6,0.05,1,0.519958395352477,0.0504908835904628,0.41092053001731,0.129375085094153,0.0706746912963261,0.0637864323579861
"161","seus",0.6,0.05,1,0.465870489501795,0.0503875968992248,0.339945094147478,0.0310007972638116,0.148671265255946,0.0983287885485894
"162","wc",0.6,0.05,1,0.384789370468538,0.0531400966183575,0.46157132092229,0.144850638589352,0.134422845452978,0.0869549702796454
"163","bc",0.7,0.05,1,0.627902046201831,0.0530973451327434,0.409524542302532,0.170590713091772,0.125888117079181,0.0823650421774043
"164","ebs",0.7,0.05,1,0.693951253875782,0.0500963391136802,0.422500646610414,0.0786551595726395,0.142201152929885,0.108026157460702
"165","gmex",0.7,0.05,1,0.466064013321753,0.0502354788069074,0.314095323605557,0.122640905451953,0.0475809626601917,0.0337003418839338
"166","goa",0.7,0.05,1,0.687440085530024,0.0508474576271186,0.367106230711428,0.137852318752478,0.128582833958903,0.0785898980129292
"167","maritime",0.7,0.05,1,0.68731073163246,0.0505871725383921,0.463597077741355,0.124576861536046,0.197756449168371,0.151445695135464
"168","neus",0.7,0.05,1,0.657941825051936,0.051948051948052,0.450684306222737,0.0895104351921426,0.218663212496144,0.174228304268679
"169","newf",0.7,0.05,1,0.646721261274187,0.0504908835904628,0.427454837722822,0.120169175040773,0.100079337723294,0.0825881982986828
"170","seus",0.7,0.05,1,0.676094655690195,0.0503875968992248,0.457085512708335,0.115168039582832,0.177408081289749,0.111420294067866
"171","wc",0.7,0.05,1,0.549125845170162,0.0531400966183575,0.393246990759336,0.201687369808569,0.116145113345316,0.0797221060098982
"172","bc",0.8,0.05,1,0.603212842980057,0.0530973451327434,0.392171127294519,0.0862609306847203,0.12966370088477,0.0828072502678174
"173","ebs",0.8,0.05,1,0.784855491207657,0.0500963391136802,0.43660760693688,0.105029718465778,0.14260868311505,0.107407985064835
"174","gmex",0.8,0.05,1,0.799414873153004,0.0502354788069074,0.324605422010624,0.142142634013821,0.0514155348827092,0.0347626290472197
"175","goa",0.8,0.05,1,0.56861325601517,0.0508474576271186,0.373592549221843,0.165908583771088,0.129798991562287,0.0801232307358172
"176","maritime",0.8,0.05,1,0.79284371539489,0.0505871725383921,0.504006204405939,0.120043864163359,0.189873063036746,0.147478309617701
"177","neus",0.8,0.05,1,0.410482694866332,0.051948051948052,0.463416003751035,0.0815557735827534,0.22934257331406,0.177419350893622
"178","newf",0.8,0.05,1,0.633496635236852,0.0504908835904628,0.422866401231314,0.109127752303108,0.0876793992174329,0.075330330513091
"179","seus",0.8,0.05,1,0.760460785890978,0.0503875968992248,0.409634766408305,0.0988621011618885,0.158672481229067,0.0962686825480657
"180","wc",0.8,0.05,1,0.351591771272292,0.0531400966183575,0.470800239777873,0.185132883327004,0.129407019155337,0.0781252253392575
"181","bc",0.9,0.05,1,0.720503147687083,0.0530973451327434,0.424626708146942,0.129739119638145,0.13504464763496,0.0923574670067721
"182","ebs",0.9,0.05,1,0.88367844105806,0.0500963391136802,0.443661676872265,0.0972116840364256,0.149610030663504,0.112847095576645
"183","gmex",0.9,0.05,1,0.795494322966629,0.0502354788069074,0.3152451864375,0.148102945451906,0.0481504451800169,0.0341236858753677
"184","goa",0.9,0.05,1,0.722725368017512,0.0508474576271186,0.390397965908292,0.172171074140549,0.118840739574767,0.0745403338347165
"185","maritime",0.9,0.05,1,0.83691381460308,0.0505871725383921,0.490456613140057,0.121992451217087,0.197241018063724,0.145541638097203
"186","neus",0.9,0.05,1,0.603246286345195,0.051948051948052,0.455404133924954,0.0776778070590305,0.222126367535455,0.177814436992888
"187","newf",0.9,0.05,1,0.697890035930105,0.0504908835904628,0.431461298909986,0.117164225467995,0.0833420535124528,0.0777030978014262
"188","seus",0.9,0.05,1,0.630641046273308,0.0503875968992248,0.410409616588104,0.147019292460176,0.142360358320027,0.08443993004581
"189","wc",0.9,0.05,1,0.605514529936242,0.0531400966183575,0.399928930626245,0.145531797628006,0.115998872618292,0.0779735922577094
"190","bc",1,0.05,1,0.844127856216563,0.0530973451327434,0.377576419163467,0.166666427304887,0.110230150400005,0.0743698216045549
"191","ebs",1,0.05,1,0.899786043133969,0.0500963391136802,0.455005662564974,0.125920878242616,0.143278202729814,0.108599191891939
"192","gmex",1,0.05,1,0.901820162873419,0.0502354788069074,0.336983594632934,0.140063706638234,0.0497198239412757,0.0345635104082973
"193","goa",1,0.05,1,0.407248492116753,0.0508474576271186,0.372721565180638,0.149601620159128,0.13645488392238,0.083470758476284
"194","maritime",1,0.05,1,0.827926677690974,0.0505871725383921,0.454267080263073,0.0886559248345978,0.190070416939728,0.150764924524918
"195","neus",1,0.05,1,0.728969413799931,0.051948051948052,0.49307383219991,0.126106844781465,0.229799539464471,0.179668593307777
"196","newf",1,0.05,1,0.881932309399436,0.0504908835904628,0.409059226688549,0.104022967201855,0.0799679597071359,0.0778527253806731
"197","seus",1,0.05,1,0.823446549099441,0.0503875968992248,0.451328147465783,0.149214942574381,0.168481556420458,0.101514673592073
"198","wc",1,0.05,1,0.459635360563311,0.0531400966183575,0.372054576235763,0.142849811319073,0.114362719496853,0.0716978531367372
"199","bc",0.01,0.1,1,0.00466387355007291,0.00884955752212389,0.290232574283334,0.0511742284126006,0.22235733383494,0.154101857900247
"200","ebs",0.01,0.1,1,0.256980423521103,0.0351637764932563,0.470104340050065,0.12527613943619,0.17581390895952,0.121984857841014
"201","gmex",0.01,0.1,1,0.13218863144301,0.0565149136577708,0.25716517061313,0.0883098643141066,0.0471793672849708,0.0359103674727939
"202","goa",0.01,0.1,1,0.158753585907747,0.0893682588597843,0.314014605372782,0.117096096023676,0.11209403440085,0.0707682259160856
"203","maritime",0.01,0.1,1,0.189100279111683,0.01806684733514,0.377668152727447,0.0558882146813001,0.194132443544649,0.182254277753421
"204","neus",0.01,0.1,1,0.857364803190168,0.0303030303030303,0.48388995437425,0.0967086390428248,0.252692553711863,0.181128498785165
"205","newf",0.01,0.1,1,0.389733666192687,0.0771388499298738,0.411331354908589,0.111523944170188,0.0765101424031901,0.0687445987966077
"206","seus",0.01,0.1,1,0.709606733255753,0.0581395348837209,0.418570210473374,0.0759386817215651,0.153962959406386,0.0901809413919154
"207","wc",0.01,0.1,1,0.00977369728408191,0.0241545893719807,0.522814391715221,0.0971212389295436,0.229478769668198,0.123543616876458
"208","bc",0.1,0.1,1,0.333354972936859,0.101769911504425,0.358544122965366,0.148470105103444,0.0851364863572825,0.0663472561299279
"209","ebs",0.1,0.1,1,0.0997282566981899,0.10019267822736,0.44875342233397,0.103145521273761,0.130113143703189,0.0939886316570935
"210","gmex",0.1,0.1,1,0.0997140683915441,0.100470957613815,0.266320720648091,0.0762773843381569,0.0401238458497306,0.0307058952655953
