"","region","tempstep","sizestep","repnum","temprng","size","meanturnIndiv","sdturnIndiv","netwrkturn","sdnetwrkturn"
"1","bc",0.01,0.01,1,0.00928187021690282,0.0132743362831858,0.293857202282076,0.0492373255637059,0.191148713023648,0.132734862887093
"2","ebs",0.01,0.01,1,0.00950127252555075,0.0101156069364162,0.396465356212705,0.048466457552679,0.230320714737782,0.164944802342442
"3","gmex",0.01,0.01,1,0.0954631749826177,0.00941915227629513,0.470320360787966,0.0654034817870795,0.198558624938574,0.11433459096782
"4","goa",0.01,0.01,1,0.00867418285277196,0.0107858243451464,0.316441018044681,0.0439741559333595,0.200734177253365,0.111466636632933
"5","maritime",0.01,0.01,1,0.00745842994994988,0.010840108401084,0.505663386423202,0.152618707140493,0.252417563854325,0.14074856088405
"6","neus",0.01,0.01,1,0.00459117108450743,0.0108225108225108,0.519205713298586,0.189674648319136,0.301411951601941,0.219850057438944
"7","newf",0.01,0.01,1,0.00976523147978696,0.0105189340813464,0.421736208464166,0.0667519025133083,0.214461106704735,0.151596689862126
"8","seus",0.01,0.01,1,0.00758711953031984,0.0116279069767442,0.38397265600029,0.0341218424650358,0.23797125762243,0.126140483537961
"9","wc",0.01,0.01,1,0.00862980065180169,0.0144927536231884,0.414653538313813,0.137906963467229,0.234040783534718,0.162160546598284
"10","bc",0.1,0.01,1,0.0798535652613013,0.0132743362831858,0.345908053156192,0.0332976766068152,0.23699098243088,0.152054067819684
"11","ebs",0.1,0.01,1,0.0998398894108547,0.0101156069364162,0.436688304042644,0.0230651313074943,0.25608737733341,0.189261360966806
"12","gmex",0.1,0.01,1,0.0725312130289392,0.010989010989011,0.247735894767674,0.0557565611204699,0.102925724517945,0.0643282751489948
"13","goa",0.1,0.01,1,0.0991351827829738,0.0107858243451464,0.37185662101555,0.114745436960238,0.174576807249453,0.100496304846223
"14","maritime",0.1,0.01,1,0.0977245520359758,0.010840108401084,0.532422600369457,0.14108817609121,0.289827689993209,0.177132381143262
"15","neus",0.1,0.01,1,0.0622623620075138,0.0108225108225108,0.500728866734184,0.16928102529052,0.299197583605621,0.209110252105162
"16","newf",0.1,0.01,1,0.0973538126603229,0.0105189340813464,0.347039684669286,0.0825534062730941,0.155600045992135,0.129798726567881
"17","seus",0.1,0.01,1,0.0995286299450116,0.0116279069767442,0.370744440635519,0.0193891398646155,0.227000937104092,0.128637822391459
"18","wc",0.1,0.01,1,0.0951133872930466,0.0144927536231884,0.311495189232247,0.00963167755370283,0.197355769404856,0.120607737908104
"19","bc",0.2,0.01,1,0.166812193166326,0.0132743362831858,0.638011622482869,0.254897957284347,0.329839599519342,0.203288174862526
"20","ebs",0.2,0.01,1,0.198164806201515,0.0101156069364162,0.448774826172082,0.1304491541937,0.236084251212666,0.150660448409482
"21","gmex",0.2,0.01,1,0.114578504078972,0.010989010989011,0.243294917861115,0.0422040300242356,0.0972064418850641,0.0635917608381868
"22","goa",0.2,0.01,1,0.198072891810973,0.0107858243451464,0.373189542803578,0.0849480098538415,0.16842105083548,0.108886240254271
"23","maritime",0.2,0.01,1,0.19642335975854,0.010840108401084,0.457698289942107,0.066826018946036,0.25448862546628,0.178325837496666
"24","neus",0.2,0.01,1,0.191167678559017,0.0108225108225108,0.439492725720356,0.027030576852898,0.299382407501988,0.225123678448734
"25","newf",0.2,0.01,1,0.199087010297993,0.0105189340813464,0.448513955839404,0.0648047341945284,0.191099138773963,0.120037981196653
"26","seus",0.2,0.01,1,0.194670133473252,0.0116279069767442,0.682995705071776,0.238113839714198,0.416719496116083,0.158383307423152
"27","wc",0.2,0.01,1,0.185424168514313,0.0144927536231884,0.339126861895417,0.0612012787331224,0.194798557366329,0.126504401218501
"28","bc",0.3,0.01,1,0.145925374698072,0.0132743362831858,0.30244858914691,0.00898122055853008,0.193134561696277,0.134921604837789
"29","ebs",0.3,0.01,1,0.283901314280061,0.0101156069364162,0.469875821621156,0.126979341390326,0.257808515134632,0.181520346192476
"30","gmex",0.3,0.01,1,0.281090424702705,0.010989010989011,0.356808546397293,0.106241741136428,0.128322479909359,0.0825458199937947
"31","goa",0.3,0.01,1,0.228534656379269,0.0107858243451464,0.283484558583113,0.038189142930675,0.167869770740413,0.100434827203713
"32","maritime",0.3,0.01,1,0.297296152278353,0.010840108401084,0.539740570306154,0.0902021094284105,0.293911013272066,0.171549728597589
"33","neus",0.3,0.01,1,0.10295263616825,0.0108225108225108,0.43128224382052,0.00703795898512734,0.291223383292475,0.210215368990164
"34","newf",0.3,0.01,1,0.299643101525462,0.0105189340813464,0.39012653357036,0.137456350157871,0.158435738060879,0.117541197216263
"35","seus",0.3,0.01,1,0.21766363241596,0.0116279069767442,0.34462831816363,0.0527694478783817,0.212817638661185,0.143606222561336
"36","wc",0.3,0.01,1,0.178840788084221,0.0144927536231884,0.47514702339455,0.311050231120522,0.21426849933435,0.155853302498341
"37","bc",0.4,0.01,1,0.171989021503656,0.0132743362831858,0.513155104453987,0.162766672140561,0.297467361876137,0.175258388648049
"38","ebs",0.4,0.01,1,0.375832125827407,0.0101156069364162,0.452783401593926,0.0693509292213624,0.251233814257792,0.17009602063622
"39","gmex",0.4,0.01,1,0.265072053334049,0.010989010989011,0.332097311413248,0.172636162499305,0.101447189056779,0.0670982372659811
"40","goa",0.4,0.01,1,0.312802799537135,0.0107858243451464,0.355970758542556,0.174156188873647,0.16220683648988,0.0977164027362039
"41","maritime",0.4,0.01,1,0.358057130372618,0.010840108401084,0.396565128757353,0.0568132023798036,0.212971525897867,0.192254266649717
"42","neus",0.4,0.01,1,0.305728357074816,0.0108225108225108,0.476727379910122,0.150724986709698,0.28758200513719,0.226528848086927
"43","newf",0.4,0.01,1,0.374341138623257,0.0105189340813464,0.444575514809004,0.137410996907512,0.144918882882642,0.101068302656331
"44","seus",0.4,0.01,1,0.247682954761214,0.0116279069767442,0.398536252288409,0.0590247717689063,0.255157115503212,0.147785041106334
"45","wc",0.4,0.01,1,0.113610618062546,0.0144927536231884,0.295269027792703,0.0292060591053161,0.177529892991631,0.12275402433228
"46","bc",0.5,0.01,1,0.346111815009257,0.0132743362831858,0.363228916116515,0.035335316400071,0.245418424913685,0.160820176342968
"47","ebs",0.5,0.01,1,0.437508863959299,0.0101156069364162,0.444372376730502,0.108931586279413,0.241644599649591,0.172153956527133
"48","gmex",0.5,0.01,1,0.142877357772534,0.010989010989011,0.288993562328775,0.125661240469455,0.109751495592626,0.0718276203216159
"49","goa",0.5,0.01,1,0.437986238585086,0.0107858243451464,0.336542701401661,0.0695497817617472,0.166949924011711,0.102256695454841
"50","maritime",0.5,0.01,1,0.441772210026696,0.010840108401084,0.580008018050189,0.166197212400676,0.265388881823247,0.160292842530472
"51","neus",0.5,0.01,1,0.213010258827102,0.0108225108225108,0.463983745839319,0.0467672493509734,0.307321222076495,0.22023384516054
"52","newf",0.5,0.01,1,0.480292701813039,0.0105189340813464,0.431788998986168,0.131061020983707,0.114508503730857,0.0913320554284067
"53","seus",0.5,0.01,1,0.166975848752311,0.0116279069767442,0.380704952775903,0.0564389074447915,0.237382169941651,0.148651180742743
"54","wc",0.5,0.01,1,0.121848904980093,0.0144927536231884,0.266030474596433,0.0559943485103081,0.152210398784892,0.107389932009926
"55","bc",0.6,0.01,1,0.48487810864086,0.0132743362831858,0.308906949773786,0.0680286251490175,0.189672702991955,0.135341481660247
"56","ebs",0.6,0.01,1,0.595965301304196,0.0101156069364162,0.44920167002457,0.117832365434147,0.229119851245238,0.15739229601705
