"","x"
"98","Not enough presences in 1960s for 145 rhizoprionodon terraenovae_Atl"
"99","Not enough presences in 1960s for 146 rhomboplites aurorubens_Atl"
"100","Not enough presences in 1960s for 147 sardinella aurita_Atl"
"101","Not enough presences in 1960s for 148 saurida brasiliensis_Atl"
"102","Not enough presences in 1960s for 150 scomberomorus maculatus_Atl"
"103","Not enough presences in 1960s for 152 scorpaena calcarata_Atl"
"104","Not enough presences in 1960s for 155 selar crumenophthalmus_Atl"
"105","Not enough presences in 1960s for 156 selene setapinnis_Atl"
"106","Not enough presences in 1960s for 157 serranus atrobranchus_Atl"
"107","Not enough presences in 1960s for 158 sicyonia brevirostris_Atl"
"108","Not enough presences in 1960s for 159 sphoeroides dorsalis_Atl"
"109","Not enough presences in 1960s for 160 sphoeroides maculatus_Atl"
"110","Not enough presences in 1960s for 161 sphyraena guachancho_Atl"
"111","Not enough presences in 1960s for 164 stellifer lanceolatus_Atl"
"112","Not enough presences in 1960s for 166 stephanolepis hispidus_Atl"
"113","Not enough presences in 1960s for 167 syacium gunteri_Atl"
"114","Not enough presences in 1960s for 168 syacium papillosum_Atl"
"115","Not enough presences in 1960s for 169 symphurus plagiusa_Atl"
"116","Not enough presences in 1960s for 170 synodus foetens_Atl"
"117","Not enough presences in 1960s for 171 synodus poeyi_Atl"
"118","Not enough presences in 1960s for 173 trachurus lathami_Atl"
"119","Not enough presences in 1960s for 174 trichiurus lepturus_Atl"
"120","Not enough presences in 1960s for 176 upeneus parvus_Atl"
"121","Not enough presences in 1960s for 178 urophycis floridana_Atl"
"122","Not enough presences in 1960s for 181 zenopsis conchifera_Atl"
