"","sppocean","period","zone","model","rcp","npres","sumwtcpue","totalpres","totalwtcpue","proppres","propwtcpue","metgoal"
"1","actinauge verrilli_Pac","2006-2020",2,1,45,49,0.310062390759438,489,3.35849483516248,0.100204498977505,0.0923218304560643,TRUE
"2","actinauge verrilli_Pac","2006-2020",2,1,85,48,0.304729557762528,485,3.39722960998305,0.0989690721649484,0.0896994294607153,FALSE
"3","actinauge verrilli_Pac","2006-2020",2,10,45,47,0.293649215371933,468,3.17385052772246,0.10042735042735,0.0925214381732886,TRUE
"4","actinauge verrilli_Pac","2006-2020",2,10,85,50,0.23602560252321,485,2.61040946109332,0.103092783505155,0.0904170805542344,TRUE
"5","actinauge verrilli_Pac","2006-2020",2,11,45,48,0.320906791751211,467,3.53767174711961,0.102783725910064,0.0907112967766143,TRUE
"6","actinauge verrilli_Pac","2006-2020",2,11,85,46,0.329627563511454,475,3.59911982360053,0.0968421052631579,0.0915856041663257,FALSE
"7","actinauge verrilli_Pac","2006-2020",2,12,45,49,0.246130921043207,473,2.73580395390747,0.103594080338266,0.089966578450062,TRUE
"8","actinauge verrilli_Pac","2006-2020",2,12,85,46,0.262927360543494,471,2.96419783284646,0.0976645435244161,0.0887010163862816,FALSE
"9","actinauge verrilli_Pac","2006-2020",2,13,45,49,0.332688107060874,469,3.62484040902452,0.104477611940299,0.0917800701604966,TRUE
"10","actinauge verrilli_Pac","2006-2020",2,13,85,51,0.253799948396776,489,2.78644130796876,0.104294478527607,0.0910839024927425,TRUE
"11","actinauge verrilli_Pac","2006-2020",2,2,45,49,0.259004021362401,479,2.87297879510727,0.102296450939457,0.0901517344309984,TRUE
"12","actinauge verrilli_Pac","2006-2020",2,2,85,48,0.289997251284569,476,3.14781320621752,0.100840336134454,0.0921265755896095,TRUE
"13","actinauge verrilli_Pac","2006-2020",2,3,45,50,0.244458692116561,487,2.67324090901691,0.102669404517454,0.0914465625944877,TRUE
"14","actinauge verrilli_Pac","2006-2020",2,3,85,49,0.191473291105571,494,2.15120049477045,0.0991902834008097,0.0890076455314328,FALSE
