"","period","model","rcp","nmet","mid","pmet"
"116","2006-2020",11,85,123,2013,0.917910447761194
"117","2021-2040",11,85,125,2030.5,0.932835820895522
"118","2041-2060",11,85,125,2050.5,0.932835820895522
"119","2061-2080",11,85,117,2070.5,0.873134328358209
"120","2081-2100",11,85,123,2090.5,0.917910447761194
"121","2006-2020",12,85,117,2013,0.873134328358209
"122","2021-2040",12,85,121,2030.5,0.902985074626866
"123","2041-2060",12,85,127,2050.5,0.947761194029851
"124","2061-2080",12,85,127,2070.5,0.947761194029851
"125","2081-2100",12,85,124,2090.5,0.925373134328358
"126","2006-2020",13,85,126,2013,0.940298507462687
"127","2021-2040",13,85,127,2030.5,0.947761194029851
"128","2041-2060",13,85,128,2050.5,0.955223880597015
"129","2061-2080",13,85,124,2070.5,0.925373134328358
"130","2081-2100",13,85,129,2090.5,0.962686567164179
