"","X","period","nmet","mid"
"1",1,"2006-2020",75,2013
"2",2,"2021-2040",74,2030.5
"3",3,"2041-2060",70,2050.5
"4",4,"2061-2080",72,2070.5
"5",5,"2081-2100",75,2090.5
