"","period","model","rcp","nmet","mid","pmet","region"
"76","2041-2060",12,85,64,2050.5,0.853333333333333,"NEFSC_NEUSSpring"
"77","2041-2060",13,45,67,2050.5,0.893333333333333,"NEFSC_NEUSSpring"
"78","2041-2060",13,85,68,2050.5,0.906666666666667,"NEFSC_NEUSSpring"
"79","2061-2080",1,45,58,2070.5,0.773333333333333,"NEFSC_NEUSSpring"
"80","2061-2080",1,85,54,2070.5,0.72,"NEFSC_NEUSSpring"
"81","2061-2080",2,45,66,2070.5,0.88,"NEFSC_NEUSSpring"
"82","2061-2080",2,85,53,2070.5,0.706666666666667,"NEFSC_NEUSSpring"
"83","2061-2080",3,45,64,2070.5,0.853333333333333,"NEFSC_NEUSSpring"
"84","2061-2080",3,85,57,2070.5,0.76,"NEFSC_NEUSSpring"
"85","2061-2080",4,45,56,2070.5,0.746666666666667,"NEFSC_NEUSSpring"
"86","2061-2080",4,85,55,2070.5,0.733333333333333,"NEFSC_NEUSSpring"
"87","2061-2080",5,45,59,2070.5,0.786666666666667,"NEFSC_NEUSSpring"
"88","2061-2080",5,85,53,2070.5,0.706666666666667,"NEFSC_NEUSSpring"
"89","2061-2080",6,45,63,2070.5,0.84,"NEFSC_NEUSSpring"
"90","2061-2080",6,85,58,2070.5,0.773333333333333,"NEFSC_NEUSSpring"
"91","2061-2080",7,45,67,2070.5,0.893333333333333,"NEFSC_NEUSSpring"
"92","2061-2080",7,85,66,2070.5,0.88,"NEFSC_NEUSSpring"
"93","2061-2080",8,45,67,2070.5,0.893333333333333,"NEFSC_NEUSSpring"
"94","2061-2080",8,85,64,2070.5,0.853333333333333,"NEFSC_NEUSSpring"
"95","2061-2080",9,45,70,2070.5,0.933333333333333,"NEFSC_NEUSSpring"
"96","2061-2080",9,85,66,2070.5,0.88,"NEFSC_NEUSSpring"
"97","2061-2080",10,45,69,2070.5,0.92,"NEFSC_NEUSSpring"
"98","2061-2080",10,85,55,2070.5,0.733333333333333,"NEFSC_NEUSSpring"
