"","sppocean","ntot","ntot.1","ntot.2","npres","npres.1","npres.2","aic1","aic1null","aic2","aic2null","anova.resid.df.1","anova.resid.df.1null","anova.resid.df.2","anova.resid.df.2null","anova.resid.dev.1","anova.resid.dev.1null","anova.resid.dev.2","anova.resid.dev.2null","anova.p.1","anova.F.2","anova.p.2"
"1","acanthephyra pelagica_Atl",69804,34902,34902,1881,214,1667,5984.80592881242,6073.42585674923,27037.2836060479,28980.4099085213,69777.0482386652,69787.6560318403,6154.28014243306,6163.05703725152,5933.48961311823,6041.55050647755,28506.8326466224,39140.0844216676,2.7794963022141e-18,261.59979603917,0
"2","achelous spinicarpus_Atl",69804,34902,34902,2189,965,1224,7611.69197734247,7692.92624231778,29776.4180290539,29951.3507829231,69782.5671739326,69792.7207074734,8363.27055164546,8376.10433065929,7570.75655214062,7671.46307226891,16965.3306978836,17374.9628748847,4.74021444795507e-17,15.7354859511453,1.25970549689765e-35
"3","actinauge verrilli_Pac",31363,15681,15682,1123,403,720,5944.65584282792,6164.2794367128,4318.06590015608,4314.95686739482,31335.6845180813,31347.1253485869,1100.69663957815,1110.22741015164,5894.06789032913,6134.52192636204,2959.49836848388,2994.86881613474,5.5800172998867e-45,1.38257223964177,0.186615780775818
"4","acylopsetta quadrocellata_Atl",69804,34902,34902,680,254,426,4685.5006398211,4706.36672750688,19003.9105307216,19546.0059817615,69785.2952808205,69794.4188332588,6853.14458089017,6867.06281279481,4650.79437623905,4688.40610249578,6321.87958130088,6866.43641868339,2.25833107888613e-05,42.4190629147782,5.17772084602682e-112
"5","aforia circinata_Pac",31363,15680,15683,832,408,424,4865.93733560984,5184.43033426376,7330.60447315316,7902.31045232496,31332.7661587183,31346.0089024474,1617.65898278283,1631.34283080247,4807.86329650128,5150.75073708351,7954.08878580304,11427.6338538824,3.64672601853119e-65,51.6738836214345,7.46688338365182e-117
"6","albatrossia pectoralis_Pac",31363,15681,15682,1724,514,1210,4889.62076040711,4951.03101290868,15143.7808458832,15597.2919123208,31331.6669213119,31346.8097768017,2819.42480671747,2834.02521346413,4829.85208866294,4920.09163178815,33019.6484292837,39090.8910302783,1.02365921452034e-12,35.5171076722351,1.95995812854618e-92
"7","alepocephalus bairdii_Atl",69804,34902,34902,493,31,462,3214.52013284169,3319.95416012141,27570.35315626,30268.9450983855,69782.1096062731,69792.0910057803,5925.00393044784,5930.01243846537,3172.95093561094,3297.43603388211,35668.9043037954,56251.9248762015,6.05649260459881e-22,682.668227672435,0
"8","alepocephalus tenebrosus_Pac",31363,15681,15682,1203,111,1092,1528.99801453109,1518.79805777541,9515.24447668381,10501.5937418892,31341.9854808144,31349.9156425899,2675.22857962562,2680.50324253867,1487.64781495197,1492.86968162606,5290.63458836765,7655.44684796906,0.727213579717412,226.75636845415,2.73863089724697e-211
"9","allocentrotus fragilis_Pac",31362,15680,15682,3251,1339,1912,13669.2203225299,14014.4800852135,14325.4556282277,14338.0466287614,31329.2554232614,31343.0655151818,3222.10637928716,3234.64034904201,13606.2866875226,13977.3567906035,15335.7694794948,15509.0008793507,1.1268714066368e-70,2.90532587450926,0.000407808197633744
"10","alosa aestivalis_Atl",69804,34902,34902,2859,1188,1671,16032.5959564376,16743.4989824587,34184.0009812394,34417.5993880238,69774.3521577443,69788.1257027999,5645.04550163627,5660.00691834291,15976.0622727694,16712.613227721,135619.985275447,142045.071834,2.55727022159496e-148,17.8769184028449,4.71370377961139e-47
"11","alosa pseudoharengus_Atl",69804,34902,34902,8512,4538,3974,34855.0778859021,35451.1536111298,61477.8513586907,62770.1717284485,69772.5421058855,69787.6974761891,10789.0398918692,10804.0020187038,34793.327707238,35419.7408587975,184736.05909624,208736.362293466,1.15901897559778e-123,93.6845496467338,4.7902050210301e-272
"12","alosa sapidissima_Atl",69804,34902,34902,2508,1112,1396,16856.2481641833,17172.7946590058,31773.3475631844,32220.2411675187,69774.6844469074,69788.6148477075,5294.11979166053,5309.01027599874,16800.1553963866,17142.9420765867,120259.72021874,131494.865855262,1.19470791356248e-64,33.2201479027458,1.88689158554714e-91
"13","alosa sapidissima_Pac",31363,15682,15681,1170,863,307,5419.9342988915,5489.61556655471,18112.3570113362,18277.3188743394,31336.695775265,31347.0271056189,3463.03183297182,3476.00770919005,5369.89626473642,5458.09788897335,36089.9478786757,38113.6664321352,1.77670265174908e-14,14.9669745936455,2.1057907864761e-33
