"","sppocean","period","zone","npres","sumwtcpue","totalpres","totalwtcpue","proppres","propwtcpue","metgoal"
"1","alosa aestivalis_Atl","2006-2020",2,37,630446.821000597,327,5220436.65761298,0.113149847094801,0.12076515095365,TRUE
"2","alosa aestivalis_Atl","2021-2040",2,39,756599.074809991,355,6343269.67809359,0.109859154929577,0.119275880296071,TRUE
"3","alosa aestivalis_Atl","2041-2060",2,37,775034.098901826,351,6460784.57180288,0.105413105413105,0.119959749514687,TRUE
"4","alosa aestivalis_Atl","2061-2080",2,35,620308.259039384,343,5082665.12963247,0.102040816326531,0.12204389689632,TRUE
"5","alosa aestivalis_Atl","2081-2100",2,32,441229.095636657,295,3494003.69568797,0.108474576271186,0.126281805649258,TRUE
"6","alosa pseudoharengus_Atl","2006-2020",2,49,3918215205.89196,465,34908710597.0564,0.105376344086022,0.112241762553738,TRUE
"7","alosa pseudoharengus_Atl","2021-2040",2,50,4218507571.14712,470,37518832821.2174,0.106382978723404,0.11243706837174,TRUE
"8","alosa pseudoharengus_Atl","2041-2060",2,50,3997690584.35742,478,35406515286.3632,0.104602510460251,0.112908332040717,TRUE
"9","alosa pseudoharengus_Atl","2061-2080",2,49,3073205422.24182,479,27635619400.3027,0.102296450939457,0.111204506681263,TRUE
"10","alosa pseudoharengus_Atl","2081-2100",2,49,2249884462.26056,468,20216977922.886,0.104700854700855,0.111286883274164,TRUE
"11","alosa sapidissima_Atl","2006-2020",2,30,4841791.59720661,297,40117813.1071974,0.101010101010101,0.120689320334312,TRUE
"12","alosa sapidissima_Atl","2021-2040",2,40,6261869.28541849,363,53236721.5751454,0.110192837465565,0.117623119909434,TRUE
"13","alosa sapidissima_Atl","2041-2060",2,42,7721074.03974063,396,67753591.465618,0.106060606060606,0.11395815148277,TRUE
"14","alosa sapidissima_Atl","2061-2080",2,47,8364591.51045497,431,71084639.7523903,0.109048723897912,0.117670871507423,TRUE
"15","alosa sapidissima_Atl","2081-2100",2,45,7132496.89775238,423,58483101.303839,0.106382978723404,0.121958253559378,TRUE
"16","amblyraja radiata_Atl","2006-2020",2,43,125.326167116419,424,1225.7880206162,0.101415094339623,0.102241305191919,TRUE
"17","amblyraja radiata_Atl","2021-2040",2,42,127.43661876445,414,1246.35955826394,0.101449275362319,0.102247074625847,TRUE
"18","amblyraja radiata_Atl","2041-2060",2,41,130.747691098898,388,1256.25395870509,0.105670103092784,0.104077436089172,TRUE
"19","amblyraja radiata_Atl","2061-2080",2,36,121.540400205649,352,1194.78748590426,0.102272727272727,0.10172553834012,TRUE
"20","amblyraja radiata_Atl","2081-2100",2,33,106.449209442599,308,1041.4363020756,0.107142857142857,0.10221384565762,TRUE
"21","anarhichas lupus_Atl","2006-2020",2,43,51.4062628410482,415,491.195274255394,0.103614457831325,0.104655450765432,TRUE
"22","anarhichas lupus_Atl","2021-2040",2,42,49.0443206026924,404,470.034463797477,0.103960396039604,0.104341967196312,TRUE
"23","anarhichas lupus_Atl","2041-2060",2,40,41.049525614126,359,384.502799815169,0.11142061281337,0.106760017440338,TRUE
"24","anarhichas lupus_Atl","2061-2080",2,31,29.3587126075381,294,285.541243239471,0.105442176870748,0.102817765568514,TRUE
"25","anarhichas lupus_Atl","2081-2100",2,20,17.6534557506583,230,194.875222786041,0.0869565217391304,0.0905885083710233,FALSE
"26","argentina silus_Atl","2006-2020",2,12,173540.634291176,103,2100185.52850715,0.116504854368932,0.082631097079567,TRUE
"27","argentina silus_Atl","2021-2040",2,11,94914.6483423929,86,1139361.98093453,0.127906976744186,0.0833050864700098,TRUE
"28","argentina silus_Atl","2041-2060",2,12,66447.7146196628,84,928293.667727058,0.142857142857143,0.0715804889441517,TRUE
"29","argentina silus_Atl","2061-2080",2,11,40127.2715029969,74,612545.450653884,0.148648648648649,0.0655090515490102,TRUE
"30","argentina silus_Atl","2081-2100",2,5,18595.5603443674,70,371411.750296352,0.0714285714285714,0.0500672375861288,FALSE
"31","aspidophoroides monopterygius_Atl","2006-2020",2,16,86.398478278857,140,729.808462808877,0.114285714285714,0.118385141693655,TRUE
"32","aspidophoroides monopterygius_Atl","2021-2040",2,13,72.7500376727828,122,627.393052357124,0.10655737704918,0.115956077931466,TRUE
"33","aspidophoroides monopterygius_Atl","2041-2060",2,7,34.2398269373451,52,230.646598367392,0.134615384615385,0.148451471557387,TRUE
"34","aspidophoroides monopterygius_Atl","2061-2080",2,1,3.81513330352328,7,26.5915032370913,0.142857142857143,0.143471892863948,TRUE
"35","aspidophoroides monopterygius_Atl","2081-2100",2,0,0,0,0,1,1,TRUE
"36","bathypolypus arcticus_Atl","2006-2020",2,49,1.68839589119019,457,16.2492115594225,0.107221006564551,0.103906327086445,TRUE
"37","bathypolypus arcticus_Atl","2021-2040",2,50,2.04937161256265,472,19.6593863578674,0.105932203389831,0.104243925789805,TRUE
"38","bathypolypus arcticus_Atl","2041-2060",2,48,2.56594022856675,469,24.312741935303,0.102345415778252,0.105538907762637,TRUE
"39","bathypolypus arcticus_Atl","2061-2080",2,48,2.67801171289848,466,24.3771533415958,0.103004291845494,0.109857442145588,TRUE
"40","bathypolypus arcticus_Atl","2081-2100",2,47,2.13667606567916,452,18.744264335658,0.103982300884956,0.113990926899941,TRUE
"41","bathyraja spinicauda_Atl","2006-2020",2,4,0.126752821693907,33,0.99319024961526,0.121212121212121,0.12762189494209,TRUE
"42","bathyraja spinicauda_Atl","2021-2040",2,4,0.118264009947511,31,0.878571990215721,0.129032258064516,0.134609356164966,TRUE
"43","bathyraja spinicauda_Atl","2041-2060",2,1,0.0210958902763447,9,0.201817748472254,0.111111111111111,0.104529410500509,TRUE
"44","bathyraja spinicauda_Atl","2061-2080",2,0,0,0,0,1,1,TRUE
"45","bathyraja spinicauda_Atl","2081-2100",2,0,0,0,0,1,1,TRUE
"46","brosme brosme_Atl","2006-2020",2,45,1449448048.13421,427,14420332137.9291,0.105386416861827,0.100514193034556,TRUE
"47","brosme brosme_Atl","2021-2040",2,48,1531263647.43342,442,14856700116.4567,0.108597285067873,0.103068893861379,TRUE
"48","brosme brosme_Atl","2041-2060",2,47,1524477515.81564,447,14164437826.7766,0.105145413870246,0.107627110546792,TRUE
"49","brosme brosme_Atl","2061-2080",2,44,1174750323.56781,428,10517292119.1129,0.102803738317757,0.11169703287341,TRUE
"50","brosme brosme_Atl","2081-2100",2,39,749173574.171711,371,6377747988.60057,0.105121293800539,0.117466788513871,TRUE
"51","cancer borealis_Atl","2006-2020",2,48,369185.793790227,408,3276608.94271707,0.117647058823529,0.112673132572264,TRUE
"52","cancer borealis_Atl","2021-2040",2,49,360926.573482606,431,3272047.37074287,0.11368909512761,0.110306035514597,TRUE
"53","cancer borealis_Atl","2041-2060",2,50,335170.627568915,444,3056306.60548559,0.112612612612613,0.109665249869675,TRUE
