"spp","spp.proj"
"Anoplopoma fimbria","anoplopoma fimbria"
"Atheresthes stomias","atheresthes stomias"
"Metacarcinus magister","metacarcinus magister"
"Clupea pallasii","clupea pallasii"
"Crangon dalli","crangon dalli"
"Cyanea capillata","cyanea capillata"
"Dasycottus setiger","dasycottus setiger"
"Gadus macrocephalus","gadus macrocephalus"
"Glyptocephalus zachirus","glyptocephalus zachirus"
"Hemitripterus bolini","hemitripterus bolini"
"Hippoglossoides elassodon","hippoglossoides elassodon"
"Hippoglossus stenolepis","hippoglossus stenolepis"
"Hyas lyratus","hyas lyratus"
"Limanda aspera","limanda aspera"
"Lycodes brevipes","lycodes brevipes"
"Metridium farcimen","metridium farcimen"
"Microgadus proximus","microgadus proximus"
"Microstomus pacificus","microstomus pacificus"
"Pandalus eous","pandalus eous"
"Pandalus platyceros","pandalus platyceros"
"Pleuronectes quadrituberculatus","pleuronectes quadrituberculatus"
"Trichodon trichodon","trichodon trichodon"
"Elassochirus tenuimanus","elassochirus tenuimanus"
"Hemilepidotus jordani","hemilepidotus jordani"
"Mallotus villosus","mallotus villosus"
"Oncorhynchus tshawytscha","oncorhynchus tshawytscha"
"Platichthys stellatus","platichthys stellatus"
"Ptilosarcus gurneyi","ptilosarcus gurneyi"
"Chloroscombrus chrysurus","chloroscombrus chrysurus"
"Chrysaora quinquecirrha","chrysaora quinquecirrha"
"Etropus cyclosquamus","etropus cyclosquamus"
"Eucinostomus argenteus","eucinostomus argenteus"
"Harengula jaguana","harengula jaguana"
"Lolliguncula brevis","lolliguncula brevis"
"Luidia clathrata","luidia clathrata"
"Menticirrhus americanus","menticirrhus americanus"
"Ovalipes floridanus","ovalipes floridaus"
"Penaeus aztecus","farfantepenaeus aztecus"
"Litopenaeus setiferus","litopenaeus setiferus"
"Peprilus paru","peprilus paru"
"Portunus gibbesii","portunus gibbesii"
"Prionotus longispinosus","prionotus longispinosus"
"Rhinoptera bonasus","rhinoptera bonasus"
"Squilla empusa","squilla empusa"
"Synodus foetens","synodus foetens"
"Arenaeus cribrarius","arenaeus cribrarius"
"Bagre marinus","bagre marinus"
"Caranx crysos","caranx crysos"
"Caranx hippos","caranx hippos"
"Hepatus epheliticus","hepatus epheliticus"
"Menticirrhus littoralis","menticirrhus littoralis"
"Opisthonema oglinum","opisthonema oglinum"
"Paralichthys dentatus","paralichthys dentatus"
"Persephona mediterranea","persephona mediterranea"
"Prionotus tribulus","prionotus tribulus"
"Scomberomorus maculatus","scomberomorus maculatus"
"Selene setapinnis","selene setapinnis"
"Trachinotus carolinus","trachinotus carolinus"
"Calappa flammea","calappa flammea"
"Callinectes similis","callinectes similis"
"Carcharhinus acronotus","carcharhinus acronotus"
"Caretta caretta","caretta caretta"
"Citharichthys macrops","citharichthys macrops"
"Etropus crossotus","etropus crossotus"
"Leiostomus xanthurus","leiostomus xanthurus"
"Micropogonias undulatus","micropogonias undulatus"
"Ovalipes ocellatus","ovalipes ocellatus"
"Prionotus carolinus","prionotus carolinus"
"Prionotus evolans","prionotus evolans"
"Prionotus rubio","prionotus rubio"
"Syacium papillosum","syacium papillosum"
"Bairdiella chrysoura","bairdiella chrysoura"
"Gibbesia neglecta","gibbesia neglecta"
"Ovalipes stephensoni","ovalipes stephensoni"
"Ariopsis felis","ariopsis felis"
"Echeneis naucrates","echeneis naucrates"
"Pomatomus saltatrix","pomatomus saltatrix"
"Achelous spinimanus","achelous spinimanus"
"Prionotus scitulus","prionotus scitulus"
"Sphyrna tiburo","sphyrna tiburo"
"Selar crumenophthalmus","selar crumenophthalmus"
"Ancylopsetta ommata","ancylopsetta ommata"
"Rachycentron canadum","rachycentron canadum"
"Brevoortia tyrannus","brevoortia tyrannus"
"Chaetodipterus faber","chaetodipterus faber"
"Cynoscion nothus","cynoscion nothus"
"Gymnura micrura","gymnura micrura"
"Larimus fasciatus","larimus fasciatus"
"Paralichthys lethostigma","paralichthys lethostigma"
"Sphyraena guachancho","sphyraena guachancho"
"Trichiurus lepturus","trichiurus lepturus"
"Citharichthys spilopterus","citharichthys spilopterus"
"Orthopristis chrysoptera","orthopristis chrysoptera"
"Rhizoprionodon terraenovae","rhizoprionodon terraenovae"
"Lagodon rhomboides","lagodon rhomboides"
"Lutjanus synagris","lutjanus synagris"
"Menippe mercenaria","menippe mercenaria"
"Pilumnus sayi","pilumnus sayi"
"Selene vomer","selene vomer"
"Diplectrum formosum","diplectrum formosum"
"Pentrochirus diogenes","petrochirus diogenes"
"Farfantepenaeus aztecus","farfantepenaeus aztecus"
"Scomberomorus cavalla","scomberomorus cavalla"
"Stellifer lanceolatus","stellifer lanceolatus"
"Callinectes ornatus","callinectes ornatus"
"Sardinella aurita","sardinella aurita"
"Symphurus plagiusa","symphurus plagiusa"
"Callinectes sapidus","callinectes sapidus"
"Paralichthys albigutta","paralichthys albigutta"
"Paralichthys squamilentus","paralichthys squamilentus"
"Trinectes maculatus","trinectes maculatus"
"Dasyatis say","dasyatis say"
"Menticirrhus saxatilis","menticirrhus saxatilis"
"Centropristis philadelphica","centropristis philadelphica"
"Aluterus schoepfii","aluterus schoepfii"
"Centropristis striata","centropristis striata"
"Stomolophus meleagris","stomolophus meleagris"
"Xiphopenaeus kroyeri","xiphopenaeus kroyeri"
"Hippocampus erectus","hippocampus erectus"
"Stephanolepis hispida","stephanolepis hispidus"
"Cynoscion regalis","cynoscion regalis"
"Limulus polyphemus","limulus polyphemus"
"Raja eglanteria","raja eglanteria"
"Sphoeroides maculatus","sphoeroides maculatus"
"Balistes capriscus","balistes capriscus"
"Pagurus pollicaris","pagurus pollicaris"
"Asterias amurensis","asterias amurensis"
"Buccinum plectrum","buccinum plectrum"
"Chionoecetes bairdi","chionoecetes bairdi"
"Neptunea lyrata","neptunea lyrata"
"Pagurus aleuticus","pagurus aleuticus"
"Paralithodes camtschaticus","paralithodes camtschaticus"
"Podothecus accipenserinus","podothecus accipenserinus"
"Pycnopodia helianthoides","pycnopodia helianthoides"
"Isopsetta isolepis","isopsetta isolepis"
"Labidochirus splendescens","labidochirus splendescens"
"Lycodes palearis","lycodes palearis"
"Pagurus confragosus","pagurus confragosus"
"Gorgonocephalus eucnemis","gorgonocephalus eucnemis"
"Lumpenus sagitta","lumpenus sagitta"
"Pagurus rathbuni","pagurus rathbuni"
"Parophrys vetulus","parophrys vetulus"
"Evasterias echinosoma","evasterias echinosoma"
"Fusitriton oregonensis","fusitriton oregonensis"
"Gymnocanthus galeatus","gymnocanthus galeatus"
"Halocynthia aurantium","halocynthia aurantium"
"Oregonia gracilis","oregonia gracilis"
"Pagurus trigonocheirus","pagurus trigonocheirus"
"Styela rustica","styela rustica"
"Urticina crassicornis","urticina crassicornis"
"Gymnocanthus pistilliger","gymnocanthus pistilliger"
"Hexagrammos stelleri","hexagrammos stelleri"
"Limanda proboscidea","limanda proboscidea"
"Pagurus capillatus","pagurus capillatus"
"Pagurus ochotensis","pagurus ochotensis"
"Siliqua alta","siliqua alta"
"Boltenia ovifera","boltenia ovifera"
"Eleginus gracilis","eleginus gracilis"
"Telmessus cheiragonus","telmessus cheiragonus"
"Triglops pingelii","triglops pingelii"
"Hyas coarctatus","hyas coarctatus"
"Pandalus goniurus","pandalus goniurus"
"Paralithodes platypus","paralithodes platypus"
"Ammodytes hexapterus","ammodytes hexapterus"
"Occella dodecaedron","occella dodecaedron"
"Mactromeris polynyma","mactromeris polynyma"
