"","min","npv","ppv","npvse","ppvse"
"1",1,0.813842482100239,0.508386350491614,0.00877030924612324,0.00721477437322998
"2",2,0.794579945799458,0.544520006326111,0.0098753000655141,0.00688198814127856
"3",3,0.767060367454068,0.562402900051787,0.0114729974968644,0.00673576071209056
"4",5,0.738167938931298,0.594512195121951,0.0119853384017972,0.00677013686282005
"5",10,0.723986856516977,0.614019904803116,0.0134900380713049,0.00750598858607913
"6",100,0.681818181818182,0.768337975858867,0.102990311815496,0.00848158997698682
