"","period","model","rcp","nmet","mid","pmet"
"1","2006-2020",1,45,70,2013,0.933333333333333
"2","2021-2040",1,45,70,2030.5,0.933333333333333
"3","2041-2060",1,45,69,2050.5,0.92
"4","2061-2080",1,45,73,2070.5,0.973333333333333
"5","2081-2100",1,45,68,2090.5,0.906666666666667
"6","2006-2020",2,45,67,2013,0.893333333333333
"7","2021-2040",2,45,67,2030.5,0.893333333333333
"8","2041-2060",2,45,67,2050.5,0.893333333333333
"9","2061-2080",2,45,67,2070.5,0.893333333333333
"10","2081-2100",2,45,66,2090.5,0.88
"11","2006-2020",3,45,68,2013,0.906666666666667
"12","2021-2040",3,45,65,2030.5,0.866666666666667
"13","2041-2060",3,45,64,2050.5,0.853333333333333
"14","2061-2080",3,45,65,2070.5,0.866666666666667
"15","2081-2100",3,45,65,2090.5,0.866666666666667
"16","2006-2020",4,45,61,2013,0.813333333333333
"17","2021-2040",4,45,68,2030.5,0.906666666666667
"18","2041-2060",4,45,66,2050.5,0.88
"19","2061-2080",4,45,68,2070.5,0.906666666666667
"20","2081-2100",4,45,64,2090.5,0.853333333333333
"21","2006-2020",5,45,69,2013,0.92
"22","2021-2040",5,45,69,2030.5,0.92
"23","2041-2060",5,45,68,2050.5,0.906666666666667
"24","2061-2080",5,45,69,2070.5,0.92
"25","2081-2100",5,45,68,2090.5,0.906666666666667
"26","2006-2020",6,45,67,2013,0.893333333333333
"27","2021-2040",6,45,69,2030.5,0.92
"28","2041-2060",6,45,69,2050.5,0.92
"29","2061-2080",6,45,70,2070.5,0.933333333333333
"30","2081-2100",6,45,68,2090.5,0.906666666666667
"31","2006-2020",7,45,65,2013,0.866666666666667
"32","2021-2040",7,45,63,2030.5,0.84
"33","2041-2060",7,45,66,2050.5,0.88
"34","2061-2080",7,45,66,2070.5,0.88
"35","2081-2100",7,45,69,2090.5,0.92
"36","2006-2020",8,45,69,2013,0.92
"37","2021-2040",8,45,70,2030.5,0.933333333333333
"38","2041-2060",8,45,66,2050.5,0.88
"39","2061-2080",8,45,65,2070.5,0.866666666666667
"40","2081-2100",8,45,63,2090.5,0.84
"41","2006-2020",9,45,66,2013,0.88
"42","2021-2040",9,45,70,2030.5,0.933333333333333
"43","2041-2060",9,45,70,2050.5,0.933333333333333
"44","2061-2080",9,45,71,2070.5,0.946666666666667
"45","2081-2100",9,45,69,2090.5,0.92
"46","2006-2020",10,45,67,2013,0.893333333333333
"47","2021-2040",10,45,68,2030.5,0.906666666666667
"48","2041-2060",10,45,66,2050.5,0.88
"49","2061-2080",10,45,71,2070.5,0.946666666666667
"50","2081-2100",10,45,69,2090.5,0.92
"51","2006-2020",11,45,66,2013,0.88
"52","2021-2040",11,45,68,2030.5,0.906666666666667
"53","2041-2060",11,45,69,2050.5,0.92
"54","2061-2080",11,45,66,2070.5,0.88
"55","2081-2100",11,45,66,2090.5,0.88
"56","2006-2020",12,45,64,2013,0.853333333333333
"57","2021-2040",12,45,68,2030.5,0.906666666666667
"58","2041-2060",12,45,67,2050.5,0.893333333333333
"59","2061-2080",12,45,67,2070.5,0.893333333333333
"60","2081-2100",12,45,69,2090.5,0.92
"61","2006-2020",13,45,71,2013,0.946666666666667
"62","2021-2040",13,45,66,2030.5,0.88
"63","2041-2060",13,45,69,2050.5,0.92
"64","2061-2080",13,45,71,2070.5,0.946666666666667
"65","2081-2100",13,45,67,2090.5,0.893333333333333
"66","2006-2020",1,85,71,2013,0.946666666666667
"67","2021-2040",1,85,71,2030.5,0.946666666666667
"68","2041-2060",1,85,70,2050.5,0.933333333333333
"69","2061-2080",1,85,68,2070.5,0.906666666666667
"70","2081-2100",1,85,63,2090.5,0.84
"71","2006-2020",2,85,66,2013,0.88
"72","2021-2040",2,85,68,2030.5,0.906666666666667
"73","2041-2060",2,85,70,2050.5,0.933333333333333
"74","2061-2080",2,85,67,2070.5,0.893333333333333
"75","2081-2100",2,85,64,2090.5,0.853333333333333
"76","2006-2020",3,85,68,2013,0.906666666666667
"77","2021-2040",3,85,67,2030.5,0.893333333333333
"78","2041-2060",3,85,69,2050.5,0.92
"79","2061-2080",3,85,64,2070.5,0.853333333333333
"80","2081-2100",3,85,68,2090.5,0.906666666666667
"81","2006-2020",4,85,67,2013,0.893333333333333
"82","2021-2040",4,85,68,2030.5,0.906666666666667
"83","2041-2060",4,85,70,2050.5,0.933333333333333
"84","2061-2080",4,85,63,2070.5,0.84
"85","2081-2100",4,85,55,2090.5,0.733333333333333
"86","2006-2020",5,85,66,2013,0.88
"87","2021-2040",5,85,69,2030.5,0.92
"88","2041-2060",5,85,72,2050.5,0.96
"89","2061-2080",5,85,70,2070.5,0.933333333333333
"90","2081-2100",5,85,59,2090.5,0.786666666666667
"91","2006-2020",6,85,66,2013,0.88
"92","2021-2040",6,85,68,2030.5,0.906666666666667
"93","2041-2060",6,85,73,2050.5,0.973333333333333
"94","2061-2080",6,85,64,2070.5,0.853333333333333
"95","2081-2100",6,85,61,2090.5,0.813333333333333
"96","2006-2020",7,85,62,2013,0.826666666666667
"97","2021-2040",7,85,69,2030.5,0.92
"98","2041-2060",7,85,61,2050.5,0.813333333333333
"99","2061-2080",7,85,70,2070.5,0.933333333333333
"100","2081-2100",7,85,58,2090.5,0.773333333333333
"101","2006-2020",8,85,70,2013,0.933333333333333
"102","2021-2040",8,85,67,2030.5,0.893333333333333
"103","2041-2060",8,85,70,2050.5,0.933333333333333
"104","2061-2080",8,85,67,2070.5,0.893333333333333
"105","2081-2100",8,85,59,2090.5,0.786666666666667
"106","2006-2020",9,85,69,2013,0.92
"107","2021-2040",9,85,69,2030.5,0.92
"108","2041-2060",9,85,66,2050.5,0.88
"109","2061-2080",9,85,63,2070.5,0.84
"110","2081-2100",9,85,67,2090.5,0.893333333333333
"111","2006-2020",10,85,67,2013,0.893333333333333
"112","2021-2040",10,85,66,2030.5,0.88
"113","2041-2060",10,85,67,2050.5,0.893333333333333
"114","2061-2080",10,85,71,2070.5,0.946666666666667
"115","2081-2100",10,85,68,2090.5,0.906666666666667
"116","2006-2020",11,85,69,2013,0.92
"117","2021-2040",11,85,67,2030.5,0.893333333333333
"118","2041-2060",11,85,66,2050.5,0.88
"119","2061-2080",11,85,66,2070.5,0.88
"120","2081-2100",11,85,62,2090.5,0.826666666666667
"121","2006-2020",12,85,68,2013,0.906666666666667
"122","2021-2040",12,85,70,2030.5,0.933333333333333
"123","2041-2060",12,85,67,2050.5,0.893333333333333
"124","2061-2080",12,85,64,2070.5,0.853333333333333
"125","2081-2100",12,85,58,2090.5,0.773333333333333
"126","2006-2020",13,85,70,2013,0.933333333333333
"127","2021-2040",13,85,68,2030.5,0.906666666666667
"128","2041-2060",13,85,69,2050.5,0.92
"129","2061-2080",13,85,66,2070.5,0.88
"130","2081-2100",13,85,68,2090.5,0.906666666666667
