,sppocean,npres,npres.tr,npres.te,ntot,auc,auc.tt,tss,tss.tt,r2.biomass,r2.biomass.tt,r2.all,r2.all.tt,r2.pres.1deg,r2.abun.1deg,dev.pres,dev.biomass,dev.pres.null,dev.biomass.null
30,antimora rostrata_Atl,2354,1891,463,15282,0.955559945,0.941485591,0.817566083,0.773911482,0.240752766,0.088327975,0.341783235,0.208941777,0.75,0.54,0.559733011,0.875584264,0.387414228,0.863832906
31,aphrocallistes vastus_Pac,1735,1213,522,25888,0.877472098,0.86015552,0.694857343,0.678775819,0.123240847,3.00E-05,0.005869293,0.026873679,0.33,0.1,0.277825219,0.514923182,0.229415058,0.481665568
32,apristurus brunneus_Pac,2182,1713,469,8153,0.932281769,0.929052182,0.712931675,0.714633526,0.196714942,0.151293458,0.249730455,0.227556504,0.61,0.35,0.501786321,0.204122151,0.227614904,0.055929297
33,apristurus profundorum_Atl,292,214,78,10775,0.916704671,0.911565004,0.751780178,0.74256995,0.124011281,0.062540465,0.063750984,0.064708282,0.23,0.18,0.306428049,0.122919342,0.163049402,0.019766944
34,argentina silus_Atl,1955,1607,348,56924,0.885960243,0.865147448,0.626490574,0.597018583,0.737911123,0.211412103,0.013169814,0.010100286,0.26,0.09,0.276335005,0.780578398,0.12439264,0.768208346
35,argis dentata_Atl,3613,NA,NA,26818,0.929128301,NA,0.736849878,NA,0.311331306,NA,0.000606475,NA,0.69,0.06,0.449694171,0.928204941,0.24529902,0.910626679
36,argis dentata_Pac,498,391,107,23210,0.781755987,0.810414327,0.506670236,0.585445035,0.350359036,0.007382828,0.000837371,0.009134685,0.05,0,0.103649422,0.956250759,0.077362441,0.954094898
37,argis lar_Pac,398,382,16,23210,0.847784314,0.872919369,0.581529013,0.696644443,0.503060346,0.00955296,0.038693297,0.008120418,0.08,0.12,0.17399445,0.959856852,0.161004661,0.959511204
38,ariopsis felis_Atl,690,592,98,37904,0.976377267,0.969427301,0.867789129,0.864985233,0.412053253,0.002435611,0.085295373,0.047507703,0.52,0.24,0.524360412,0.977703695,0.330095947,0.977481983
39,aspidophoroides bartoni_Pac,731,538,193,14945,0.700223638,0.593002031,0.527069234,0.584081888,0.449668946,0.002705362,0.000638147,0.003864892,0.05,0.01,0.074122418,0.955941064,0.064635023,0.955105108
40,aspidophoroides monopterygius_Atl,4998,3562,1436,56923,0.866904522,0.725632236,0.667803292,0.547164622,0.559232116,0.112803459,0.003131132,0.000858821,0.33,0.04,0.272773355,0.974021021,0.251825162,0.972864208
41,asterias amurensis_Pac,6901,5399,1502,19549,0.928702565,0.944068485,0.727225389,0.775537084,0.286355267,0.235040054,0.261956746,0.341231385,0.58,0.42,0.5126816,0.636520695,0.388444864,0.534802651
42,astropecte cigulatus_Atl,531,353,178,7798,0.855152941,0.720068619,0.584340551,0.509774991,0.181860007,0.05250282,0.082187493,0.018545127,0.3,0.16,0.251499237,0.181687446,0.129004999,0.157191902
43,astropecte duplicatus_Atl,907,647,260,7798,0.794103553,0.61160355,0.563487799,0.505246794,0.130102698,0.156326923,0.041366655,0.026069394,0.19,0.1,0.161336518,0.129874882,0.104741048,0.077868952
44,atheresthes evermanni_Pac,1776,1355,421,11926,0.953411469,0.960814857,0.827941798,0.86134853,0.20074321,0.128994226,0.038123099,0.027703211,0.63,0.08,0.551487552,0.235357969,0.512779511,0.139412021
45,atheresthes stomias_Pac,13532,10661,2871,20079,0.836733612,0.824765499,0.605199235,0.611874448,0.226037597,0.039378764,0.026372886,0.01872756,0.59,0.12,0.303739166,0.63025354,0.208797486,0.611239027
46,balistes capriscus_Atl,986,766,220,37904,0.906971189,0.919863902,0.759560785,0.753002013,0.923517083,0.531514879,0.014506259,0.138307472,0.2,0.05,0.294964996,0.982807033,0.188350057,0.981850617
47,bathyagonus nigripinnis_Pac,512,397,115,20079,0.865438102,0.849242669,0.586087713,0.578820343,0.302144663,0.242133193,0.034066654,0.079312526,0.03,0.03,0.230172861,0.959251539,0.114824769,0.955471793
48,bathybembix bairdii_Pac,836,675,161,13740,0.97873916,0.974466215,0.900676246,0.904553269,0.170658042,0.053471499,0.134459938,0.157871703,0.76,0.34,0.632530826,0.707316536,0.323620923,0.672961271
49,bathylagus euryops_Atl,1551,1335,216,15282,0.941322822,0.931458659,0.785114961,0.754330052,0.105160295,0.132321542,0.130423174,0.142729603,0.66,0.32,0.470668368,0.970785749,0.309051628,0.969654502
