"","period","model","rcp","nmet","mid","pmet"
"1","2006-2020",1,45,67,2013,0.893333333333333
"2","2021-2040",1,45,72,2030.5,0.96
"3","2041-2060",1,45,68,2050.5,0.906666666666667
"4","2061-2080",1,45,66,2070.5,0.88
"5","2081-2100",1,45,64,2090.5,0.853333333333333
"6","2006-2020",2,45,68,2013,0.906666666666667
"7","2021-2040",2,45,69,2030.5,0.92
"8","2041-2060",2,45,67,2050.5,0.893333333333333
"9","2061-2080",2,45,63,2070.5,0.84
"10","2081-2100",2,45,65,2090.5,0.866666666666667
"11","2006-2020",3,45,71,2013,0.946666666666667
"12","2021-2040",3,45,70,2030.5,0.933333333333333
"13","2041-2060",3,45,69,2050.5,0.92
"14","2061-2080",3,45,69,2070.5,0.92
"15","2081-2100",3,45,70,2090.5,0.933333333333333
"16","2006-2020",4,45,66,2013,0.88
"17","2021-2040",4,45,66,2030.5,0.88
"18","2041-2060",4,45,62,2050.5,0.826666666666667
"19","2061-2080",4,45,64,2070.5,0.853333333333333
"20","2081-2100",4,45,61,2090.5,0.813333333333333
"21","2006-2020",5,45,69,2013,0.92
"22","2021-2040",5,45,69,2030.5,0.92
"23","2041-2060",5,45,70,2050.5,0.933333333333333
"24","2061-2080",5,45,67,2070.5,0.893333333333333
"25","2081-2100",5,45,62,2090.5,0.826666666666667
"26","2006-2020",6,45,67,2013,0.893333333333333
"27","2021-2040",6,45,68,2030.5,0.906666666666667
"28","2041-2060",6,45,69,2050.5,0.92
"29","2061-2080",6,45,63,2070.5,0.84
"30","2081-2100",6,45,63,2090.5,0.84
"31","2006-2020",7,45,68,2013,0.906666666666667
"32","2021-2040",7,45,67,2030.5,0.893333333333333
"33","2041-2060",7,45,69,2050.5,0.92
"34","2061-2080",7,45,66,2070.5,0.88
"35","2081-2100",7,45,65,2090.5,0.866666666666667
"36","2006-2020",8,45,68,2013,0.906666666666667
"37","2021-2040",8,45,69,2030.5,0.92
"38","2041-2060",8,45,66,2050.5,0.88
"39","2061-2080",8,45,64,2070.5,0.853333333333333
"40","2081-2100",8,45,62,2090.5,0.826666666666667
"41","2006-2020",9,45,71,2013,0.946666666666667
"42","2021-2040",9,45,71,2030.5,0.946666666666667
