"","region","yr_start","yr_end","b_surf","b_bott","delta_surf","delta_bott"
"1","AFSC_Aleutians",2006,2100,0.0203272712285131,0.0129913409290785,1.93109076670874,1.23417738826246
"2","AFSC_EBS",2006,2100,0.0220618351775503,0.0192034451047918,2.09587434186728,1.82432728495522
"3","AFSC_GOA",2006,2100,0.0187674439845147,0.0157497914037844,1.78290717852889,1.49623018335952
"4","AFSC_WCTri",2006,2100,0.0174591920644354,0.0108294464039072,1.65862324612137,1.02879740837118
"5","DFO_NewfoundlandFall",2006,2100,0.0137069120660189,0.0147747536430174,1.30215664627179,1.40360159608665
"6","DFO_NewfoundlandSpring",2006,2100,0.0167771387136924,0.017219974896211,1.59382817780077,1.63589761514005
"7","DFO_ScotianShelf",2006,2100,0.0203609795230181,0.02100247103051,1.93429305468672,1.99523474789845
"8","DFO_SoGulf",2006,2100,0.0233845219273144,0.0232163309457163,2.22152958309487,2.20555143984305
"9","NEFSC_NEUSFall",2006,2100,0.0168898416286194,0.016509812058154,1.60453495471885,1.56843214552463
"10","NEFSC_NEUSSpring",2006,2100,0.0154444473013715,0.0161044831506515,1.46722249363029,1.52992589931189
"11","NWFSC_WCAnn",2006,2100,0.0170429101472385,0.00842181102945151,1.61907646398766,0.800072047797893
"12","SEFSC_GOMex",2006,2100,0.0155482002196831,0.0153508022683855,1.47707902086989,1.45832621549662
