"","region","yr_start","yr_end","b_surf","b_bott","delta_surf","delta_bott"
"1","AFSC_Aleutians",2006,2100,0.0456630657576154,0.0247890553007609,4.33799124697347,2.35496025357228
"2","AFSC_EBS",2006,2100,0.0527478367789482,0.0435585387877646,5.01104449400008,4.13806118483764
"3","AFSC_GOA",2006,2100,0.0450611642640188,0.0308163511264315,4.28081060508179,2.92755335701099
"4","AFSC_WCTri",2006,2100,0.0376343852536111,0.0187856006636013,3.57526659909305,1.78463206304212
"5","DFO_NewfoundlandFall",2006,2100,0.0342715122633014,0.0282203745826588,3.25579366501364,2.68093558535258
"6","DFO_NewfoundlandSpring",2006,2100,0.041272617829605,0.0340986799919712,3.92089869381247,3.23937459923727
"7","DFO_ScotianShelf",2006,2100,0.0452538403165158,0.0399876521810158,4.299114830069,3.79882695719651
"8","DFO_SoGulf",2006,2100,0.0546616154304085,0.0440382666084752,5.19285346588881,4.18363532780514
"9","NEFSC_NEUSFall",2006,2100,0.0397739641113483,0.0347581989281968,3.77852659057809,3.3020288981787
"10","NEFSC_NEUSSpring",2006,2100,0.0345725923975897,0.033189902638605,3.28439627777102,3.15304075066748
"11","NWFSC_WCAnn",2006,2100,0.0363302668125572,0.0133360322469227,3.45137534719293,1.26692306345766
"12","SEFSC_GOMex",2006,2100,0.035480078531134,0.0340760091221686,3.37060746045773,3.23722086660602
