"","network","rcp","model","nstart","nend","nlost","ngained","flost","fgained","fgainedalt","beta_sor"
"1","ak",45,1,222,222,0,0,0,0,0,1
"2","ak",45,2,222,216,6,0,0.027027027027027,0,0,0.986301369863014
"3","ak",45,3,222,203,19,0,0.0855855855855856,0,0,0.955294117647059
"4","ak",45,4,222,191,31,0,0.13963963963964,0,0,0.924939467312349
"5","ak",45,5,222,222,0,0,0,0,0,1
"6","ak",45,6,222,219,3,0,0.0135135135135135,0,0,0.993197278911565
"7","ak",45,7,222,183,39,0,0.175675675675676,0,0,0.903703703703704
"8","ak",45,8,222,218,4,0,0.018018018018018,0,0,0.990909090909091
"9","ak",45,9,222,216,6,0,0.027027027027027,0,0,0.986301369863014
"10","ak",45,10,222,222,0,0,0,0,0,1
"11","ak",45,11,222,153,69,0,0.310810810810811,0,0,0.816
"12","ak",45,12,222,222,0,0,0,0,0,1
"13","ak",45,13,222,222,0,0,0,0,0,1
"14","ak",85,1,222,154,68,0,0.306306306306306,0,0,0.819148936170213
"15","ak",85,2,222,142,80,0,0.36036036036036,0,0,0.78021978021978
"16","ak",85,3,222,154,68,0,0.306306306306306,0,0,0.819148936170213
"17","ak",85,4,222,135,87,0,0.391891891891892,0,0,0.756302521008403
"18","ak",85,5,222,147,75,0,0.337837837837838,0,0,0.796747967479675
"19","ak",85,6,222,136,86,0,0.387387387387387,0,0,0.759776536312849
"20","ak",85,7,222,134,88,0,0.396396396396396,0,0,0.752808988764045
"21","ak",85,8,222,136,86,0,0.387387387387387,0,0,0.759776536312849
"22","ak",85,9,222,167,55,0,0.247747747747748,0,0,0.858611825192802
"23","ak",85,10,222,152,70,0,0.315315315315315,0,0,0.812834224598931
"24","ak",85,11,222,131,91,0,0.40990990990991,0,0,0.742209631728045
"25","ak",85,12,222,203,19,0,0.0855855855855856,0,0,0.955294117647059
"26","ak",85,13,222,201,21,0,0.0945945945945946,0,0,0.950354609929078
"27","eastcoast",45,1,245,235,15,5,0.0612244897959184,0.0204081632653061,0.0212765957446809,0.958333333333333
"28","eastcoast",45,2,245,245,7,7,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.971428571428571
"29","eastcoast",45,3,241,247,1,7,0.004149377593361,0.029045643153527,0.0283400809716599,0.983606557377049
"30","eastcoast",45,4,235,241,14,20,0.0595744680851064,0.0851063829787234,0.0829875518672199,0.928571428571429
"31","eastcoast",45,5,244,249,4,9,0.0163934426229508,0.0368852459016393,0.036144578313253,0.973630831643002
"32","eastcoast",45,6,244,247,7,10,0.0286885245901639,0.040983606557377,0.0404858299595142,0.965376782077393
