"","lat","lon","region","bottemp.clim","surftemp.clim","depth","bottemp.clim.int","surftemp.clim.int","latgrid","longrid"
"1",25.875,262.875,"SEFSC_GOMex",NA,NA,27.8833106440678,23.2300285958886,27.7159872958126,25.5,262.5
"2",25.875,263.125,"SEFSC_GOMex",24.09,27.305,48.4632,24.09,27.305,25.5,263.5
"3",26.125,262.875,"SEFSC_GOMex",25.2470777165405,27.4620362340954,32.9552136561083,25.2470777165405,27.4620362340954,26.5,262.5
"4",26.125,263.125,"SEFSC_GOMex",23.4884133246599,28.0075633007674,60.3156310774411,23.4884133246599,28.0075633007674,26.5,263.5
"5",26.125,263.375,"SEFSC_GOMex",21.9174462821214,28.3788441440789,94.7203627813598,21.9174462821214,28.3788441440789,26.5,263.5
"6",26.125,263.625,"SEFSC_GOMex",20.0640344988649,28.2332843899475,143.522539810223,20.0640344988649,28.2332843899475,26.5,263.5
"7",26.375,262.875,"SEFSC_GOMex",24.7291174671719,27.3740489171691,37.6576116494367,24.7291174671719,27.3740489171691,26.5,262.5
"8",26.375,263.125,"SEFSC_GOMex",23.3490174957686,28.0728386773243,65.2182319493727,23.3490174957686,28.0728386773243,26.5,263.5
"9",26.375,263.375,"SEFSC_GOMex",21.4905756929638,28.5902086182969,97.6529405238956,21.4905756929638,28.5902086182969,26.5,263.5
"10",26.375,263.625,"SEFSC_GOMex",20.1236353211009,28.4407155020817,143.485324376564,20.1236353211009,28.4407155020817,26.5,263.5
"11",26.625,262.625,"SEFSC_GOMex",24.6674942084942,26.177833976834,21.7368414208494,24.6674942084942,26.177833976834,26.5,262.5
"12",26.625,262.875,"SEFSC_GOMex",23.7158467849224,27.0870448954015,44.362385304155,23.7158467849224,27.0870448954015,26.5,262.5
"13",26.625,263.125,"SEFSC_GOMex",21.7949444444444,27.7998015942495,79.3682298798229,21.7949444444444,27.7998015942495,26.5,263.5
"14",26.625,263.375,"SEFSC_GOMex",20.3658392582059,28.1801207533755,123.686121520262,20.3658392582059,28.1801207533755,26.5,263.5
"15",26.625,263.625,"SEFSC_GOMex",NA,NA,166.96944,21.7110576942374,28.1431709365512,26.5,263.5
"16",26.875,262.625,"SEFSC_GOMex",25.3174511558084,27.2693723051517,29.1485626774488,25.3174511558084,27.2693723051517,26.5,262.5
"17",26.875,262.875,"SEFSC_GOMex",23.2134533814515,27.6903450662448,54.5291667727902,23.2134533814515,27.6903450662448,26.5,262.5
"18",26.875,263.125,"SEFSC_GOMex",20.9739486870919,28.2556336428611,93.4301488620163,20.9739486870919,28.2556336428611,26.5,263.5
"19",26.875,263.375,"SEFSC_GOMex",19.8234566452359,28.505848275616,157.987828160677,19.8234566452359,28.505848275616,26.5,263.5
"20",27.125,262.625,"SEFSC_GOMex",25.6797075241908,27.6385798978309,28.9413323713319,25.6797075241908,27.6385798978309,27.5,262.5
"21",27.125,262.875,"SEFSC_GOMex",23.891704878196,28.0632985932925,53.4733268826033,23.891704878196,28.0632985932925,27.5,262.5
