spp_ocean,n_pres,full_model,full_minus_temp,temp_only
acanthephyra curtirostris_Pac,0,NA,NA,NA
acantholithodes hispidus_Pac,157,0.128,0.109,0.023
achelous spinicarpus_Gulf,2188,0.19,0.163,0.059
actinauge verrilli_Pac,647,0.212,0.148,0.132
acylopsetta quadrocellata_Gulf,680,0.17,0.162,0.013
aforia circinata_Pac,824,0.242,0.078,0.162
albatrossia pectoralis_Pac,816,0.293,0.174,0.101
alepocephalus tenebrosus_Pac,4,NA,NA,NA
allocentrotus fragilis_Pac,1439,0.179,0.144,0.13
allosmerus elongatus_Pac,104,NA,NA,NA
alosa aestivalis_Atl,2843,0.11,0.055,0.061
alosa pseudoharengus_Atl,8369,0.136,0.091,0.068
alosa sapidissima_Atl,2473,0.236,0.194,0.124
alosa sapidissima_Pac,684,NA,NA,NA
amblyraja radiata_Atl,11607,0.254,0.241,0.039
ammodytes dubius_Atl,NA,0.16,0.077,0.039
ammodytes hexapterus_Pac,572,0.362,0.332,0.096
amusium papyraceum_Gulf,1308,0.205,0.114,0.05
anarhichas denticulatus_Atl,42,0.657,0.657,0.088
anarhichas lupus_Atl,2915,0.24,0.201,0.06
anarhichas minor_Atl,32,0.924,0.885,0.501
anarhichas orientalis_Pac,189,0.243,0.198,0.075
anarrhichthys ocellatus_Pac,61,0.548,0.529,0.098
anasimus latus_Gulf,743,0.098,0.082,0.031
anchoa hepsetus_Gulf,1673,0.066,0.04,0.028
anchoa mitchilli_Gulf,468,0.078,0.049,0.041
ancylopsetta dilecta_Gulf,659,0.221,0.19,0.037
annelida_Pac,0,NA,NA,NA
anoplogaster cornuta_Pac,1,NA,NA,NA
anoplopoma fimbria_Pac,6071,0.234,0.135,0.106
antennarius radiosus_Gulf,588,0.334,0.293,0.08
anthoptilum grandiflorum_Pac,18,NA,NA,NA
antimora microlepis_Pac,148,0.14,0.036,0.074
antimora rostrata_Atl,11,NA,NA,NA
antipatharia_Pac,0,NA,NA,NA
apristurus brunneus_Pac,323,0.338,0.151,0.222
apristurus kampae_Pac,28,NA,NA,NA
aptocyclus ventricosus_Pac,337,0.565,0.532,0.285
argentina sialis_Pac,136,0.061,0.025,0.035
argentina silus_Atl,1423,0.3,0.274,0.06
argyropelecus affinis_Pac,1,NA,NA,NA
ariopsis felis_Gulf,680,0.097,0.088,0.011
aristostomias scintillans_Pac,22,NA,NA,NA
aspidophoroides bartoni_Pac,725,0.451,0.442,0.08
aspidophoroides monopterygius_Atl,NA,0.144,0.12,0.035
