NAME,VALUE,NOTE
CapMax,750,Maximum capacity of device [kW].
cc,3671,Capital cost per installed [$/kW].
cml,20,Cost of mooring lines [$ per m].
cul,1664000,Cost of underwater transmission line [$ per km].
col,64499,Cost of overland transmission line [$ per km].
omc,0.042,Operating & maintenance cost [$ per kWh].
p,0.235,Price of electricity [$ per kWh].
r,0.05,Discount rate 
smlpm,3,Slack-moored (i.e. requires length of 3 * depth); 3 slack lines per machine required.
