"","id","name","spp"
"1",1,"amblyrajaradiata","amblyraja radiata"
"2",2,"anarhichaslupus","anarhichas lupus"
"3",3,"argentinasilus","argentina silus"
"4",4,"atlantopandaluspropinqvus","atlantopandalus propinqvus"
"5",5,"bathypolypusarcticus","bathypolypus arcticus"
"6",6,"brosmebrosme","brosme brosme"
"7",7,"cancerborealis","cancer borealis"
"8",8,"cancerirroratus","cancer irroratus"
"9",9,"centropristisstriata","centropristis striata"
"10",10,"chaceonquinquedens","chaceon quinquedens"
"11",11,"chauliodussloani","chauliodus sloani"
"12",12,"citharichthysarctifrons","citharichthys arctifrons"
"13",13,"citharichthysmacrops","citharichthys macrops"
"14",14,"clupeaharengus","clupea harengus"
"15",15,"congeroceanicus","conger oceanicus"
"16",16,"cryptacanthodesmaculatus","cryptacanthodes maculatus"
"17",17,"decapteruspunctatus","decapterus punctatus"
"18",18,"dichelopandalusleptocerus","dichelopandalus leptocerus"
"19",19,"dipturuslaevis","dipturus laevis"
"20",20,"enchelyopuscimbrius","enchelyopus cimbrius"
"21",21,"etrumeusteres","etrumeus teres"
"22",22,"gadusmorhua","gadus morhua"
"23",23,"glyptocephaluscynoglossus","glyptocephalus cynoglossus"
"24",24,"helicolenusdactylopterus","helicolenus dactylopterus"
"25",25,"hemitripterusamericanus","hemitripterus americanus"
"26",26,"hippoglossinaoblonga","hippoglossina oblonga"
"27",27,"hippoglossoidesplatessoides","hippoglossoides platessoides"
"28",28,"homarusamericanus","homarus americanus"
"29",29,"illexillecebrosus","illex illecebrosus"
"30",30,"lepophidiumprofundorum","lepophidium profundorum"
"31",31,"leucorajaerinacea","leucoraja erinacea"
"32",32,"leucorajaocellata","leucoraja ocellata"
"33",33,"limandaferruginea","limanda ferruginea"
"34",34,"lithodesmaja","lithodes maja"
"35",35,"loligopealeii","loligo pealeii"
"36",36,"lophiusamericanus","lophius americanus"
"37",37,"malacorajasenta","malacoraja senta"
"38",38,"melanogrammusaeglefinus","melanogrammus aeglefinus"
"39",39,"melanostigmaatlanticum","melanostigma atlanticum"
"40",40,"merlucciusbilinearis","merluccius bilinearis"
"41",41,"myoxocephalusoctodecemspinosus","myoxocephalus octodecemspinosus"
"42",42,"myxineglutinosa","myxine glutinosa"
"43",43,"nemichthysscolopaceus","nemichthys scolopaceus"
"44",44,"neomerinthehemingwayi","neomerinthe hemingwayi"
"45",45,"nezumiabairdii","nezumia bairdii"
"46",46,"ovalipesocellatus","ovalipes ocellatus"
"47",47,"paralichthysdentatus","paralichthys dentatus"
"48",48,"pasiphaeamultidentata","pasiphaea multidentata"
"49",49,"peprilustriacanthus","peprilus triacanthus"
"50",50,"phycischesteri","phycis chesteri"
"51",51,"placopectenmagellanicus","placopecten magellanicus"
"52",52,"pollachiusvirens","pollachius virens"
"53",53,"pontophilusnorvegicus","pontophilus norvegicus"
"54",54,"pseudopleuronectesamericanus","pseudopleuronectes americanus"
"55",55,"scophthalmusaquosus","scophthalmus aquosus"
"56",56,"sebastesfasciatus","sebastes fasciatus"
"57",57,"selenesetapinnis","selene setapinnis"
"58",58,"squalusacanthias","squalus acanthias"
"59",59,"stenotomuschrysops","stenotomus chrysops"
"60",60,"tautogolabrusadspersus","tautogolabrus adspersus"
"61",61,"urophycischuss","urophycis chuss"
"62",62,"urophycisregia","urophycis regia"
"63",63,"urophycistenuis","urophycis tenuis"
"64",64,"limandaferruginea_fishery","limanda ferruginea"
"65",65,"gadusmorhua_fishery","gadus morhua"
"66",66,"melanogrammusaeglefinus_fishery","melanogrammus aeglefinus"
"67",67,"merlucciusbilinearis_fishery","merluccius bilinearis"
"68",68,"doryteuthispealeii_fishery","doryteuthis pealeii"
"69",69,"homarusamericanus_fishery","homarus americanus"
"70",70,"scomberscombrus_fishery","scomber scombrus"
"71",71,"clupeaharengus_fishery","clupea harengus"
"72",72,"brevoortiatyrannus_fishery","brevoortia tyrannus"
"73",73,"placopectenmagellanicus_fishery","placopecten magellanicus"
"74",74,"energy",NA
