"","id","name","spp"
"1",1,"alepocephalustenebrosus","alepocephalus tenebrosus"
"2",2,"alosasapidissima","alosa sapidissima"
"3",3,"anoplopomafimbria","anoplopoma fimbria"
"4",4,"apostichopusleukothele","apostichopus leukothele"
"5",5,"apristurusbrunneus","apristurus brunneus"
"6",6,"aptocyclusventricosus","aptocyclus ventricosus"
"7",7,"atheresthesstomias","atheresthes stomias"
"8",8,"bathyagonusnigripinnis","bathyagonus nigripinnis"
"9",9,"bathymastersignatus","bathymaster signatus"
"10",10,"berryteuthismagister","berryteuthis magister"
"11",11,"bothrocarabrunneum","bothrocara brunneum"
"12",12,"careproctusmelanurus","careproctus melanurus"
"13",13,"cheirasterdawsoni","cheiraster dawsoni"
"14",14,"chilarataylori","chilara taylori"
"15",15,"chionoecetesbairdi","chionoecetes bairdi"
"16",16,"chionoecetesopilio","chionoecetes opilio"
"17",17,"chionoecetestanneri","chionoecetes tanneri"
"18",18,"chrysaoramelanaster","chrysaora melanaster"
"19",19,"citharichthyssordidus","citharichthys sordidus"
"20",20,"clupeapallasii","clupea pallasii"
"21",21,"ctenodiscuscrispatus","ctenodiscus crispatus"
"22",22,"cyaneacapillata","cyanea capillata"
"23",23,"dasycottussetiger","dasycottus setiger"
"24",24,"diplopterastermultipes","diplopteraster multipes"
"25",25,"doryteuthisopalescens","doryteuthis opalescens"
"26",26,"eopsettajordani","eopsetta jordani"
"27",27,"eualusmacrophthalmus","eualus macrophthalmus"
"28",28,"gaduschalcogrammus","gadus chalcogrammus"
"29",29,"gadusmacrocephalus","gadus macrocephalus"
"30",30,"glyptocephaluszachirus","glyptocephalus zachirus"
"31",31,"gonatusonyx","gonatus onyx"
"32",32,"gorgonocephaluseucnemis","gorgonocephalus eucnemis"
"33",33,"hemitripterusbolini","hemitripterus bolini"
"34",34,"heterozoniasalternatus","heterozonias alternatus"
"35",35,"hexagrammosdecagrammus","hexagrammos decagrammus"
"36",36,"hippoglossoideselassodon","hippoglossoides elassodon"
"37",37,"hippoglossusstenolepis","hippoglossus stenolepis"
"38",38,"histioteuthisheteropsis","histioteuthis heteropsis"
"39",39,"hyaslyratus","hyas lyratus"
"40",40,"hydrolaguscolliei","hydrolagus colliei"
"41",41,"icelinusfilamentosus","icelinus filamentosus"
"42",42,"icelusspiniger","icelus spiniger"
"43",43,"isopsettaisolepis","isopsetta isolepis"
"44",44,"liponemabrevicorne","liponema brevicorne"
"45",45,"lopholithodesforaminatus","lopholithodes foraminatus"
"46",46,"luidiafoliolata","luidia foliolata"
"47",47,"lycodesbrevipes","lycodes brevipes"
"48",48,"lycodescortezianus","lycodes cortezianus"
"49",49,"lycodesdiapterus","lycodes diapterus"
"50",50,"lycodespacificus","lycodes pacificus"
"51",51,"lycodespalearis","lycodes palearis"
"52",52,"lyopsettaexilis","lyopsetta exilis"
"53",53,"mediasteraequalis","mediaster aequalis"
"54",54,"merlucciusproductus","merluccius productus"
"55",55,"metacarcinusmagister","metacarcinus magister"
"56",56,"metridiumfarcimen","metridium farcimen"
"57",57,"microgadusproximus","microgadus proximus"
"58",58,"microstomuspacificus","microstomus pacificus"
"59",59,"molpadiaintermedia","molpadia intermedia"
"60",60,"myxodermaplatyacanthum","myxoderma platyacanthum"
"61",61,"neptuneaamianta","neptunea amianta"
"62",62,"octopoteuthisdeletron","octopoteuthis deletron"
"63",63,"oncorhynchustshawytscha","oncorhynchus tshawytscha"
"64",64,"ophiodonelongatus","ophiodon elongatus"
"65",65,"opisthoteuthiscaliforniana","opisthoteuthis californiana"
"66",66,"pandalopsisdispar","pandalopsis dispar"
"67",67,"pandaluseous","pandalus eous"
"68",68,"pandalusjordani","pandalus jordani"
"69",69,"pandalusplatyceros","pandalus platyceros"
"70",70,"paractinostolafaeculenta","paractinostola faeculenta"
"71",71,"parmaturusxaniurus","parmaturus xaniurus"
"72",72,"parophrysvetulus","parophrys vetulus"
"73",73,"pasiphaeapacifica","pasiphaea pacifica"
"74",74,"patinopectencaurinus","patinopecten caurinus"
"75",75,"pisasterbrevispinus","pisaster brevispinus"
"76",76,"platymeragaudichaudii","platymera gaudichaudii"
"77",77,"pleurobranchaeacalifornica","pleurobranchaea californica"
"78",78,"pleuronichthysdecurrens","pleuronichthys decurrens"
"79",79,"podothecusaccipenserinus","podothecus accipenserinus"
"80",80,"poraniopsisinflata","poraniopsis inflata"
"81",81,"porichthysnotatus","porichthys notatus"
"82",82,"pycnopodiahelianthoides","pycnopodia helianthoides"
"83",83,"rajabinoculata","raja binoculata"
"84",84,"rajainornata","raja inornata"
"85",85,"rajarhina","raja rhina"
"86",86,"rathbunastercalifornicus","rathbunaster californicus"
"87",87,"sarritorfrenatus","sarritor frenatus"
"88",88,"sebastesaleutianus","sebastes aleutianus"
"89",89,"sebastesalutus","sebastes alutus"
"90",90,"sebastesaurora","sebastes aurora"
"91",91,"sebastesbabcocki","sebastes babcocki"
"92",92,"sebastesborealis","sebastes borealis"
"93",93,"sebastesbrevispinis","sebastes brevispinis"
"94",94,"sebasteschlorostictus","sebastes chlorostictus"
"95",95,"sebastescrameri","sebastes crameri"
"96",96,"sebastesdiploproa","sebastes diploproa"
"97",97,"sebasteselongatus","sebastes elongatus"
"98",98,"sebastesentomelas","sebastes entomelas"
"99",99,"sebastesflavidus","sebastes flavidus"
"100",100,"sebastesgoodei","sebastes goodei"
"101",101,"sebasteshelvomaculatus","sebastes helvomaculatus"
"102",102,"sebastesjordani","sebastes jordani"
"103",103,"sebastesmelanostomus","sebastes melanostomus"
"104",104,"sebastespaucispinis","sebastes paucispinis"
"105",105,"sebastespinniger","sebastes pinniger"
"106",106,"sebastesproriger","sebastes proriger"
"107",107,"sebastesruberrimus","sebastes ruberrimus"
"108",108,"sebastessaxicola","sebastes saxicola"
"109",109,"sebastesvariegatus","sebastes variegatus"
"110",110,"sebasteswilsoni","sebastes wilsoni"
"111",111,"sebasteszacentrus","sebastes zacentrus"
"112",112,"sebastolobusalascanus","sebastolobus alascanus"
"113",113,"sebastolobusaltivelis","sebastolobus altivelis"
"114",114,"squalusacanthias","squalus acanthias"
"115",115,"squalussuckleyi","squalus suckleyi"
"116",116,"stenobrachiusleucopsarus","stenobrachius leucopsarus"
"117",117,"strongylocentrotusfragilis","strongylocentrotus fragilis"
"118",118,"stylasteriasforreri","stylasterias forreri"
"119",119,"thaleichthyspacificus","thaleichthys pacificus"
"120",120,"thrissacanthiaspenicillatus","thrissacanthias penicillatus"
"121",121,"trichodontrichodon","trichodon trichodon"
"122",122,"tritoniadiomedea","tritonia diomedea"
"123",123,"zalembiusrosaceus","zalembius rosaceus"
"124",124,"zaniolepislatipinnis","zaniolepis latipinnis"
"125",125,"metacarcinusmagister_fishery","metacarcinus magister"
"126",126,"hippoglossusstenolepis_fishery","hippoglossus stenolepis"
"127",127,"sebastesalutus_fishery","sebastes alutus"
"128",128,"pleurogrammusmonopterygius_fishery","pleurogrammus monopterygius"
"129",129,"oncorhynchusketa_fishery","oncorhynchus keta"
"130",130,"limandaaspera_fishery","limanda aspera"
"131",131,"clupeapallasii_fishery","clupea pallasii"
"132",132,"gadusmacrocephalus_fishery","gadus macrocephalus"
"133",133,"merlucciusproductus_fishery","merluccius productus"
"134",134,"gaduschalcogrammus_fishery","gadus chalcogrammus"
"135",135,"energy",NA
