"","id","name","spp"
"1",1,"acanthostracionquadricornis","acanthostracion quadricornis"
"2",2,"achelousspinicarpus","achelous spinicarpus"
"3",3,"achelousspinimanus","achelous spinimanus"
"4",4,"aluterusschoepfii","aluterus schoepfii"
"5",5,"amusiumpapyraceum","amusium papyraceum"
"6",6,"anadarabaughmani","anadara baughmani"
"7",7,"anasimuslatus","anasimus latus"
"8",8,"anchoahepsetus","anchoa hepsetus"
"9",9,"ancylopsettadilecta","ancylopsetta dilecta"
"10",10,"ancylopsettaommata","ancylopsetta ommata"
"11",11,"antimorarostrata","antimora rostrata"
"12",12,"argentinasilus","argentina silus"
"13",13,"argopectengibbus","argopecten gibbus"
"14",14,"ariopsisfelis","ariopsis felis"
"15",15,"astropectencingulatus","astropecten cingulatus"
"16",16,"astropectenduplicatus","astropecten duplicatus"
"17",17,"bagremarinus","bagre marinus"
"18",18,"bairdiellachrysoura","bairdiella chrysoura"
"19",19,"balistescapriscus","balistes capriscus"
"20",20,"bellatormilitaris","bellator militaris"
"21",21,"bollmanniacommunis","bollmannia communis"
"22",22,"brevoortiapatronus","brevoortia patronus"
"23",23,"brotulabarbata","brotula barbata"
"24",24,"calamusleucosteus","calamus leucosteus"
"25",25,"calamusproridens","calamus proridens"
"26",26,"calappaflammea","calappa flammea"
"27",27,"calappasulcata","calappa sulcata"
"28",28,"callinectesornatus","callinectes ornatus"
"29",29,"callinectessapidus","callinectes sapidus"
"30",30,"callinectessimilis","callinectes similis"
"31",31,"caranxcrysos","caranx crysos"
"32",32,"caranxhippos","caranx hippos"
"33",33,"carcharhinusacronotus","carcharhinus acronotus"
"34",34,"carettacaretta","caretta caretta"
"35",35,"caulolatilusintermedius","caulolatilus intermedius"
"36",36,"centropristisocyurus","centropristis ocyurus"
"37",37,"centropristisphiladelphica","centropristis philadelphica"
"38",38,"centropristisstriata","centropristis striata"
"39",39,"chaetodipterusfaber","chaetodipterus faber"
"40",40,"chauliodussloani","chauliodus sloani"
"41",41,"chilomycterusschoepfii","chilomycterus schoepfii"
"42",42,"chloroscombruschrysurus","chloroscombrus chrysurus"
"43",43,"citharichthysmacrops","citharichthys macrops"
"44",44,"citharichthysspilopterus","citharichthys spilopterus"
"45",45,"congeroceanicus","conger oceanicus"
"46",46,"cyclopsettachittendeni","cyclopsetta chittendeni"
"47",47,"cyclopsettafimbriata","cyclopsetta fimbriata"
"48",48,"dasyatisamericana","dasyatis americana"
"49",49,"dasyatissabina","dasyatis sabina"
"50",50,"dasyatissay","dasyatis say"
"51",51,"decapteruspunctatus","decapterus punctatus"
"52",52,"diplectrumbivittatum","diplectrum bivittatum"
"53",53,"diplectrumformosum","diplectrum formosum"
"54",54,"doryteuthispleii","doryteuthis pleii"
"55",55,"echeneisnaucrates","echeneis naucrates"
"56",56,"engyophryssenta","engyophrys senta"
"57",57,"equetuslanceolatus","equetus lanceolatus"
"58",58,"etropuscrossotus","etropus crossotus"
"59",59,"etropuscyclosquamus","etropus cyclosquamus"
"60",60,"eucinostomusgula","eucinostomus gula"
"61",61,"farfantepenaeusaztecus","farfantepenaeus aztecus"
"62",62,"farfantepenaeusduorarum","farfantepenaeus duorarum"
"63",63,"fowlerichthysradiosus","fowlerichthys radiosus"
"64",64,"gibbesianeglecta","gibbesia neglecta"
"65",65,"gymnachirustexae","gymnachirus texae"
"66",66,"gymnothoraxsaxicola","gymnothorax saxicola"
"67",67,"gymnuramicrura","gymnura micrura"
"68",68,"haemulonaurolineatum","haemulon aurolineatum"
"69",69,"haemulonplumierii","haemulon plumierii"
"70",70,"halieutichthysaculeatus","halieutichthys aculeatus"
"71",71,"harengulajaguana","harengula jaguana"
"72",72,"helicolenusdactylopterus","helicolenus dactylopterus"
"73",73,"hepatusepheliticus","hepatus epheliticus"
"74",74,"hippocampuserectus","hippocampus erectus"
"75",75,"hoplunnismacrura","hoplunnis macrura"
"76",76,"kathetostomaalbigutta","kathetostoma albigutta"
"77",77,"lagocephaluslaevigatus","lagocephalus laevigatus"
"78",78,"lagodonrhomboides","lagodon rhomboides"
"79",79,"larimusfasciatus","larimus fasciatus"
"80",80,"leiostomusxanthurus","leiostomus xanthurus"
"81",81,"lepophidiumbrevibarbe","lepophidium brevibarbe"
"82",82,"lepophidiumjeannae","lepophidium jeannae"
"83",83,"limuluspolyphemus","limulus polyphemus"
"84",84,"litopenaeussetiferus","litopenaeus setiferus"
"85",85,"loligopealeii","loligo pealeii"
"86",86,"lolligunculabrevis","lolliguncula brevis"
"87",87,"lophiusamericanus","lophius americanus"
"88",88,"lutjanuscampechanus","lutjanus campechanus"
"89",89,"lutjanusgriseus","lutjanus griseus"
"90",90,"lutjanussynagris","lutjanus synagris"
"91",91,"menticirrhusamericanus","menticirrhus americanus"
"92",92,"menticirrhuslittoralis","menticirrhus littoralis"
"93",93,"micropogoniasundulatus","micropogonias undulatus"
"94",94,"monacanthusciliatus","monacanthus ciliatus"
"95",95,"moreiradromiaantillensis","moreiradromia antillensis"
"96",96,"mullusauratus","mullus auratus"
"97",97,"musteluscanis","mustelus canis"
"98",98,"neomerinthehemingwayi","neomerinthe hemingwayi"
"99",99,"ogcocephalusdeclivirostris","ogcocephalus declivirostris"
"100",100,"ogcocephalusparvus","ogcocephalus parvus"
"101",101,"ophidionholbrookii","ophidion holbrookii"
"102",102,"ophidionmarginatum","ophidion marginatum"
"103",103,"ophidionwelshi","ophidion welshi"
"104",104,"ophiolepiselegans","ophiolepis elegans"
"105",105,"opisthonemaoglinum","opisthonema oglinum"
"106",106,"orthopristischrysoptera","orthopristis chrysoptera"
"107",107,"ovalipesstephensoni","ovalipes stephensoni"
"108",108,"pagruspagrus","pagrus pagrus"
"109",109,"paguruspollicaris","pagurus pollicaris"
"110",110,"paralichthysalbigutta","paralichthys albigutta"
"111",111,"parapenaeuspolitus","parapenaeus politus"
"112",112,"parequesiwamotoi","pareques iwamotoi"
"113",113,"parequesumbrosus","pareques umbrosus"
"114",114,"parthenopoidesmassena","parthenopoides massena"
"115",115,"peprilusburti","peprilus burti"
"116",116,"peprilusparu","peprilus paru"
"117",117,"peprilustriacanthus","peprilus triacanthus"
"118",118,"pilumnussayi","pilumnus sayi"
"119",119,"pitarcordatus","pitar cordatus"
"120",120,"polystiraalbida","polystira albida"
"121",121,"pomatomussaltatrix","pomatomus saltatrix"
"122",122,"pontinuslongispinis","pontinus longispinis"
"123",123,"porichthysplectrodon","porichthys plectrodon"
"124",124,"portunusgibbesii","portunus gibbesii"
"125",125,"priacanthusarenatus","priacanthus arenatus"
"126",126,"prionotusalatus","prionotus alatus"
"127",127,"prionotuslongispinosus","prionotus longispinosus"
"128",128,"prionotusmartis","prionotus martis"
"129",129,"prionotusophryas","prionotus ophryas"
"130",130,"prionotusparalatus","prionotus paralatus"
"131",131,"prionotusroseus","prionotus roseus"
"132",132,"prionotusrubio","prionotus rubio"
"133",133,"prionotusscitulus","prionotus scitulus"
"134",134,"prionotusstearnsi","prionotus stearnsi"
"135",135,"pristigenysalta","pristigenys alta"
"136",136,"pristipomoidesaquilonaris","pristipomoides aquilonaris"
"137",137,"rajaeglanteria","raja eglanteria"
"138",138,"rajatexana","raja texana"
"139",139,"raninoideslouisianensis","raninoides louisianensis"
"140",140,"reillamulleri","reilla mulleri"
"141",141,"rhinopterabonasus","rhinoptera bonasus"
"142",142,"rhizoprionodonterraenovae","rhizoprionodon terraenovae"
"143",143,"rhomboplitesaurorubens","rhomboplites aurorubens"
"144",144,"rhynchocongerflavus","rhynchoconger flavus"
"145",145,"sardinellaaurita","sardinella aurita"
"146",146,"sauridabrasiliensis","saurida brasiliensis"
"147",147,"scomberomoruscavalla","scomberomorus cavalla"
"148",148,"scomberomorusmaculatus","scomberomorus maculatus"
"149",149,"scorpaenabrasiliensis","scorpaena brasiliensis"
"150",150,"scorpaenacalcarata","scorpaena calcarata"
"151",151,"scyllaridesnodifer","scyllarides nodifer"
"152",152,"scyllaruschacei","scyllarus chacei"
"153",153,"selenesetapinnis","selene setapinnis"
"154",154,"selenevomer","selene vomer"
"155",155,"serranusatrobranchus","serranus atrobranchus"
"156",156,"serranusphoebe","serranus phoebe"
"157",157,"sicyoniabrevirostris","sicyonia brevirostris"
"158",158,"sicyoniaburkenroadi","sicyonia burkenroadi"
"159",159,"sicyoniadorsalis","sicyonia dorsalis"
"160",160,"sphoeroidesdorsalis","sphoeroides dorsalis"
"161",161,"sphoeroidesparvus","sphoeroides parvus"
"162",162,"sphoeroidesspengleri","sphoeroides spengleri"
"163",163,"sphyraenaborealis","sphyraena borealis"
"164",164,"sphyraenaguachancho","sphyraena guachancho"
"165",165,"sphyrnatiburo","sphyrna tiburo"
"166",166,"squatinadumeril","squatina dumeril"
"167",167,"squillachydaea","squilla chydaea"
"168",168,"squillaempusa","squilla empusa"
"169",169,"steindachneriaargentea","steindachneria argentea"
"170",170,"stelliferlanceolatus","stellifer lanceolatus"
"171",171,"stenocionopsfurcatus","stenocionops furcatus"
"172",172,"stenorhynchusseticornis","stenorhynchus seticornis"
"173",173,"stenotomuscaprinus","stenotomus caprinus"
"174",174,"stephanolepishispidus","stephanolepis hispidus"
"175",175,"stomolophusmeleagris","stomolophus meleagris"
"176",176,"syaciumgunteri","syacium gunteri"
"177",177,"syaciumpapillosum","syacium papillosum"
"178",178,"symphurusdiomedeanus","symphurus diomedeanus"
"179",179,"symphurusplagiusa","symphurus plagiusa"
"180",180,"synodusfoetens","synodus foetens"
"181",181,"synodusintermedius","synodus intermedius"
"182",182,"synoduspoeyi","synodus poeyi"
"183",183,"tethyastergrandis","tethyaster grandis"
"184",184,"trachinocephalusmyops","trachinocephalus myops"
"185",185,"trachinotuscarolinus","trachinotus carolinus"
"186",186,"trachuruslathami","trachurus lathami"
"187",187,"trichiuruslepturus","trichiurus lepturus"
"188",188,"trichopsettaventralis","trichopsetta ventralis"
"189",189,"trinectesmaculatus","trinectes maculatus"
"190",190,"upeneusparvus","upeneus parvus"
"191",191,"urophyciscirrata","urophycis cirrata"
"192",192,"urophycisfloridana","urophycis floridana"
"193",193,"urophycisregia","urophycis regia"
"194",194,"urophycistenuis","urophycis tenuis"
"195",195,"xiphopenaeuskroyeri","xiphopenaeus kroyeri"
"196",196,"scomberomoruscavalla_fishery","scomberomorus cavalla"
"197",197,"opisthonemaoglinum_fishery","opisthonema oglinum"
"198",198,"argopectengibbus_fishery","argopecten gibbus"
"199",199,"penaeusduorarum_fishery","penaeus duorarum"
"200",200,"sicyoniabrevirostris_fishery","sicyonia brevirostris"
"201",201,"xiphopenaeuskroyeri_fishery","xiphopenaeus kroyeri"
"202",202,"scomberomorusmaculatus_fishery","scomberomorus maculatus"
"203",203,"penaeusaztecus_fishery","penaeus aztecus"
"204",204,"penaeussetiferus_fishery","penaeus setiferus"
"205",205,"brevoortiapatronus_fishery","brevoortia patronus"
"206",206,"energy",NA
