"","latgrid","longrid","id","dummycost","solution_1_conservation","solution_1_fishery","solution_1_energy"
"1",51.125,-179.125,1,0.01,0,0,1
"2",51.125,-178.875,2,0.01,0,0,0
"3",51.375,-181.375,3,0.01,0,0,0
"4",51.375,-181.125,4,0.01,0,0,0
"5",51.375,-180.875,5,0.01,0,0,0
"6",51.375,-180.625,6,0.01,0,0,0
"7",51.375,-180.375,7,0.01,0,0,0
"8",51.375,-180.125,8,0.01,0,0,0
"9",51.375,-179.875,9,0.01,0,0,0
"10",51.375,-179.625,10,0.01,0,0,0
"11",51.375,-179.375,11,0.01,0,0,0
"12",51.375,-179.125,12,0.01,0,0,1
"13",51.375,-178.875,13,0.01,0,0,1
"14",51.375,-178.625,14,0.01,0,0,0
"15",51.375,-178.375,15,0.01,0,0,1
"16",51.375,-178.125,16,0.01,0,0,1
"17",51.375,-176.875,17,0.01,0,0,0
"18",51.625,-184.375,18,0.01,0,1,0
"19",51.625,-184.125,19,0.01,0,0,0
"20",51.625,-183.125,20,0.01,0,0,0
"21",51.625,-182.875,21,0.01,0,0,0
"22",51.625,-182.625,22,0.01,0,0,0
"23",51.625,-182.125,23,0.01,0,0,0
"24",51.625,-181.875,24,0.01,0,0,0
"25",51.625,-181.625,25,0.01,0,1,0
"26",51.625,-181.375,26,0.01,0,1,0
"27",51.625,-181.125,27,0.01,0,0,0
"28",51.625,-180.875,28,0.01,0,0,0
"29",51.625,-180.625,29,0.01,0,0,0
"30",51.625,-179.375,30,0.01,0,0,0
"31",51.625,-179.125,31,0.01,0,0,1
"32",51.625,-178.875,32,0.01,0,0,1
"33",51.625,-178.625,33,0.01,0,0,1
"34",51.625,-178.375,34,0.01,0,1,0
"35",51.625,-178.125,35,0.01,0,0,1
"36",51.625,-177.875,36,0.01,0,0,1
"37",51.625,-177.625,37,0.01,0,0,1
"38",51.625,-177.375,38,0.01,0,0,1
"39",51.625,-177.125,39,0.01,0,1,0
"40",51.625,-176.875,40,0.01,0,1,0
"41",51.625,-176.625,41,0.01,0,0,0
"42",51.625,-176.375,42,0.01,0,1,0
"43",51.625,-176.125,43,0.01,0,0,0
"44",51.625,-175.875,44,0.01,0,0,1
"45",51.625,-175.625,45,0.01,0,0,0
"46",51.625,-175.375,46,0.01,0,0,0
"47",51.875,-184.875,47,0.01,0,0,0
"48",51.875,-184.625,48,0.01,0,0,0
"49",51.875,-184.375,49,0.01,0,0,0
"50",51.875,-184.125,50,0.01,0,1,0
"51",51.875,-183.875,51,0.01,0,0,0
"52",51.875,-183.375,52,0.01,0,0,0
"53",51.875,-183.125,53,0.01,0,0,0
"54",51.875,-182.875,54,0.01,0,0,0
"55",51.875,-182.625,55,0.01,0,1,0
"56",51.875,-182.375,56,0.01,0,1,0
"57",51.875,-182.125,57,0.01,0,1,0
"58",51.875,-181.875,58,0.01,0,1,0
"59",51.875,-181.625,59,0.01,1,0,0
"60",51.875,-181.375,60,0.01,0,0,0
"61",51.875,-180.625,61,0.01,0,0,0
"62",51.875,-180.375,62,0.01,0,0,0
"63",51.875,-180.125,63,0.01,0,0,0
"64",51.875,-178.875,64,0.01,0,0,1
"65",51.875,-178.625,65,0.01,0,0,1
"66",51.875,-178.125,66,0.01,0,0,1
"67",51.875,-177.875,67,0.01,0,0,1
"68",51.875,-177.625,68,0.01,0,0,1
"69",51.875,-177.375,69,0.01,0,0,1
"70",51.875,-177.125,70,0.01,0,0,0
"71",51.875,-176.875,71,0.01,0,1,0
"72",51.875,-176.625,72,0.01,0,0,0
"73",51.875,-176.375,73,0.01,0,0,0
"74",51.875,-176.125,74,0.01,0,0,0
"75",51.875,-175.875,75,0.01,1,0,0
"76",51.875,-175.625,76,0.01,0,1,0
"77",51.875,-175.375,77,0.01,0,1,0
"78",51.875,-175.125,78,0.01,0,1,0
"79",51.875,-174.875,79,0.01,0,1,0
"80",51.875,-174.625,80,0.01,0,1,0
"81",51.875,-174.375,81,0.01,0,0,1
"82",51.875,-174.125,82,0.01,0,0,0
"83",51.875,-173.875,83,0.01,0,0,0
"84",51.875,-173.625,84,0.01,0,0,0
"85",51.875,-173.375,85,0.01,0,0,1
"86",51.875,-173.125,86,0.01,0,0,1
"87",51.875,-172.875,87,0.01,0,0,1
"88",51.875,-172.625,88,0.01,0,0,0
"89",51.875,-172.375,89,0.01,0,0,0
"90",51.875,-172.125,90,0.01,0,0,0
"91",51.875,-171.875,91,0.01,0,0,0
"92",52.125,-186.625,92,0.01,0,0,0
"93",52.125,-186.375,93,0.01,0,0,0
"94",52.125,-186.125,94,0.01,0,0,0
"95",52.125,-185.375,95,0.01,0,0,0
"96",52.125,-185.125,96,0.01,0,0,0
"97",52.125,-184.875,97,0.01,0,0,0
"98",52.125,-184.625,98,0.01,0,0,0
"99",52.125,-184.125,99,0.01,0,0,0
"100",52.125,-183.875,100,0.01,1,0,0
"101",52.125,-183.625,101,0.01,0,0,0
"102",52.125,-183.375,102,0.01,0,0,0
"103",52.125,-183.125,103,0.01,0,0,0
"104",52.125,-182.875,104,0.01,0,0,0
"105",52.125,-182.625,105,0.01,0,1,0
"106",52.125,-182.375,106,0.01,0,0,0
"107",52.125,-182.125,107,0.01,0,0,0
"108",52.125,-181.875,108,0.01,0,0,0
"109",52.125,-181.625,109,0.01,0,0,0
"110",52.125,-181.375,110,0.01,0,0,0
"111",52.125,-180.875,111,0.01,0,0,0
"112",52.125,-180.625,112,0.01,1,0,0
"113",52.125,-180.375,113,0.01,1,0,0
