"","latgrid","longrid","id","dummycost","solution_1_conservation","solution_1_fishery","solution_1_energy"
"1",42.875,-50.875,1,0.01,0,0,0
"2",42.875,-50.625,2,0.01,0,0,0
"3",42.875,-50.375,3,0.01,0,0,0
"4",42.875,-50.125,4,0.01,0,0,0
"5",42.875,-49.875,5,0.01,0,0,0
"6",42.875,-49.625,6,0.01,0,0,0
"7",43.125,-51.375,7,0.01,0,0,0
"8",43.125,-51.125,8,0.01,0,0,0
"9",43.125,-50.875,9,0.01,1,0,0
"10",43.125,-50.625,10,0.01,1,0,0
"11",43.125,-50.375,11,0.01,0,1,0
"12",43.125,-50.125,12,0.01,0,1,0
"13",43.125,-49.875,13,0.01,0,1,0
"14",43.125,-49.625,14,0.01,0,0,0
"15",43.375,-51.875,15,0.01,0,0,0
"16",43.375,-51.625,16,0.01,0,0,0
"17",43.375,-51.375,17,0.01,0,0,0
"18",43.375,-51.125,18,0.01,1,0,0
"19",43.375,-50.875,19,0.01,0,1,0
"20",43.375,-50.625,20,0.01,1,0,0
"21",43.375,-50.375,21,0.01,0,1,0
"22",43.375,-50.125,22,0.01,0,1,0
"23",43.375,-49.875,23,0.01,0,1,0
"24",43.375,-49.625,24,0.01,1,0,0
"25",43.375,-49.375,25,0.01,0,0,0
"26",43.625,-52.375,26,0.01,0,0,0
"27",43.625,-52.125,27,0.01,0,0,0
"28",43.625,-51.875,28,0.01,0,0,0
"29",43.625,-51.625,29,0.01,0,1,0
"30",43.625,-51.375,30,0.01,0,1,0
"31",43.625,-51.125,31,0.01,0,1,0
"32",43.625,-50.875,32,0.01,0,1,0
"33",43.625,-50.625,33,0.01,0,1,0
"34",43.625,-50.375,34,0.01,1,0,0
"35",43.625,-50.125,35,0.01,0,0,0
"36",43.625,-49.875,36,0.01,1,0,0
"37",43.625,-49.625,37,0.01,0,1,0
"38",43.625,-49.375,38,0.01,0,0,0
"39",43.625,-49.125,39,0.01,0,0,0
"40",43.875,-52.625,40,0.01,0,0,0
"41",43.875,-52.375,41,0.01,0,0,0
"42",43.875,-52.125,42,0.01,0,0,0
"43",43.875,-51.875,43,0.01,1,0,0
"44",43.875,-51.625,44,0.01,0,1,0
"45",43.875,-51.375,45,0.01,0,0,0
"46",43.875,-51.125,46,0.01,0,1,0
"47",43.875,-50.875,47,0.01,0,1,0
"48",43.875,-50.625,48,0.01,0,1,0
"49",43.875,-50.375,49,0.01,0,1,0
"50",43.875,-50.125,50,0.01,1,0,0
"51",43.875,-49.875,51,0.01,0,0,0
"52",43.875,-49.625,52,0.01,1,0,0
"53",43.875,-49.375,53,0.01,0,0,0
"54",43.875,-49.125,54,0.01,0,0,0
"55",44.125,-52.875,55,0.01,0,0,0
"56",44.125,-52.625,56,0.01,0,0,0
"57",44.125,-52.375,57,0.01,0,0,0
"58",44.125,-52.125,58,0.01,0,0,0
"59",44.125,-51.875,59,0.01,0,0,0
"60",44.125,-51.625,60,0.01,0,1,0
"61",44.125,-51.375,61,0.01,1,0,0
"62",44.125,-51.125,62,0.01,0,0,0
"63",44.125,-50.875,63,0.01,1,0,0
"64",44.125,-50.625,64,0.01,0,1,0
"65",44.125,-50.375,65,0.01,0,1,0
"66",44.125,-50.125,66,0.01,0,1,0
"67",44.125,-49.875,67,0.01,0,1,0
"68",44.125,-49.625,68,0.01,1,0,0
"69",44.125,-49.375,69,0.01,0,1,0
"70",44.125,-49.125,70,0.01,0,0,0
"71",44.125,-48.875,71,0.01,0,0,0
"72",44.375,-52.875,72,0.01,0,0,0
"73",44.375,-52.625,73,0.01,0,0,0
"74",44.375,-52.375,74,0.01,0,0,0
"75",44.375,-52.125,75,0.01,0,1,0
"76",44.375,-51.875,76,0.01,0,1,0
"77",44.375,-51.625,77,0.01,0,1,0
"78",44.375,-51.375,78,0.01,0,1,0
"79",44.375,-51.125,79,0.01,0,1,0
"80",44.375,-50.875,80,0.01,0,1,0
"81",44.375,-50.625,81,0.01,0,1,0
"82",44.375,-50.375,82,0.01,0,1,0
"83",44.375,-50.125,83,0.01,0,1,0
"84",44.375,-49.875,84,0.01,0,1,0
"85",44.375,-49.625,85,0.01,0,0,0
"86",44.375,-49.375,86,0.01,0,1,0
"87",44.375,-49.125,87,0.01,0,0,0
"88",44.375,-48.875,88,0.01,0,0,0
"89",44.625,-52.875,89,0.01,1,0,0
"90",44.625,-52.625,90,0.01,0,1,0
"91",44.625,-52.375,91,0.01,0,1,0
"92",44.625,-52.125,92,0.01,0,1,0
"93",44.625,-51.875,93,0.01,0,1,0
"94",44.625,-51.625,94,0.01,0,1,0
"95",44.625,-51.375,95,0.01,0,1,0
"96",44.625,-51.125,96,0.01,0,1,0
"97",44.625,-50.875,97,0.01,0,1,0
"98",44.625,-50.625,98,0.01,0,1,0
"99",44.625,-50.375,99,0.01,0,1,0
"100",44.625,-50.125,100,0.01,0,0,0
"101",44.625,-49.875,101,0.01,0,0,0
"102",44.625,-49.625,102,0.01,0,0,0
"103",44.625,-49.375,103,0.01,0,0,0
"104",44.625,-49.125,104,0.01,0,0,0
"105",44.875,-52.875,105,0.01,1,0,0
"106",44.875,-52.625,106,0.01,0,0,0
"107",44.875,-52.375,107,0.01,0,1,0
"108",44.875,-52.125,108,0.01,0,1,0
"109",44.875,-51.875,109,0.01,0,1,0
"110",44.875,-51.625,110,0.01,0,1,0
"111",44.875,-51.375,111,0.01,0,1,0
"112",44.875,-51.125,112,0.01,0,1,0
"113",44.875,-50.875,113,0.01,0,1,0
"114",44.875,-50.625,114,0.01,0,1,0
"115",44.875,-50.375,115,0.01,0,1,0
"116",44.875,-50.125,116,0.01,0,1,0
"117",44.875,-49.875,117,0.01,0,0,0
"118",44.875,-49.625,118,0.01,0,0,0
"119",44.875,-49.375,119,0.01,1,0,0
"120",44.875,-49.125,120,0.01,0,0,0
"121",44.875,-48.875,121,0.01,0,0,0
"122",45.125,-52.875,122,0.01,0,0,0
"123",45.125,-52.625,123,0.01,0,0,0
"124",45.125,-52.375,124,0.01,0,0,0
"125",45.125,-52.125,125,0.01,0,0,0
"126",45.125,-51.875,126,0.01,0,1,0
"127",45.125,-51.625,127,0.01,0,1,0
"128",45.125,-51.375,128,0.01,0,1,0
"129",45.125,-51.125,129,0.01,0,1,0
"130",45.125,-50.875,130,0.01,0,1,0
"131",45.125,-50.625,131,0.01,0,1,0
"132",45.125,-50.375,132,0.01,0,1,0
"133",45.125,-50.125,133,0.01,0,1,0
"134",45.125,-49.875,134,0.01,0,1,0
"135",45.125,-49.625,135,0.01,0,1,0
"136",45.125,-49.375,136,0.01,0,1,0
"137",45.125,-49.125,137,0.01,0,1,0
"138",45.125,-48.875,138,0.01,0,0,0
"139",45.375,-52.875,139,0.01,0,0,0
"140",45.375,-52.625,140,0.01,0,0,0
"141",45.375,-52.375,141,0.01,0,0,0
"142",45.375,-52.125,142,0.01,1,0,0
"143",45.375,-51.875,143,0.01,1,0,0
"144",45.375,-51.625,144,0.01,0,1,0
"145",45.375,-51.375,145,0.01,0,1,0
"146",45.375,-51.125,146,0.01,0,1,0
"147",45.375,-50.875,147,0.01,0,1,0
"148",45.375,-50.625,148,0.01,0,1,0
"149",45.375,-50.375,149,0.01,0,1,0
"150",45.375,-50.125,150,0.01,0,1,0
"151",45.375,-49.875,151,0.01,0,1,0
"152",45.375,-49.625,152,0.01,0,1,0
"153",45.375,-49.375,153,0.01,0,1,0
"154",45.375,-49.125,154,0.01,0,1,0
"155",45.375,-48.875,155,0.01,0,0,0
"156",45.375,-48.625,156,0.01,0,0,0
"157",45.625,-52.875,157,0.01,0,0,0
"158",45.625,-52.625,158,0.01,0,0,0
"159",45.625,-52.375,159,0.01,0,0,0
"160",45.625,-52.125,160,0.01,0,1,0
"161",45.625,-51.875,161,0.01,0,1,0
"162",45.625,-51.625,162,0.01,0,1,0
"163",45.625,-51.375,163,0.01,0,1,0
"164",45.625,-51.125,164,0.01,0,1,0
"165",45.625,-50.875,165,0.01,0,1,0
