"","latgrid","longrid","id","dummycost","solution_1_conservation","solution_1_fishery","solution_1_energy"
"1",24.625,-80.375,1,0.01,0,0,0
"2",24.875,-80.375,2,0.01,0,0,0
"3",24.875,-80.125,3,0.01,0,0,0
"4",25.125,-80.375,4,0.01,0,0,0
"5",25.125,-80.125,5,0.01,0,0,0
"6",25.375,-80.375,6,0.01,0,0,0
"7",25.375,-80.125,7,0.01,0,0,0
"8",25.375,-79.875,8,0.01,0,0,0
"9",25.625,-80.125,9,0.01,0,0,0
"10",25.625,-79.875,10,0.01,0,0,0
"11",25.875,-80.125,11,0.01,0,0,0
"12",25.875,-79.875,12,0.01,0,0,0
"13",26.125,-80.125,13,0.01,0,0,0
"14",26.125,-79.875,14,0.01,0,0,0
"15",26.375,-80.125,15,0.01,0,0,0
"16",26.375,-79.875,16,0.01,0,0,0
"17",26.625,-80.125,17,0.01,0,0,0
"18",26.625,-79.875,18,0.01,0,0,0
"19",26.875,-80.125,19,0.01,0,0,0
"20",26.875,-79.875,20,0.01,0,0,0
"21",27.125,-80.125,21,0.01,0,0,0
"22",27.125,-79.875,22,0.01,0,0,0
"23",27.375,-80.125,23,0.01,0,0,0
"24",27.375,-79.875,24,0.01,0,0,0
"25",27.625,-80.375,25,0.01,0,0,0
"26",27.625,-80.125,26,0.01,0,0,0
"27",27.625,-79.875,27,0.01,0,0,0
"28",27.875,-80.375,28,0.01,0,0,0
"29",27.875,-80.125,29,0.01,0,0,0
"30",27.875,-79.875,30,0.01,0,0,0
"31",28.125,-80.625,31,0.01,0,0,0
"32",28.125,-80.375,32,0.01,1,0,0
"33",28.125,-80.125,33,0.01,1,0,0
"34",28.125,-79.875,34,0.01,0,0,0
"35",28.375,-80.625,35,0.01,0,0,0
"36",28.375,-80.375,36,0.01,0,0,0
"37",28.375,-80.125,37,0.01,0,0,0
"38",28.375,-79.875,38,0.01,0,0,0
"39",28.625,-80.625,39,0.01,0,0,0
"40",28.625,-80.375,40,0.01,0,1,0
"41",28.625,-80.125,41,0.01,0,0,0
"42",28.625,-79.875,42,0.01,0,0,0
"43",28.875,-80.875,43,0.01,0,0,0
"44",28.875,-80.625,44,0.01,0,0,0
"45",28.875,-80.375,45,0.01,1,0,0
"46",28.875,-80.125,46,0.01,0,0,0
"47",28.875,-79.875,47,0.01,0,0,0
"48",29.125,-80.875,48,0.01,0,0,0
"49",29.125,-80.625,49,0.01,0,0,0
"50",29.125,-80.375,50,0.01,0,1,0
"51",29.125,-80.125,51,0.01,1,0,0
"52",29.125,-79.875,52,0.01,0,0,0
"53",29.375,-81.125,53,0.01,0,0,0
"54",29.375,-80.875,54,0.01,0,0,0
"55",29.375,-80.625,55,0.01,0,1,0
"56",29.375,-80.375,56,0.01,0,1,0
